ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
0;A-U All economic activities;1993 January;380;159;221
1;A-U All economic activities;1993 February;371;138;233
2;A-U All economic activities;1993 March;572;218;354
3;A-U All economic activities;1993 1st quarter;1323;515;808
4;A-U All economic activities;1993 April;440;182;258
5;A-U All economic activities;1993 May;418;135;283
6;A-U All economic activities;1993 June;485;183;302
7;A-U All economic activities;1993 2nd quarter;1343;500;843
8;A-U All economic activities;1993 July;499;183;316
9;A-U All economic activities;1993 August;434;163;271
10;A-U All economic activities;1993 September;507;185;322
11;A-U All economic activities;1993 3rd quarter;1440;531;909
12;A-U All economic activities;1993 October;426;190;236
13;A-U All economic activities;1993 November;506;224;282
14;A-U All economic activities;1993 December;474;188;286
15;A-U All economic activities;1993 4th quarter;1406;602;804
16;A-U All economic activities;1993;5512;2148;3364
17;A-U All economic activities;1994 January;443;180;263
18;A-U All economic activities;1994 February;433;171;262
19;A-U All economic activities;1994 March;551;227;324
20;A-U All economic activities;1994 1st quarter;1427;578;849
21;A-U All economic activities;1994 April;406;167;239
22;A-U All economic activities;1994 May;376;162;214
23;A-U All economic activities;1994 June;513;172;341
24;A-U All economic activities;1994 2nd quarter;1295;501;794
25;A-U All economic activities;1994 July;380;147;233
26;A-U All economic activities;1994 August;506;219;287
27;A-U All economic activities;1994 September;451;192;259
28;A-U All economic activities;1994 3rd quarter;1337;558;779
29;A-U All economic activities;1994 October;397;164;233
30;A-U All economic activities;1994 November;505;207;298
31;A-U All economic activities;1994 December;372;165;207
32;A-U All economic activities;1994 4th quarter;1274;536;738
33;A-U All economic activities;1994;5333;2173;3160
34;A-U All economic activities;1995 January;416;192;224
35;A-U All economic activities;1995 February;378;174;204
36;A-U All economic activities;1995 March;458;212;246
37;A-U All economic activities;1995 1st quarter;1252;578;674
38;A-U All economic activities;1995 April;379;166;213
39;A-U All economic activities;1995 May;376;150;226
40;A-U All economic activities;1995 June;397;161;236
41;A-U All economic activities;1995 2nd quarter;1152;477;675
42;A-U All economic activities;1995 July;393;153;240
43;A-U All economic activities;1995 August;401;164;237
44;A-U All economic activities;1995 September;407;145;262
45;A-U All economic activities;1995 3rd quarter;1201;462;739
46;A-U All economic activities;1995 October;441;183;258
47;A-U All economic activities;1995 November;407;168;239
48;A-U All economic activities;1995 December;330;143;187
49;A-U All economic activities;1995 4th quarter;1178;494;684
50;A-U All economic activities;1995;4783;2011;2772
51;A-U All economic activities;1996 January;415;198;217
52;A-U All economic activities;1996 February;366;162;204
53;A-U All economic activities;1996 March;390;162;228
54;A-U All economic activities;1996 1st quarter;1171;522;649
55;A-U All economic activities;1996 April;366;159;207
56;A-U All economic activities;1996 May;398;170;228
57;A-U All economic activities;1996 June;368;146;222
58;A-U All economic activities;1996 2nd quarter;1132;475;657
59;A-U All economic activities;1996 July;373;157;216
60;A-U All economic activities;1996 August;347;141;206
61;A-U All economic activities;1996 September;370;143;227
62;A-U All economic activities;1996 3rd quarter;1090;441;649
63;A-U All economic activities;1996 October;445;168;277
64;A-U All economic activities;1996 November;348;161;187
65;A-U All economic activities;1996 December;348;132;216
66;A-U All economic activities;1996 4th quarter;1141;461;680
67;A-U All economic activities;1996;4534;1899;2635
68;A-U All economic activities;1997 January;432;182;250
69;A-U All economic activities;1997 February;382;157;225
70;A-U All economic activities;1997 March;339;132;207
71;A-U All economic activities;1997 1st quarter;1153;471;682
72;A-U All economic activities;1997 April;362;139;223
73;A-U All economic activities;1997 May;378;146;232
74;A-U All economic activities;1997 June;333;117;216
75;A-U All economic activities;1997 2nd quarter;1073;402;671
76;A-U All economic activities;1997 July;397;146;251
77;A-U All economic activities;1997 August;285;108;177
78;A-U All economic activities;1997 September;386;174;212
79;A-U All economic activities;1997 3rd quarter;1068;428;640
80;A-U All economic activities;1997 October;397;147;250
81;A-U All economic activities;1997 November;381;141;240
82;A-U All economic activities;1997 December;337;139;198
83;A-U All economic activities;1997 4th quarter;1115;427;688
84;A-U All economic activities;1997;4409;1728;2681
85;A-U All economic activities;1998 January;322;133;189
86;A-U All economic activities;1998 February;331;130;201
87;A-U All economic activities;1998 March;428;175;253
88;A-U All economic activities;1998 1st quarter;1081;438;643
89;A-U All economic activities;1998 April;393;145;248
90;A-U All economic activities;1998 May;278;114;164
91;A-U All economic activities;1998 June;353;148;205
92;A-U All economic activities;1998 2nd quarter;1024;407;617
93;A-U All economic activities;1998 July;350;139;211
94;A-U All economic activities;1998 August;273;121;152
95;A-U All economic activities;1998 September;436;175;261
96;A-U All economic activities;1998 3rd quarter;1059;435;624
97;A-U All economic activities;1998 October;299;116;183
98;A-U All economic activities;1998 November;280;88;192
99;A-U All economic activities;1998 December;272;61;211
100;A-U All economic activities;1998 4th quarter;851;265;586
101;A-U All economic activities;1998;4015;1545;2470
102;A-U All economic activities;1999 January;229;76;153
103;A-U All economic activities;1999 February;282;79;203
104;A-U All economic activities;1999 March;345;100;245
105;A-U All economic activities;1999 1st quarter;856;255;601
106;A-U All economic activities;1999 April;289;83;206
107;A-U All economic activities;1999 May;231;56;175
108;A-U All economic activities;1999 June;318;88;230
109;A-U All economic activities;1999 2nd quarter;838;227;611
110;A-U All economic activities;1999 July;232;66;166
111;A-U All economic activities;1999 August;237;80;157
112;A-U All economic activities;1999 September;280;81;199
113;A-U All economic activities;1999 3rd quarter;749;227;522
114;A-U All economic activities;1999 October;242;67;175
115;A-U All economic activities;1999 November;276;72;204
116;A-U All economic activities;1999 December;277;77;200
117;A-U All economic activities;1999 4th quarter;795;216;579
118;A-U All economic activities;1999;3238;925;2313
119;A-U All economic activities;2000 January;245;73;172
120;A-U All economic activities;2000 February;281;74;207
121;A-U All economic activities;2000 March;299;92;207
122;A-U All economic activities;2000 1st quarter;825;239;586
123;A-U All economic activities;2000 April;243;73;170
124;A-U All economic activities;2000 May;306;77;229
125;A-U All economic activities;2000 June;266;61;205
126;A-U All economic activities;2000 2nd quarter;815;211;604
127;A-U All economic activities;2000 July;286;73;213
128;A-U All economic activities;2000 August;362;114;248
129;A-U All economic activities;2000 September;279;79;200
130;A-U All economic activities;2000 3rd quarter;927;266;661
131;A-U All economic activities;2000 October;354;86;268
