ID;RegioSSituatie2011;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarOfOuder_4;Autochtonen_5;Totaal1eEn2eGeneratie_6;k_1eGeneratie_7;k_2eGeneratie_8;Totaal1eEn2eGeneratie_9;k_1eGeneratie_10;k_2eGeneratie_11;Totaal1eEn2eGeneratie_12;k_1eGeneratie_13;k_2eGeneratie_14;Totaal1eEn2eGeneratie_15;k_1eGeneratie_16;k_2eGeneratie_17;Totaal1eEn2eGeneratie_18;k_1eGeneratie_19;k_2eGeneratie_20;Totaal1eEn2eGeneratie_21;k_1eGeneratie_22;k_2eGeneratie_23;Totaal1eEn2eGeneratie_24;k_1eGeneratie_25;k_2eGeneratie_26;Levendgeborenen_27;Overledenen_28;Immigratie_29;EmigratieInclusiefCorrecties_30;VestigersUitAndereGemeente_31;VertrekkersNaarAndereGemeente_32;RegionaleCodering_33
0;Nederland;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;180.6;136.9;150.5;120.5;569.0;569.0;NL01  
1;Nederland;2012;16733.2;3894.1;10124.3;2714.8;13245.0;1939.1;1081.1;858.1;362.7;167.8;195.0;145.0;83.6;61.4;347.3;184.0;163.3;393.9;197.6;196.3;690.2;448.2;242.1;1549.1;680.5;868.6;179.9;138.3;150.3;121.6;560.5;560.5;NL01  
2;Nederland;2013;16808.6;3878.0;10106.0;2824.5;13258.9;1977.4;1092.9;884.6;370.3;168.8;201.5;148.0;84.7;63.3;350.0;183.7;166.2;399.2;198.5;200.7;710.0;457.1;252.9;1572.2;697.6;874.6;180.1;139.7;147.2;123.4;557.4;557.4;NL01  
3;Nederland;2014;16877.7;3862.7;10095.1;2920.0;13268.6;2015.0;1105.3;909.6;377.6;169.9;207.7;151.2;86.1;65.1;352.9;183.8;169.0;404.3;199.5;204.8;729.0;466.0;263.0;1594.2;713.8;880.4;180.5;141.2;144.6;125.6;561.1;561.1;NL01  
4;Nederland;2015;16941.2;3846.1;10088.9;3006.2;13275.3;2051.2;1118.0;933.2;384.3;170.9;213.3;154.5;87.7;66.8;355.7;184.1;171.5;409.1;200.4;208.8;747.6;474.8;272.7;1614.7;729.1;885.7;181.0;142.7;143.9;127.4;555.8;555.8;NL01  
5;Nederland;2016;17001.3;3835.1;10079.3;3086.9;13279.8;2087.0;1130.6;956.4;390.8;172.0;218.8;157.8;89.2;68.6;358.4;184.5;174.0;413.8;201.3;212.6;766.1;483.6;282.5;1634.5;743.5;891.0;181.8;144.3;143.7;128.5;554.5;554.5;NL01  
6;Nederland;2017;17059.3;3825.2;10070.2;3163.9;13283.6;2122.3;1143.1;979.2;397.1;173.0;224.1;161.1;90.7;70.4;361.1;184.8;176.3;418.4;202.2;216.2;784.5;492.4;292.2;1653.5;757.1;896.3;182.9;146.0;143.8;129.0;555.7;555.7;NL01  
7;Nederland;2018;17116.4;3814.9;10056.6;3245.0;13287.6;2157.0;1155.6;1001.4;403.1;174.1;229.1;164.5;92.2;72.3;363.6;185.1;178.6;422.8;203.1;219.7;802.9;501.1;301.8;1671.8;770.2;901.7;184.2;147.8;144.1;129.5;555.0;555.0;NL01  
8;Nederland;2019;17173.0;3800.0;10050.3;3322.7;13292.1;2191.2;1168.0;1023.2;408.9;175.1;233.8;167.9;93.7;74.2;366.1;185.3;180.8;427.0;204.0;223.0;821.3;509.9;311.4;1689.7;782.6;907.1;185.4;149.7;144.5;129.8;555.6;555.6;NL01  
9;Nederland;2020;17228.8;3785.0;10043.4;3400.4;13297.0;2224.9;1180.2;1044.7;414.5;176.1;238.4;171.4;95.2;76.2;368.3;185.5;182.9;431.0;204.8;226.2;839.6;518.6;321.0;1706.9;794.5;912.4;186.6;151.8;144.8;130.1;559.1;559.1;NL01  
10;Nederland;2021;17283.8;3766.5;10039.5;3477.8;13302.1;2258.0;1192.3;1065.7;419.8;177.0;242.8;174.9;96.7;78.2;370.5;185.6;184.9;435.0;205.6;229.3;857.8;527.3;330.5;1723.6;805.8;917.8;187.6;154.1;144.9;130.1;559.3;559.3;NL01  
11;Nederland;2022;17337.6;3752.4;10028.2;3556.9;13307.0;2290.8;1204.3;1086.5;424.9;177.9;247.0;178.3;98.1;80.2;372.6;185.7;186.9;438.8;206.5;232.4;876.2;536.1;340.1;1739.7;816.7;923.1;188.6;156.5;144.8;130.1;562.7;562.7;NL01  
12;Nederland;2023;17389.8;3741.2;10012.5;3636.1;13311.3;2323.4;1216.3;1107.1;429.8;178.8;251.0;181.8;99.6;82.2;374.6;185.8;188.8;442.5;207.2;235.3;894.6;544.9;349.7;1755.2;826.9;928.2;189.4;159.1;144.6;130.0;565.8;565.8;NL01  
13;Nederland;2024;17440.2;3731.9;9992.3;3716.0;13314.4;2355.7;1228.2;1127.5;434.5;179.7;254.8;185.3;101.0;84.3;376.5;185.7;190.8;446.1;208.0;238.2;913.3;553.8;359.5;1770.0;836.8;933.3;190.0;161.8;144.3;129.8;569.4;569.4;NL01  
14;Nederland;2025;17488.4;3729.8;9960.6;3798.0;13316.1;2387.9;1240.1;1147.8;439.1;180.5;258.6;188.8;102.5;86.3;378.3;185.7;192.6;449.7;208.6;241.0;932.1;562.8;369.3;1784.4;846.1;938.2;190.4;164.7;144.0;129.6;573.8;573.8;NL01  
15;Nederland;2026;17534.0;3734.0;9922.3;3877.7;13316.0;2419.8;1251.7;1168.1;443.4;181.2;262.2;192.3;103.9;88.4;379.9;185.5;194.5;453.1;209.3;243.8;951.1;571.9;379.2;1798.1;855.0;943.1;190.8;167.7;143.7;129.4;581.5;581.5;NL01  
16;Nederland;2027;17576.9;3740.7;9876.6;3959.5;13313.9;2451.6;1263.4;1188.3;447.7;181.9;265.8;195.7;105.2;90.5;381.5;185.3;196.2;456.4;209.8;246.6;970.3;581.1;389.2;1811.3;863.5;947.7;191.0;170.8;143.5;129.1;585.6;585.6;NL01  
17;Nederland;2028;17616.9;3751.1;9826.6;4039.1;13309.7;2483.3;1274.8;1208.5;451.9;182.6;269.4;199.2;106.6;92.6;382.9;184.9;198.0;459.7;210.3;249.3;989.6;590.4;399.2;1823.9;871.7;952.2;191.2;174.0;143.2;128.8;591.4;591.4;NL01  
18;Nederland;2029;17653.9;3758.5;9776.8;4118.6;13303.0;2514.7;1286.1;1228.6;456.0;183.1;272.8;202.6;107.9;94.7;384.2;184.5;199.7;462.8;210.8;252.0;1009.1;599.7;409.4;1836.1;879.5;956.6;191.2;177.3;143.0;128.5;595.4;595.4;NL01  
19;Nederland;2030;17687.8;3765.7;9725.1;4197.0;13293.9;2546.0;1297.3;1248.8;460.0;183.7;276.3;206.0;109.2;96.8;385.4;184.0;201.4;465.9;211.2;254.7;1028.7;609.1;419.6;1847.9;887.1;960.8;191.1;180.5;142.8;128.2;597.2;597.2;NL01  
