ID;PositieInHetHuishouden;SoortWoonruimte;RegioS;Perioden;Personen_1
0;Totaal;Totaal;Nederland;2015;16979120.0
1;Totaal;Totaal;Nederland;2016;17081505.0
2;Totaal;Totaal;Nederland;2017;17181085.0
3;Totaal;Totaal;Nederland;2018;17282165.0
4;Totaal;Totaal;Nederland;2019;17407585.0
5;Totaal;Totaal;Nederland;2020;17475415.0
6;Totaal;Totaal;Nederland;2021;17590670.0
7;Totaal;Totaal;Nederland;2022;17811290.0
8;Totaal;Totaal;Noord-Nederland (LD);2015;1718390.0
9;Totaal;Totaal;Noord-Nederland (LD);2016;1722245.0
10;Totaal;Totaal;Noord-Nederland (LD);2017;1722310.0
11;Totaal;Totaal;Noord-Nederland (LD);2018;1723825.0
12;Totaal;Totaal;Noord-Nederland (LD);2019;1729505.0
13;Totaal;Totaal;Noord-Nederland (LD);2020;1733135.0
14;Totaal;Totaal;Noord-Nederland (LD);2021;1741930.0
15;Totaal;Totaal;Noord-Nederland (LD);2022;1757675.0
16;Totaal;Totaal;Oost-Nederland (LD);2015;3583700.0
17;Totaal;Totaal;Oost-Nederland (LD);2016;3603405.0
18;Totaal;Totaal;Oost-Nederland (LD);2017;3623275.0
19;Totaal;Totaal;Oost-Nederland (LD);2018;3644945.0
20;Totaal;Totaal;Oost-Nederland (LD);2019;3671380.0
21;Totaal;Totaal;Oost-Nederland (LD);2020;3691360.0
22;Totaal;Totaal;Oost-Nederland (LD);2021;3717150.0
23;Totaal;Totaal;Oost-Nederland (LD);2022;3762740.0
24;Totaal;Totaal;West-Nederland (LD);2015;8062020.0
25;Totaal;Totaal;West-Nederland (LD);2016;8125780.0
26;Totaal;Totaal;West-Nederland (LD);2017;8190015.0
27;Totaal;Totaal;West-Nederland (LD);2018;8252390.0
28;Totaal;Totaal;West-Nederland (LD);2019;8326545.0
29;Totaal;Totaal;West-Nederland (LD);2020;8361090.0
30;Totaal;Totaal;West-Nederland (LD);2021;8420390.0
31;Totaal;Totaal;West-Nederland (LD);2022;8536270.0
32;Totaal;Totaal;Zuid-Nederland (LD);2015;3615010.0
33;Totaal;Totaal;Zuid-Nederland (LD);2016;3630075.0
34;Totaal;Totaal;Zuid-Nederland (LD);2017;3645485.0
35;Totaal;Totaal;Zuid-Nederland (LD);2018;3660940.0
36;Totaal;Totaal;Zuid-Nederland (LD);2019;3680155.0
37;Totaal;Totaal;Zuid-Nederland (LD);2020;3689820.0
38;Totaal;Totaal;Zuid-Nederland (LD);2021;3711155.0
39;Totaal;Totaal;Zuid-Nederland (LD);2022;3754575.0
40;Totaal;Totaal;Niet in te delen (LD);2015;
41;Totaal;Totaal;Niet in te delen (LD);2016;
42;Totaal;Totaal;Niet in te delen (LD);2017;
43;Totaal;Totaal;Niet in te delen (LD);2018;65.0
44;Totaal;Totaal;Niet in te delen (LD);2019;
45;Totaal;Totaal;Niet in te delen (LD);2020;10.0
46;Totaal;Totaal;Niet in te delen (LD);2021;40.0
47;Totaal;Totaal;Niet in te delen (LD);2022;25.0
48;Totaal;Totaal;Groningen (PV);2015;583720.0
49;Totaal;Totaal;Groningen (PV);2016;583580.0
50;Totaal;Totaal;Groningen (PV);2017;582945.0
51;Totaal;Totaal;Groningen (PV);2018;583990.0
52;Totaal;Totaal;Groningen (PV);2019;585865.0
