ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2;TurnoverIndices_3;TurnoverChange_4;TurnoverIndices_5;TurnoverChange_6
0;689;2000 January;84.2;;94.5;;67.3;
1;689;2000 February;76.3;;86.3;;59.8;
2;689;2000 March;74.9;;83.0;;61.4;
3;689;2000 1st quarter;78.5;;87.9;;62.9;
4;689;2000 April;59.1;;63.1;;52.6;
5;689;2000 May;50.1;;50.8;;49.0;
6;689;2000 June;45.5;;42.1;;51.1;
7;689;2000 2nd quarter;51.6;;52.0;;51.0;
8;689;2000 July;48.5;;48.4;;48.5;
9;689;2000 August;41.1;;42.3;;39.1;
10;689;2000 September;44.5;;46.5;;41.3;
11;689;2000 3rd quarter;44.7;;45.7;;43.0;
12;689;2000 October;68.5;;69.4;;67.1;
13;689;2000 November;91.8;;97.9;;81.6;
14;689;2000 December;99.2;;110.5;;80.3;
15;689;2000 4th quarter;86.5;;92.6;;76.4;
16;689;2000;65.3;;69.5;;58.3;
17;689;2001 January;130.2;54.6;136.7;44.8;119.4;77.5
18;689;2001 February;103.8;36.0;111.0;28.7;91.8;53.5
19;689;2001 March;109.5;46.1;118.4;42.6;94.6;54.1
20;689;2001 1st quarter;114.5;45.9;122.1;38.9;101.9;62.2
21;689;2001 April;88.7;50.1;91.2;44.6;84.6;60.9
22;689;2001 May;66.2;32.1;62.8;23.7;71.9;46.6
23;689;2001 June;57.3;25.9;55.0;30.7;61.1;19.4
24;689;2001 2nd quarter;70.7;37.2;69.7;34.1;72.5;42.3
25;689;2001 July;53.7;10.8;49.1;1.4;61.3;26.4
26;689;2001 August;50.5;22.9;50.1;18.3;51.3;31.1
27;689;2001 September;56.6;27.2;57.5;23.7;55.3;33.7
28;689;2001 3rd quarter;53.6;19.9;52.2;14.1;56.0;30.2
29;689;2001 October;64.4;-5.9;60.7;-12.4;70.6;5.2
30;689;2001 November;95.3;3.9;102.0;4.2;84.3;3.2
31;689;2001 December;112.0;12.9;124.1;12.3;91.9;14.5
32;689;2001 4th quarter;90.6;4.7;95.6;3.3;82.3;7.8
33;689;2001;82.4;26.1;84.9;22.1;78.2;34.1
34;689;2002 January;118.1;-9.3;130.3;-4.7;97.8;-18.1
35;689;2002 February;90.4;-12.9;99.4;-10.4;75.4;-17.9
36;689;2002 March;85.1;-22.2;92.8;-21.6;72.4;-23.4
37;689;2002 1st quarter;97.9;-14.5;107.5;-11.9;81.9;-19.7
38;689;2002 April;72.0;-18.9;77.0;-15.6;63.7;-24.7
39;689;2002 May;58.5;-11.6;58.3;-7.2;58.9;-18.0
40;689;2002 June;48.5;-15.4;46.0;-16.5;52.7;-13.7
41;689;2002 2nd quarter;59.7;-15.7;60.4;-13.3;58.4;-19.4
42;689;2002 July;49.5;-7.9;44.8;-8.8;57.2;-6.7
43;689;2002 August;41.3;-18.3;38.4;-23.3;46.1;-10.2
