ID;Periods;TourismExpenditureNLEconomyTotal_1;InboundTourismExpenditure_2;TotalDomesticTourismExpenditure_3;DestinationTheNetherlands_4;DestinationAbroad_5;OtherExpenditures_6;OutboundTourismExpenditure_7;TourismExpenditureNLEconomyTotal_8;InboundTourismExpenditure_9;TotalDomesticTourismExpenditure_10;DestinationTheNetherlands_11;DestinationAbroad_12;OtherExpenditures_13;OutboundTourismExpenditure_14
0;2010;59516;14900;41817;37094;4723;2799;14579;86.0;65.1;95.4;95.5;91.4;107.2;101.4
1;2011;62237;15569;43869;38726;5143;2799;14923;88.2;68.0;97.5;97.2;97.2;104.9;100.5
2;2012;64692;17239;44658;39183;5475;2795;15481;89.2;73.3;96.5;96.0;98.7;102.6;101.0
3;2013;66037;18986;44284;38772;5512;2768;15753;90.3;80.4;94.8;94.5;96.7;99.2;101.3
4;2014;69441;21121;45521;39930;5591;2799;15398;94.8;89.4;97.2;97.1;97.4;100.0;98.5
5;2015;73513;23957;46691;40921;5770;2864;15746;100.0;100.0;100.0;100.0;100.0;100.0;100.0
6;2016;76843;26568;47374;41512;5862;2901;15769;104.8;111.2;101.9;101.6;104.3;99.5;101.4
7;2017;82188;30040;49154;42961;6192;2994;16985;110.1;123.7;103.6;103.3;105.9;101.7;106.3
8;2018;86454;32229;51174;44717;6456;3051;17004;113.7;130.4;105.8;105.4;108.7;102.5;104.1
9;2019;90814;34729;52924;46558;6366;3161;17584;116.3;137.4;106.2;106.5;104.6;104.9;105.4
10;2020;53252;15744;34182;32290;1892;3326;5520;67.2;61.7;67.9;73.0;31.7;100.6;33.2
11;2021;59291;18104;37696;34945;2751;3492;8119;72.4;69.3;72.1;76.3;42.8;102.2;46.3
12;2022;95835;34474;57665;51220;6445;3696;16816;108.4;119.8;103.0;105.0;89.9;105.8;85.1
