ID;SoortVerdachte;Migratieachtergrond;Leeftijd;Perioden;IngeschrevenRechtbankstrafzaken_1;TotaalBeslissingenDoorOM_2;Dagvaarding_3;OproepenTerTerechtzittingNAVVerzet_4;OnvoorwaardelijkSepot_5;VoorwaardelijkBeleidssepot_6;Transactie_7;Strafbeschikking_8;Overig_9;TotaalEindbeslissing_10;SchuldigverklaringMetStraf_11;SchuldigverklaringZonderStraf_12;VrijspraakEnOntslagRechtsvervolging_13;Overig_14;TotaalOpgelegdeSancties_15;TotaalHoofdstraffen_16;GevangenisstrafInclJeugddetentie_17;Geldboete_18;Taakstraf_19;OverigeHoofdstraffen_20;BijkomendeStraffen_21;Maatregelen_22;StrafOnbekend_23
0;Totaal;Totaal;Totaal leeftijd;2001;236030;259625;144090;0;25610;2725;66970;0;20230;113335;106445;685;5130;1070;159625;123380;50075;48730;24380;200;19535;16135;570
1;Totaal;Totaal;Totaal leeftijd;2002;251290;275370;154675;0;24895;2975;71215;0;21605;118820;112005;770;5085;960;169195;129465;53910;47230;28135;190;20495;18640;595
2;Totaal;Totaal;Totaal leeftijd;2003;270320;292575;163905;0;23570;3505;81105;0;20490;137355;129285;890;6250;930;194860;148625;59235;55840;33265;285;23820;21655;765
3;Totaal;Totaal;Totaal leeftijd;2004;273975;293570;165905;0;24210;3880;78635;0;20940;136050;127925;855;6575;700;193580;148165;56280;54950;36690;245;22525;22150;735
4;Totaal;Totaal;Totaal leeftijd;2005;266860;285770;162775;0;23635;4795;76070;0;18500;136345;126915;910;7710;815;191670;147360;51940;54655;40495;275;21810;21840;655
5;Totaal;Totaal;Totaal leeftijd;2006;267710;287250;161155;0;25210;5520;77880;0;17485;137775;126410;1175;9310;880;190280;145440;46635;54875;43635;300;22745;21380;715
6;Totaal;Totaal;Totaal leeftijd;2007;272655;281600;159325;0;24950;5665;74225;0;17435;131125;119885;1125;9270;850;180445;136190;42595;50795;42495;305;22750;20700;800
7;Totaal;Totaal;Totaal leeftijd;2008;263015;275940;152160;0;31385;7155;69620;0;15620;131540;118665;1380;10575;920;177640;134370;41250;48860;43940;315;21390;21085;795
8;Totaal;Totaal;Totaal leeftijd;2009;232655;268235;145885;0;31210;7235;66550;5665;11690;130980;118120;1435;10535;890;173225;132065;38225;50440;43110;290;20135;20300;725
9;Totaal;Totaal;Totaal leeftijd;2010;212940;222170;129065;0;23770;6270;43015;12705;7345;113535;100975;1415;10355;785;145290;113335;35080;40315;37675;260;13545;17920;490
10;Totaal;Totaal;Totaal leeftijd;2011;232520;239405;128695;0;30095;6995;36505;30300;6815;109450;96230;1715;10625;880;137030;107610;35635;35885;35870;215;11205;17870;350
11;Totaal;Totaal;Totaal leeftijd;2012;226885;240395;117550;380;35865;9125;25820;44295;7360;104220;90935;1830;10435;1025;131795;102465;36775;29260;36220;210;11030;17970;330
12;Totaal;Totaal;Totaal leeftijd;2013;210565;224330;107505;1520;39670;9835;18195;41265;6340;104610;90740;2055;10650;1160;130585;102045;37760;29235;34835;220;11120;17150;275
13;Totaal;Totaal;Totaal leeftijd;2014;212325;221805;109590;2145;40580;11105;14480;38265;5640;102070;87270;2410;11130;1265;124985;98855;37595;26645;34500;115;9265;16645;220
14;Totaal;Totaal;Totaal leeftijd;2015;191450;203875;106005;1255;39320;9330;11905;30915;5145;106375;88980;3215;12495;1680;126545;100690;38070;27705;34760;155;9095;16595;165
15;Totaal;Totaal;Totaal leeftijd;2016;190850;202530;105280;2175;40650;8665;7350;33375;5030;94350;80245;2295;10630;1180;115780;91640;36265;22390;32775;210;7985;16035;120
16;Totaal;Totaal;Totaal leeftijd;2017;175265;185030;99505;1210;33145;8950;7100;30425;4695;93050;80550;2145;9480;875;118555;91850;36640;22585;32390;240;9540;17020;145
17;Totaal;Totaal;Totaal leeftijd;2018;170235;178180;95920;1070;35075;8485;5140;28610;3885;88350;77315;1855;8430;750;115155;88605;35515;22635;30210;240;10490;15935;125
18;Totaal;Totaal;Totaal leeftijd;2019;188105;191375;94460;995;53410;8600;3315;28675;1925;85625;75770;1795;7340;720;117020;86885;35855;21600;29195;235;12870;17200;65
19;Totaal;Totaal;Totaal leeftijd;2020;172285;176005;79710;1755;55165;10905;2075;25530;865;65855;58420;1480;5480;470;91725;66850;29155;14730;22810;155;9510;15345;25
20;Totaal;Totaal;Totaal leeftijd;2021;165165;174880;77275;1515;54965;9550;2010;28720;850;69730;60870;1735;6520;605;95950;70975;31100;14090;25655;135;8995;15925;50
21;Totaal;Totaal;Totaal leeftijd;2022;181610;185100;81620;1120;55175;9265;1380;35035;1495;69555;61445;1600;5910;605;97915;70575;31840;14150;24500;85;10855;16440;45
