ID;BedrijfstakkenBranchesSBI2008;Regio;Perioden;Omzet_1
0;47 Detailhandel (niet in auto’s);Nederland;2013;101134538
1;47 Detailhandel (niet in auto’s);Nederland;2014;101705667
2;47 Detailhandel (niet in auto’s);Noord-Nederland (LD);2013;9264834
3;47 Detailhandel (niet in auto’s);Noord-Nederland (LD);2014;9365897
4;47 Detailhandel (niet in auto’s);Oost-Nederland (LD);2013;21025221
5;47 Detailhandel (niet in auto’s);Oost-Nederland (LD);2014;20977132
6;47 Detailhandel (niet in auto’s);West-Nederland (LD);2013;47570245
7;47 Detailhandel (niet in auto’s);West-Nederland (LD);2014;48149360
8;47 Detailhandel (niet in auto’s);Zuid-Nederland (LD);2013;23274238
9;47 Detailhandel (niet in auto’s);Zuid-Nederland (LD);2014;23213278
10;47 Detailhandel (niet in auto’s);Groningen (PV);2013;3057037
11;47 Detailhandel (niet in auto’s);Groningen (PV);2014;3098354
12;47 Detailhandel (niet in auto’s);Friesland (PV);2013;3628702
13;47 Detailhandel (niet in auto’s);Friesland (PV);2014;3574172
14;47 Detailhandel (niet in auto’s);Drenthe (PV);2013;2579096
15;47 Detailhandel (niet in auto’s);Drenthe (PV);2014;2693371
16;47 Detailhandel (niet in auto’s);Overijssel (PV);2013;7331453
17;47 Detailhandel (niet in auto’s);Overijssel (PV);2014;7382523
18;47 Detailhandel (niet in auto’s);Flevoland (PV);2013;2163799
19;47 Detailhandel (niet in auto’s);Flevoland (PV);2014;2278558
20;47 Detailhandel (niet in auto’s);Gelderland (PV);2013;11529969
21;47 Detailhandel (niet in auto’s);Gelderland (PV);2014;11316051
22;47 Detailhandel (niet in auto’s);Utrecht (PV);2013;7928094
23;47 Detailhandel (niet in auto’s);Utrecht (PV);2014;8125100
24;47 Detailhandel (niet in auto’s);Noord-Holland (PV);2013;17607614
25;47 Detailhandel (niet in auto’s);Noord-Holland (PV);2014;17946052
26;47 Detailhandel (niet in auto’s);Zuid-Holland (PV);2013;19666874
27;47 Detailhandel (niet in auto’s);Zuid-Holland (PV);2014;19791613
28;47 Detailhandel (niet in auto’s);Zeeland (PV);2013;2367662
29;47 Detailhandel (niet in auto’s);Zeeland (PV);2014;2286595
30;47 Detailhandel (niet in auto’s);Noord-Brabant (PV);2013;15788573
31;47 Detailhandel (niet in auto’s);Noord-Brabant (PV);2014;15459263
32;47 Detailhandel (niet in auto’s);Limburg (PV);2013;7485665
33;47 Detailhandel (niet in auto’s);Limburg (PV);2014;7754014
34;4711 Supermarkten;Nederland;2013;32554514
35;4711 Supermarkten;Nederland;2014;32546183
36;4711 Supermarkten;Noord-Nederland (LD);2013;3371255
37;4711 Supermarkten;Noord-Nederland (LD);2014;3331986
38;4711 Supermarkten;Oost-Nederland (LD);2013;6934841
39;4711 Supermarkten;Oost-Nederland (LD);2014;6920288
40;4711 Supermarkten;West-Nederland (LD);2013;14750910
41;4711 Supermarkten;West-Nederland (LD);2014;14596008
42;4711 Supermarkten;Zuid-Nederland (LD);2013;7497508
43;4711 Supermarkten;Zuid-Nederland (LD);2014;7697900
44;4711 Supermarkten;Groningen (PV);2013;1077126
45;4711 Supermarkten;Groningen (PV);2014;1041954
46;4711 Supermarkten;Friesland (PV);2013;1408248
47;4711 Supermarkten;Friesland (PV);2014;1354631
48;4711 Supermarkten;Drenthe (PV);2013;885882
49;4711 Supermarkten;Drenthe (PV);2014;935400
50;4711 Supermarkten;Overijssel (PV);2013;2392668
51;4711 Supermarkten;Overijssel (PV);2014;2384897
52;4711 Supermarkten;Flevoland (PV);2013;799666
53;4711 Supermarkten;Flevoland (PV);2014;789082
54;4711 Supermarkten;Gelderland (PV);2013;3742506
55;4711 Supermarkten;Gelderland (PV);2014;3746310
56;4711 Supermarkten;Utrecht (PV);2013;2245051
57;4711 Supermarkten;Utrecht (PV);2014;2241321
58;4711 Supermarkten;Noord-Holland (PV);2013;5412273
59;4711 Supermarkten;Noord-Holland (PV);2014;5352160
60;4711 Supermarkten;Zuid-Holland (PV);2013;6304704
61;4711 Supermarkten;Zuid-Holland (PV);2014;6259598
62;4711 Supermarkten;Zeeland (PV);2013;788883
63;4711 Supermarkten;Zeeland (PV);2014;742929
64;4711 Supermarkten;Noord-Brabant (PV);2013;5168572
65;4711 Supermarkten;Noord-Brabant (PV);2014;5067623
66;4711 Supermarkten;Limburg (PV);2013;2328936
67;4711 Supermarkten;Limburg (PV);2014;2630277
68;4711, 472 Winkels in voedingsmiddelen;Nederland;2013;37623029
69;4711, 472 Winkels in voedingsmiddelen;Nederland;2014;37663136
70;4711, 472 Winkels in voedingsmiddelen;Noord-Nederland (LD);2013;3744467
71;4711, 472 Winkels in voedingsmiddelen;Noord-Nederland (LD);2014;3706102
72;4711, 472 Winkels in voedingsmiddelen;Oost-Nederland (LD);2013;7768332
73;4711, 472 Winkels in voedingsmiddelen;Oost-Nederland (LD);2014;7758538
74;4711, 472 Winkels in voedingsmiddelen;West-Nederland (LD);2013;17652140
75;4711, 472 Winkels in voedingsmiddelen;West-Nederland (LD);2014;17539418
76;4711, 472 Winkels in voedingsmiddelen;Zuid-Nederland (LD);2013;8458091
77;4711, 472 Winkels in voedingsmiddelen;Zuid-Nederland (LD);2014;8659079
78;4711, 472 Winkels in voedingsmiddelen;Groningen (PV);2013;1209865
79;4711, 472 Winkels in voedingsmiddelen;Groningen (PV);2014;1181723
80;4711, 472 Winkels in voedingsmiddelen;Friesland (PV);2013;1552100
81;4711, 472 Winkels in voedingsmiddelen;Friesland (PV);2014;1495666
82;4711, 472 Winkels in voedingsmiddelen;Drenthe (PV);2013;982502
83;4711, 472 Winkels in voedingsmiddelen;Drenthe (PV);2014;1028713
84;4711, 472 Winkels in voedingsmiddelen;Overijssel (PV);2013;2641655
85;4711, 472 Winkels in voedingsmiddelen;Overijssel (PV);2014;2645155
86;4711, 472 Winkels in voedingsmiddelen;Flevoland (PV);2013;872424
87;4711, 472 Winkels in voedingsmiddelen;Flevoland (PV);2014;863103
88;4711, 472 Winkels in voedingsmiddelen;Gelderland (PV);2013;4254253
89;4711, 472 Winkels in voedingsmiddelen;Gelderland (PV);2014;4250279
90;4711, 472 Winkels in voedingsmiddelen;Utrecht (PV);2013;2661352
91;4711, 472 Winkels in voedingsmiddelen;Utrecht (PV);2014;2655317
92;4711, 472 Winkels in voedingsmiddelen;Noord-Holland (PV);2013;6625895
93;4711, 472 Winkels in voedingsmiddelen;Noord-Holland (PV);2014;6598419
94;4711, 472 Winkels in voedingsmiddelen;Zuid-Holland (PV);2013;7448004
95;4711, 472 Winkels in voedingsmiddelen;Zuid-Holland (PV);2014;7405863
96;4711, 472 Winkels in voedingsmiddelen;Zeeland (PV);2013;916889
97;4711, 472 Winkels in voedingsmiddelen;Zeeland (PV);2014;879818
98;4711, 472 Winkels in voedingsmiddelen;Noord-Brabant (PV);2013;5787612
99;4711, 472 Winkels in voedingsmiddelen;Noord-Brabant (PV);2014;5697513
100;4711, 472 Winkels in voedingsmiddelen;Limburg (PV);2013;2670479
101;4711, 472 Winkels in voedingsmiddelen;Limburg (PV);2014;2961566
102;4719, 474-477 Winkels in non-foodart.;Nederland;2013;47856870
103;4719, 474-477 Winkels in non-foodart.;Nederland;2014;48228226
104;4719, 474-477 Winkels in non-foodart.;Noord-Nederland (LD);2013;4213491
105;4719, 474-477 Winkels in non-foodart.;Noord-Nederland (LD);2014;4216201
106;4719, 474-477 Winkels in non-foodart.;Oost-Nederland (LD);2013;9519682
107;4719, 474-477 Winkels in non-foodart.;Oost-Nederland (LD);2014;9574405
108;4719, 474-477 Winkels in non-foodart.;West-Nederland (LD);2013;23172709
109;4719, 474-477 Winkels in non-foodart.;West-Nederland (LD);2014;23499875
110;4719, 474-477 Winkels in non-foodart.;Zuid-Nederland (LD);2013;10950988
111;4719, 474-477 Winkels in non-foodart.;Zuid-Nederland (LD);2014;10928896
112;4719, 474-477 Winkels in non-foodart.;Groningen (PV);2013;1500265
113;4719, 474-477 Winkels in non-foodart.;Groningen (PV);2014;1472761
114;4719, 474-477 Winkels in non-foodart.;Friesland (PV);2013;1531338
115;4719, 474-477 Winkels in non-foodart.;Friesland (PV);2014;1518414
116;4719, 474-477 Winkels in non-foodart.;Drenthe (PV);2013;1181888
117;4719, 474-477 Winkels in non-foodart.;Drenthe (PV);2014;1225027
118;4719, 474-477 Winkels in non-foodart.;Overijssel (PV);2013;3087334
119;4719, 474-477 Winkels in non-foodart.;Overijssel (PV);2014;3122368
120;4719, 474-477 Winkels in non-foodart.;Flevoland (PV);2013;945444
121;4719, 474-477 Winkels in non-foodart.;Flevoland (PV);2014;1010439
122;4719, 474-477 Winkels in non-foodart.;Gelderland (PV);2013;5486904
123;4719, 474-477 Winkels in non-foodart.;Gelderland (PV);2014;5441599
124;4719, 474-477 Winkels in non-foodart.;Utrecht (PV);2013;3659905
125;4719, 474-477 Winkels in non-foodart.;Utrecht (PV);2014;3620748
126;4719, 474-477 Winkels in non-foodart.;Noord-Holland (PV);2013;8953535
127;4719, 474-477 Winkels in non-foodart.;Noord-Holland (PV);2014;9308314
128;4719, 474-477 Winkels in non-foodart.;Zuid-Holland (PV);2013;9431048
129;4719, 474-477 Winkels in non-foodart.;Zuid-Holland (PV);2014;9454277
130;4719, 474-477 Winkels in non-foodart.;Zeeland (PV);2013;1128221
131;4719, 474-477 Winkels in non-foodart.;Zeeland (PV);2014;1116536
132;4719, 474-477 Winkels in non-foodart.;Noord-Brabant (PV);2013;7574523
133;4719, 474-477 Winkels in non-foodart.;Noord-Brabant (PV);2014;7566797
134;4719, 474-477 Winkels in non-foodart.;Limburg (PV);2013;3376466
135;4719, 474-477 Winkels in non-foodart.;Limburg (PV);2014;3362099
136;472 Winkels in voedingsmiddelen;Nederland;2013;5068515
137;472 Winkels in voedingsmiddelen;Nederland;2014;5116953
138;472 Winkels in voedingsmiddelen;Noord-Nederland (LD);2013;373212
139;472 Winkels in voedingsmiddelen;Noord-Nederland (LD);2014;374116
140;472 Winkels in voedingsmiddelen;Oost-Nederland (LD);2013;833491
141;472 Winkels in voedingsmiddelen;Oost-Nederland (LD);2014;838249
142;472 Winkels in voedingsmiddelen;West-Nederland (LD);2013;2901229
143;472 Winkels in voedingsmiddelen;West-Nederland (LD);2014;2943409
144;472 Winkels in voedingsmiddelen;Zuid-Nederland (LD);2013;960583
145;472 Winkels in voedingsmiddelen;Zuid-Nederland (LD);2014;961179
146;472 Winkels in voedingsmiddelen;Groningen (PV);2013;132739
147;472 Winkels in voedingsmiddelen;Groningen (PV);2014;139769
148;472 Winkels in voedingsmiddelen;Friesland (PV);2013;143852
149;472 Winkels in voedingsmiddelen;Friesland (PV);2014;141035
150;472 Winkels in voedingsmiddelen;Drenthe (PV);2013;96620
151;472 Winkels in voedingsmiddelen;Drenthe (PV);2014;93312
152;472 Winkels in voedingsmiddelen;Overijssel (PV);2013;248986
153;472 Winkels in voedingsmiddelen;Overijssel (PV);2014;260259
154;472 Winkels in voedingsmiddelen;Flevoland (PV);2013;72758
155;472 Winkels in voedingsmiddelen;Flevoland (PV);2014;74021
156;472 Winkels in voedingsmiddelen;Gelderland (PV);2013;511747
157;472 Winkels in voedingsmiddelen;Gelderland (PV);2014;503970
158;472 Winkels in voedingsmiddelen;Utrecht (PV);2013;416301
159;472 Winkels in voedingsmiddelen;Utrecht (PV);2014;413996
160;472 Winkels in voedingsmiddelen;Noord-Holland (PV);2013;1213622
161;472 Winkels in voedingsmiddelen;Noord-Holland (PV);2014;1246259
162;472 Winkels in voedingsmiddelen;Zuid-Holland (PV);2013;1143300
163;472 Winkels in voedingsmiddelen;Zuid-Holland (PV);2014;1146265
164;472 Winkels in voedingsmiddelen;Zeeland (PV);2013;128006
165;472 Winkels in voedingsmiddelen;Zeeland (PV);2014;136889
166;472 Winkels in voedingsmiddelen;Noord-Brabant (PV);2013;619040
167;472 Winkels in voedingsmiddelen;Noord-Brabant (PV);2014;629890
168;472 Winkels in voedingsmiddelen;Limburg (PV);2013;341543
169;472 Winkels in voedingsmiddelen;Limburg (PV);2014;331289
170;474 Winkels in consumentenelektronica;Nederland;2013;3854668
171;474 Winkels in consumentenelektronica;Nederland;2014;3890740
172;474 Winkels in consumentenelektronica;Noord-Nederland (LD);2013;325556
173;474 Winkels in consumentenelektronica;Noord-Nederland (LD);2014;341060
174;474 Winkels in consumentenelektronica;Oost-Nederland (LD);2013;795309
175;474 Winkels in consumentenelektronica;Oost-Nederland (LD);2014;813575
176;474 Winkels in consumentenelektronica;West-Nederland (LD);2013;1841940
177;474 Winkels in consumentenelektronica;West-Nederland (LD);2014;1812614
178;474 Winkels in consumentenelektronica;Zuid-Nederland (LD);2013;891863
179;474 Winkels in consumentenelektronica;Zuid-Nederland (LD);2014;914643
180;474 Winkels in consumentenelektronica;Groningen (PV);2013;132719
181;474 Winkels in consumentenelektronica;Groningen (PV);2014;124577
182;474 Winkels in consumentenelektronica;Friesland (PV);2013;106937
183;474 Winkels in consumentenelektronica;Friesland (PV);2014;112193
184;474 Winkels in consumentenelektronica;Drenthe (PV);2013;85900
185;474 Winkels in consumentenelektronica;Drenthe (PV);2014;104290
186;474 Winkels in consumentenelektronica;Overijssel (PV);2013;248612
187;474 Winkels in consumentenelektronica;Overijssel (PV);2014;254226
188;474 Winkels in consumentenelektronica;Flevoland (PV);2013;79380
189;474 Winkels in consumentenelektronica;Flevoland (PV);2014;110052
190;474 Winkels in consumentenelektronica;Gelderland (PV);2013;467317
191;474 Winkels in consumentenelektronica;Gelderland (PV);2014;449296
192;474 Winkels in consumentenelektronica;Utrecht (PV);2013;305311
193;474 Winkels in consumentenelektronica;Utrecht (PV);2014;250239
194;474 Winkels in consumentenelektronica;Noord-Holland (PV);2013;683610
195;474 Winkels in consumentenelektronica;Noord-Holland (PV);2014;757763
196;474 Winkels in consumentenelektronica;Zuid-Holland (PV);2013;752016
197;474 Winkels in consumentenelektronica;Zuid-Holland (PV);2014;692803
198;474 Winkels in consumentenelektronica;Zeeland (PV);2013;101003
199;474 Winkels in consumentenelektronica;Zeeland (PV);2014;111809
200;474 Winkels in consumentenelektronica;Noord-Brabant (PV);2013;605377
201;474 Winkels in consumentenelektronica;Noord-Brabant (PV);2014;633941
202;474 Winkels in consumentenelektronica;Limburg (PV);2013;286486
203;474 Winkels in consumentenelektronica;Limburg (PV);2014;280702
204;475 Winkels in overige huishoudwaren;Nederland;2013;11525352
205;475 Winkels in overige huishoudwaren;Nederland;2014;11629991
206;475 Winkels in overige huishoudwaren;Noord-Nederland (LD);2013;1118515
207;475 Winkels in overige huishoudwaren;Noord-Nederland (LD);2014;1133613
208;475 Winkels in overige huishoudwaren;Oost-Nederland (LD);2013;2410933
209;475 Winkels in overige huishoudwaren;Oost-Nederland (LD);2014;2420971
210;475 Winkels in overige huishoudwaren;West-Nederland (LD);2013;5146607
211;475 Winkels in overige huishoudwaren;West-Nederland (LD);2014;5281865
212;475 Winkels in overige huishoudwaren;Zuid-Nederland (LD);2013;2849297
213;475 Winkels in overige huishoudwaren;Zuid-Nederland (LD);2014;2793542
214;475 Winkels in overige huishoudwaren;Groningen (PV);2013;419886
215;475 Winkels in overige huishoudwaren;Groningen (PV);2014;426653
216;475 Winkels in overige huishoudwaren;Friesland (PV);2013;421765
217;475 Winkels in overige huishoudwaren;Friesland (PV);2014;421552
218;475 Winkels in overige huishoudwaren;Drenthe (PV);2013;276864
219;475 Winkels in overige huishoudwaren;Drenthe (PV);2014;285408
220;475 Winkels in overige huishoudwaren;Overijssel (PV);2013;773274
221;475 Winkels in overige huishoudwaren;Overijssel (PV);2014;780981
222;475 Winkels in overige huishoudwaren;Flevoland (PV);2013;194743
223;475 Winkels in overige huishoudwaren;Flevoland (PV);2014;202694
224;475 Winkels in overige huishoudwaren;Gelderland (PV);2013;1442915
225;475 Winkels in overige huishoudwaren;Gelderland (PV);2014;1437297
226;475 Winkels in overige huishoudwaren;Utrecht (PV);2013;887126
227;475 Winkels in overige huishoudwaren;Utrecht (PV);2014;905951
228;475 Winkels in overige huishoudwaren;Noord-Holland (PV);2013;1810561
229;475 Winkels in overige huishoudwaren;Noord-Holland (PV);2014;1856460
230;475 Winkels in overige huishoudwaren;Zuid-Holland (PV);2013;2180665
231;475 Winkels in overige huishoudwaren;Zuid-Holland (PV);2014;2244919
232;475 Winkels in overige huishoudwaren;Zeeland (PV);2013;268255
233;475 Winkels in overige huishoudwaren;Zeeland (PV);2014;274534
234;475 Winkels in overige huishoudwaren;Noord-Brabant (PV);2013;2117106
235;475 Winkels in overige huishoudwaren;Noord-Brabant (PV);2014;2058855
236;475 Winkels in overige huishoudwaren;Limburg (PV);2013;732191
237;475 Winkels in overige huishoudwaren;Limburg (PV);2014;734687
238;4752 Winkels in doe-het-zelfartikelen;Nederland;2013;5817440
239;4752 Winkels in doe-het-zelfartikelen;Nederland;2014;5071839
240;4752 Winkels in doe-het-zelfartikelen;Noord-Nederland (LD);2013;544916
241;4752 Winkels in doe-het-zelfartikelen;Noord-Nederland (LD);2014;510221
242;4752 Winkels in doe-het-zelfartikelen;Oost-Nederland (LD);2013;1133455
243;4752 Winkels in doe-het-zelfartikelen;Oost-Nederland (LD);2014;1085114
244;4752 Winkels in doe-het-zelfartikelen;West-Nederland (LD);2013;2713986
245;4752 Winkels in doe-het-zelfartikelen;West-Nederland (LD);2014;2239108
246;4752 Winkels in doe-het-zelfartikelen;Zuid-Nederland (LD);2013;1425082
247;4752 Winkels in doe-het-zelfartikelen;Zuid-Nederland (LD);2014;1237396
248;4752 Winkels in doe-het-zelfartikelen;Groningen (PV);2013;253387
249;4752 Winkels in doe-het-zelfartikelen;Groningen (PV);2014;151073
250;4752 Winkels in doe-het-zelfartikelen;Friesland (PV);2013;168113
251;4752 Winkels in doe-het-zelfartikelen;Friesland (PV);2014;222338
252;4752 Winkels in doe-het-zelfartikelen;Drenthe (PV);2013;123416
253;4752 Winkels in doe-het-zelfartikelen;Drenthe (PV);2014;136809
254;4752 Winkels in doe-het-zelfartikelen;Overijssel (PV);2013;359721
255;4752 Winkels in doe-het-zelfartikelen;Overijssel (PV);2014;345015
256;4752 Winkels in doe-het-zelfartikelen;Flevoland (PV);2013;77589
257;4752 Winkels in doe-het-zelfartikelen;Flevoland (PV);2014;113152
258;4752 Winkels in doe-het-zelfartikelen;Gelderland (PV);2013;696145
259;4752 Winkels in doe-het-zelfartikelen;Gelderland (PV);2014;626947
260;4752 Winkels in doe-het-zelfartikelen;Utrecht (PV);2013;493273
261;4752 Winkels in doe-het-zelfartikelen;Utrecht (PV);2014;342864
262;4752 Winkels in doe-het-zelfartikelen;Noord-Holland (PV);2013;952079
263;4752 Winkels in doe-het-zelfartikelen;Noord-Holland (PV);2014;784422
264;4752 Winkels in doe-het-zelfartikelen;Zuid-Holland (PV);2013;1118971
265;4752 Winkels in doe-het-zelfartikelen;Zuid-Holland (PV);2014;997253
266;4752 Winkels in doe-het-zelfartikelen;Zeeland (PV);2013;149663
267;4752 Winkels in doe-het-zelfartikelen;Zeeland (PV);2014;114570
268;4752 Winkels in doe-het-zelfartikelen;Noord-Brabant (PV);2013;1029575
269;4752 Winkels in doe-het-zelfartikelen;Noord-Brabant (PV);2014;932420
270;4752 Winkels in doe-het-zelfartikelen;Limburg (PV);2013;395507
271;4752 Winkels in doe-het-zelfartikelen;Limburg (PV);2014;304976
272;4759 Winkels overige huishoudartikelen;Nederland;2013;4420735
273;4759 Winkels overige huishoudartikelen;Nederland;2014;5818443
274;4759 Winkels overige huishoudartikelen;Noord-Nederland (LD);2013;411278
275;4759 Winkels overige huishoudartikelen;Noord-Nederland (LD);2014;548946
276;4759 Winkels overige huishoudartikelen;Oost-Nederland (LD);2013;888650
277;4759 Winkels overige huishoudartikelen;Oost-Nederland (LD);2014;1175065
278;4759 Winkels overige huishoudartikelen;West-Nederland (LD);2013;2260957
279;4759 Winkels overige huishoudartikelen;West-Nederland (LD);2014;2705839
280;4759 Winkels overige huishoudartikelen;Zuid-Nederland (LD);2013;859851
281;4759 Winkels overige huishoudartikelen;Zuid-Nederland (LD);2014;1388593
282;4759 Winkels overige huishoudartikelen;Groningen (PV);2013;132310
283;4759 Winkels overige huishoudartikelen;Groningen (PV);2014;258017
284;4759 Winkels overige huishoudartikelen;Friesland (PV);2013;150644
285;4759 Winkels overige huishoudartikelen;Friesland (PV);2014;163820
286;4759 Winkels overige huishoudartikelen;Drenthe (PV);2013;128324
287;4759 Winkels overige huishoudartikelen;Drenthe (PV);2014;127109
