ID;Landbouwactiviteit;Landbouwmethode;RegioS;Perioden;AantalBedrijven_1;OppervlakteVanGewassen_2;Dieraantallen_3
0;Landbouw (totaal);Landbouw (totaal);Nederland;2015;63913.0;;
1;Landbouw (totaal);Landbouw (totaal);Nederland;2016;55688.0;;
2;Landbouw (totaal);Landbouw (totaal);Nederland;2017;54849.0;;
3;Landbouw (totaal);Landbouw (totaal);Nederland;2018;53910.0;;
4;Landbouw (totaal);Landbouw (totaal);Nederland;2019;53233.0;;
5;Landbouw (totaal);Landbouw (totaal);Nederland;2020;52695.0;;
6;Landbouw (totaal);Landbouw (totaal);Nederland;2021;52107.0;;
7;Landbouw (totaal);Landbouw (totaal);Nederland;2022;50975.0;;
8;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2015;11681.0;;
9;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2016;9926.0;;
10;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2017;9814.0;;
11;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2018;9664.0;;
12;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2019;9558.0;;
13;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2020;9490.0;;
14;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2021;9380.0;;
15;Landbouw (totaal);Landbouw (totaal);Noord-Nederland (LD);2022;9201.0;;
16;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2015;20707.0;;
17;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2016;18044.0;;
18;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2017;17785.0;;
19;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2018;17589.0;;
20;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2019;17399.0;;
21;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2020;17156.0;;
22;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2021;16989.0;;
23;Landbouw (totaal);Landbouw (totaal);Oost-Nederland (LD);2022;16633.0;;
24;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2015;15868.0;;
25;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2016;13909.0;;
26;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2017;13568.0;;
27;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2018;13224.0;;
28;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2019;13084.0;;
29;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2020;13023.0;;
30;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2021;12941.0;;
31;Landbouw (totaal);Landbouw (totaal);West-Nederland (LD);2022;12711.0;;
32;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2015;15657.0;;
33;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2016;13809.0;;
34;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2017;13682.0;;
35;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2018;13433.0;;
36;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2019;13192.0;;
37;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2020;13026.0;;
38;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2021;12797.0;;
39;Landbouw (totaal);Landbouw (totaal);Zuid-Nederland (LD);2022;12430.0;;
40;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2015;3039.0;;
41;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2016;2630.0;;
42;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2017;2601.0;;
43;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2018;2569.0;;
44;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2019;2539.0;;
45;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2020;2516.0;;
46;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2021;2478.0;;
47;Landbouw (totaal);Landbouw (totaal);Groningen (PV);2022;2459.0;;
48;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2015;5231.0;;
49;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2016;4412.0;;
50;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2017;4366.0;;
51;Landbouw (totaal);Landbouw (totaal);Fryslân (PV);2018;4292.0;;
