ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalOprichtingen_1;k_0Tot10WerkzamePersonen_2;k_10OfMeerWerkzamePersonen_3;NatuurlijkePersonen_4;Rechtspersonen_5;EenjarigeBedrijven_6;MeerjarigeBedrijven_7;TotaalOpheffingen_8;k_0Tot10WerkzamePersonen_9;k_10OfMeerWerkzamePersonen_10;NatuurlijkePersonen_11;Rechtspersonen_12;EenjarigeBedrijven_13;MeerjarigeBedrijven_14;FusiesEnOvernames_15
0;A-U Alle economische activiteiten;2007;;;;;;;;;;;;;;;
1;A-U Alle economische activiteiten;2008;;;;;;;;;;;;;;;
2;A-U Alle economische activiteiten;2009;;;;;;;;;;;;;;;
3;A-U Alle economische activiteiten;2010;;;;;;;;;;;;;;;
4;A-U Alle economische activiteiten;2011;;;;;;;;;;;;;;;
5;A-U Alle economische activiteiten;2012;147350.0;146300.0;1050.0;115955.0;31395.0;6770.0;140580.0;103035.0;101445.0;1585.0;74920.0;28115.0;24920.0;78110.0;4950.0
6;A-U Alle economische activiteiten;2013;172270.0;171220.0;1050.0;137130.0;35145.0;;;129030.0;127450.0;1580.0;93630.0;35395.0;43960.0;85070.0;5055.0
7;Totaal (ex. financieel of nutsbedrijven);2007;;;;;;;;;;;;;;;
8;Totaal (ex. financieel of nutsbedrijven);2008;;;;;;;;;;;;;;;
9;Totaal (ex. financieel of nutsbedrijven);2009;;;;;;;;;;;;;;;
10;Totaal (ex. financieel of nutsbedrijven);2010;;;;;;;;;;;;;;;
11;Totaal (ex. financieel of nutsbedrijven);2011;;;;;;;;;;;;;;;
12;Totaal (ex. financieel of nutsbedrijven);2012;138600.0;137595.0;1010.0;115440.0;23160.0;5740.0;132860.0;94815.0;93290.0;1525.0;74410.0;20405.0;21165.0;73650.0;4675.0
13;Totaal (ex. financieel of nutsbedrijven);2013;163005.0;161980.0;1025.0;136480.0;26525.0;;;120360.0;118820.0;1540.0;93105.0;27250.0;40215.0;80145.0;4775.0
14;A-F Landbouw en nijverheid;2007;;;;;;;;;;;;;;;
15;A-F Landbouw en nijverheid;2008;;;;;;;;;;;;;;;
16;A-F Landbouw en nijverheid;2009;;;;;;;;;;;;;;;
17;A-F Landbouw en nijverheid;2010;;;;;;;;;;;;;;;
18;A-F Landbouw en nijverheid;2011;;;;;;;;;;;;;;;
