ID;SBI93;Aanschafjaar;Jaren;Bedrijfsgebouwen_1;GrondWaterEnWegenbouwkWerken_2;ExterneVervoermiddelen_3;InterneVervoermiddelen_4;Computers_5;OverigeMachinesEnInstallaties_6;OverigeKapitaalgoederen_7
0;10-14 Delfstoffenwinning;Aanschafjaar voor 1960;1997;7.6;1.7;1.0;3.4;0.0;0.2;0.0
1;10-14 Delfstoffenwinning;Aanschafjaar voor 1960;1998;3.4;1.6;0.2;0.8;0.0;0.0;0.0
2;10-14 Delfstoffenwinning;Aanschafjaar 1960-1964;1997;5.4;3.4;0.8;3.3;0.0;0.7;0.8
3;10-14 Delfstoffenwinning;Aanschafjaar 1960-1964;1998;2.4;3.3;0.2;0.8;0.0;0.5;0.3
4;10-14 Delfstoffenwinning;Aanschafjaar 1965-1969;1997;2.0;12.3;0.0;6.7;0.0;2.5;2.4
5;10-14 Delfstoffenwinning;Aanschafjaar 1965-1969;1998;5.0;11.5;0.1;2.6;0.0;4.2;4.8
6;10-14 Delfstoffenwinning;Aanschafjaar 1970-1974;1997;3.2;12.7;23.4;6.0;0.0;6.0;1.8
7;10-14 Delfstoffenwinning;Aanschafjaar 1970-1974;1998;4.1;11.6;6.1;8.5;0.0;6.6;3.8
8;10-14 Delfstoffenwinning;Aanschafjaar 1975-1979;1997;7.8;16.3;0.0;1.7;0.0;14.3;2.3
9;10-14 Delfstoffenwinning;Aanschafjaar 1975-1979;1998;2.7;15.6;1.2;0.5;0.0;11.4;6.7
10;10-14 Delfstoffenwinning;Aanschafjaar 1980-1984;1997;10.3;10.7;2.3;6.3;2.2;15.2;12.5
11;10-14 Delfstoffenwinning;Aanschafjaar 1980-1984;1998;10.8;10.1;1.8;5.4;1.7;12.9;14.0
12;10-14 Delfstoffenwinning;Aanschafjaar 1985-1989;1997;32.1;19.3;4.8;21.0;9.6;21.7;21.6
13;10-14 Delfstoffenwinning;Aanschafjaar 1985-1989;1998;34.0;19.6;2.6;16.7;5.8;20.3;18.4
14;10-14 Delfstoffenwinning;Aanschafjaar 1990-1994;1997;26.1;14.5;38.7;19.4;23.9;24.9;36.4
15;10-14 Delfstoffenwinning;Aanschafjaar 1990-1994;1998;28.1;14.6;12.2;27.0;16.5;23.7;38.5
16;10-14 Delfstoffenwinning;Aanschafjaar 1995-1998;1997;5.5;9.1;29.0;32.2;64.3;14.5;22.2
17;10-14 Delfstoffenwinning;Aanschafjaar 1995-1998;1998;9.4;12.1;75.5;37.7;76.0;20.5;13.4
18;15 Voedingsmiddelen en dranken;Aanschafjaar voor 1960;1997;12.1;5.7;0.0;2.1;0.0;2.1;0.8
19;15 Voedingsmiddelen en dranken;Aanschafjaar voor 1960;1998;15.7;5.0;0.7;1.1;0.0;1.6;1.8
20;15 Voedingsmiddelen en dranken;Aanschafjaar 1960-1964;1997;6.6;2.9;0.1;1.7;0.0;1.4;1.2
21;15 Voedingsmiddelen en dranken;Aanschafjaar 1960-1964;1998;4.7;1.8;0.0;1.0;0.0;1.2;1.4
22;15 Voedingsmiddelen en dranken;Aanschafjaar 1965-1969;1997;8.5;4.1;0.0;4.7;0.0;2.6;2.7
23;15 Voedingsmiddelen en dranken;Aanschafjaar 1965-1969;1998;6.8;2.7;0.0;2.9;0.0;3.2;3.4
24;15 Voedingsmiddelen en dranken;Aanschafjaar 1970-1974;1997;13.5;11.0;0.3;6.3;0.0;5.9;2.4
25;15 Voedingsmiddelen en dranken;Aanschafjaar 1970-1974;1998;11.1;12.8;0.2;3.8;0.1;5.1;5.8
26;15 Voedingsmiddelen en dranken;Aanschafjaar 1975-1979;1997;11.6;20.8;1.5;10.8;0.1;9.3;10.9
27;15 Voedingsmiddelen en dranken;Aanschafjaar 1975-1979;1998;10.8;15.5;0.7;6.2;0.0;7.8;11.2
28;15 Voedingsmiddelen en dranken;Aanschafjaar 1980-1984;1997;11.7;16.9;3.9;15.3;0.8;13.0;9.7
29;15 Voedingsmiddelen en dranken;Aanschafjaar 1980-1984;1998;12.0;13.3;5.2;10.6;0.5;11.5;9.8
30;15 Voedingsmiddelen en dranken;Aanschafjaar 1985-1989;1997;13.1;19.1;19.0;28.4;14.0;21.0;23.5
31;15 Voedingsmiddelen en dranken;Aanschafjaar 1985-1989;1998;13.4;16.1;12.7;22.3;4.8;19.4;19.7
32;15 Voedingsmiddelen en dranken;Aanschafjaar 1990-1994;1997;16.3;13.6;44.3;25.1;42.5;27.7;29.7
33;15 Voedingsmiddelen en dranken;Aanschafjaar 1990-1994;1998;16.6;20.2;27.9;26.7;29.4;27.9;24.7
34;15 Voedingsmiddelen en dranken;Aanschafjaar 1995-1998;1997;6.8;6.0;30.9;5.6;42.8;16.9;19.2
35;15 Voedingsmiddelen en dranken;Aanschafjaar 1995-1998;1998;9.0;12.6;52.6;25.4;65.2;22.3;22.1
36;16 Verwerking van tabak;Aanschafjaar voor 1960;1997;15.2;26.0;0.0;0.1;0.0;0.1;8.1
37;16 Verwerking van tabak;Aanschafjaar voor 1960;1998;11.5;16.5;0.0;0.0;0.0;0.1;8.1
38;16 Verwerking van tabak;Aanschafjaar 1960-1964;1997;6.4;0.5;0.0;0.7;0.0;0.6;3.4
39;16 Verwerking van tabak;Aanschafjaar 1960-1964;1998;6.9;0.4;0.0;1.4;0.0;0.6;3.1
40;16 Verwerking van tabak;Aanschafjaar 1965-1969;1997;8.7;1.1;0.0;1.9;0.0;1.5;7.6
41;16 Verwerking van tabak;Aanschafjaar 1965-1969;1998;7.8;0.5;0.0;2.3;0.0;1.4;7.2
42;16 Verwerking van tabak;Aanschafjaar 1970-1974;1997;5.5;2.0;0.0;2.9;0.0;2.7;10.1
43;16 Verwerking van tabak;Aanschafjaar 1970-1974;1998;6.6;1.1;0.0;6.3;0.0;3.2;10.2
44;16 Verwerking van tabak;Aanschafjaar 1975-1979;1997;6.2;3.4;0.1;6.7;0.0;5.7;11.9
45;16 Verwerking van tabak;Aanschafjaar 1975-1979;1998;9.4;2.3;0.2;11.7;0.0;5.1;10.1
46;16 Verwerking van tabak;Aanschafjaar 1980-1984;1997;28.9;32.0;0.9;19.9;0.4;19.6;16.1
47;16 Verwerking van tabak;Aanschafjaar 1980-1984;1998;21.6;22.4;0.9;10.7;0.8;18.7;13.3
48;16 Verwerking van tabak;Aanschafjaar 1985-1989;1997;7.7;9.8;4.3;38.5;13.2;18.5;13.2
49;16 Verwerking van tabak;Aanschafjaar 1985-1989;1998;6.6;5.3;4.2;21.9;12.4;14.3;11.1
50;16 Verwerking van tabak;Aanschafjaar 1990-1994;1997;17.4;24.0;43.5;16.6;31.9;27.3;20.0
51;16 Verwerking van tabak;Aanschafjaar 1990-1994;1998;22.6;39.6;25.2;17.2;29.8;32.3;21.3
52;16 Verwerking van tabak;Aanschafjaar 1995-1998;1997;4.1;1.3;51.2;12.8;54.4;24.0;9.5
53;16 Verwerking van tabak;Aanschafjaar 1995-1998;1998;6.9;11.8;69.6;28.4;57.1;24.2;15.6
54;17 Textielindustrie;Aanschafjaar voor 1960;1997;30.0;6.8;0.0;1.5;0.0;1.8;2.4
55;17 Textielindustrie;Aanschafjaar voor 1960;1998;30.4;6.7;0.0;1.5;0.0;1.9;2.4
56;17 Textielindustrie;Aanschafjaar 1960-1964;1997;6.3;3.3;0.0;1.1;0.0;1.8;0.4
57;17 Textielindustrie;Aanschafjaar 1960-1964;1998;6.5;3.4;0.0;1.1;0.0;1.7;0.4
58;17 Textielindustrie;Aanschafjaar 1965-1969;1997;13.7;20.5;0.6;2.9;0.0;3.9;3.5
59;17 Textielindustrie;Aanschafjaar 1965-1969;1998;14.1;21.0;0.7;2.8;0.0;3.9;3.5
60;17 Textielindustrie;Aanschafjaar 1970-1974;1997;10.3;7.8;0.3;6.7;0.0;8.5;5.8
61;17 Textielindustrie;Aanschafjaar 1970-1974;1998;10.6;8.0;0.3;6.6;0.0;8.4;5.7
62;17 Textielindustrie;Aanschafjaar 1975-1979;1997;5.9;4.0;0.6;6.4;0.2;5.7;4.9
63;17 Textielindustrie;Aanschafjaar 1975-1979;1998;6.1;4.1;0.6;6.1;0.2;5.3;4.7
64;17 Textielindustrie;Aanschafjaar 1980-1984;1997;10.0;20.0;0.4;7.7;1.1;16.1;14.2
65;17 Textielindustrie;Aanschafjaar 1980-1984;1998;10.3;20.5;0.5;7.5;1.0;15.5;13.6
66;17 Textielindustrie;Aanschafjaar 1985-1989;1997;12.7;29.4;5.8;17.9;9.2;25.7;28.6
67;17 Textielindustrie;Aanschafjaar 1985-1989;1998;9.4;28.0;4.9;17.0;7.5;24.2;24.5
68;17 Textielindustrie;Aanschafjaar 1990-1994;1997;9.3;7.3;47.2;43.4;43.9;26.4;28.3
69;17 Textielindustrie;Aanschafjaar 1990-1994;1998;9.3;7.5;42.1;40.4;35.0;24.8;26.5
70;17 Textielindustrie;Aanschafjaar 1995-1998;1997;1.6;0.9;45.1;12.4;45.5;10.1;11.8
71;17 Textielindustrie;Aanschafjaar 1995-1998;1998;3.2;0.9;50.9;17.0;56.2;14.3;18.8
72;18 Kleding- en bontindustrie;Aanschafjaar voor 1960;1997;4.9;0.0;0.0;0.0;0.0;0.0;0.0
73;18 Kleding- en bontindustrie;Aanschafjaar voor 1960;1998;10.8;6.6;0.0;0.0;0.0;0.0;0.0
74;18 Kleding- en bontindustrie;Aanschafjaar 1960-1964;1997;6.7;0.0;0.0;0.0;0.0;0.4;0.0
75;18 Kleding- en bontindustrie;Aanschafjaar 1960-1964;1998;1.6;0.0;0.0;0.0;0.0;0.3;0.0
76;18 Kleding- en bontindustrie;Aanschafjaar 1965-1969;1997;1.4;2.5;0.0;0.8;0.0;1.2;1.3
77;18 Kleding- en bontindustrie;Aanschafjaar 1965-1969;1998;1.9;3.4;0.0;1.1;0.0;0.6;1.5
78;18 Kleding- en bontindustrie;Aanschafjaar 1970-1974;1997;2.8;9.0;0.0;1.2;0.0;3.1;8.6
79;18 Kleding- en bontindustrie;Aanschafjaar 1970-1974;1998;3.3;12.2;0.0;1.5;0.0;2.8;9.7
80;18 Kleding- en bontindustrie;Aanschafjaar 1975-1979;1997;0.5;0.0;0.0;0.5;0.0;12.4;4.4
81;18 Kleding- en bontindustrie;Aanschafjaar 1975-1979;1998;0.7;0.0;0.0;0.7;0.0;7.7;5.0
82;18 Kleding- en bontindustrie;Aanschafjaar 1980-1984;1997;21.6;24.2;0.8;3.8;0.2;15.3;17.5
83;18 Kleding- en bontindustrie;Aanschafjaar 1980-1984;1998;18.8;0.0;1.1;3.8;0.2;10.6;10.3
84;18 Kleding- en bontindustrie;Aanschafjaar 1985-1989;1997;28.4;46.4;8.6;54.0;3.7;21.7;33.6
85;18 Kleding- en bontindustrie;Aanschafjaar 1985-1989;1998;28.8;53.3;8.9;58.7;2.8;17.7;32.1
86;18 Kleding- en bontindustrie;Aanschafjaar 1990-1994;1997;27.2;17.9;61.1;35.5;59.5;31.2;27.1
87;18 Kleding- en bontindustrie;Aanschafjaar 1990-1994;1998;28.2;24.4;51.4;28.5;41.5;36.6;22.5
88;18 Kleding- en bontindustrie;Aanschafjaar 1995-1998;1997;6.5;0.0;29.5;4.2;36.6;14.8;7.5
89;18 Kleding- en bontindustrie;Aanschafjaar 1995-1998;1998;6.0;0.0;38.6;5.8;55.5;23.7;18.9
90;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar voor 1960;1997;54.2;0.0;0.0;1.2;0.0;1.0;0.0
91;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar voor 1960;1998;54.2;0.0;0.0;1.2;0.0;1.0;0.0
92;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1960-1964;1997;23.9;0.0;0.0;0.0;0.0;5.8;0.2
93;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1960-1964;1998;23.9;0.0;0.0;0.0;0.0;5.4;0.2
94;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1965-1969;1997;3.5;0.0;0.0;0.0;0.0;15.5;7.9
95;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1965-1969;1998;3.5;0.0;0.0;0.0;0.0;14.4;7.1
96;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1970-1974;1997;0.1;1.9;0.0;0.5;0.0;0.7;2.8
97;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1970-1974;1998;0.1;1.9;0.0;0.5;0.0;0.7;2.5
98;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1975-1979;1997;1.7;1.9;0.0;1.7;0.0;16.0;18.1
99;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1975-1979;1998;1.7;1.9;0.0;1.8;0.0;14.9;16.1
100;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1980-1984;1997;1.3;1.3;0.0;3.9;2.9;9.4;9.1
101;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1980-1984;1998;1.3;1.2;0.0;3.8;2.8;8.8;8.1
102;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1985-1989;1997;6.2;89.7;6.3;48.7;3.8;9.4;9.8
103;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1985-1989;1998;6.2;89.9;5.6;48.7;3.6;8.7;8.7
104;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1990-1994;1997;9.0;5.1;35.2;44.0;62.3;28.5;23.3
105;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1990-1994;1998;9.0;5.1;31.3;44.0;59.6;26.3;20.8
106;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1995-1998;1997;0.0;0.0;58.6;0.0;31.0;13.5;28.8
107;19 Leer-, lederw.- en schoenindustrie;Aanschafjaar 1995-1998;1998;0.0;0.0;63.1;0.0;34.0;19.8;36.5
108;20 Hout-, kurk-, riet ind. (excl. meub.);Aanschafjaar voor 1960;1997;33.4;2.5;0.0;8.6;0.0;1.3;2.0
109;20 Hout-, kurk-, riet ind. (excl. meub.);Aanschafjaar voor 1960;1998;13.2;0.0;0.0;0.0;0.0;0.3;2.6
110;20 Hout-, kurk-, riet ind. (excl. meub.);Aanschafjaar 1960-1964;1997;5.2;0.7;0.0;0.8;0.0;1.2;0.4
111;20 Hout-, kurk-, riet ind. (excl. meub.);Aanschafjaar 1960-1964;1998;6.4;0.0;0.0;0.7;0.0;0.6;0.5
112;20 Hout-, kurk-, riet ind. (excl. meub.);Aanschafjaar 1965-1969;1997;5.9;3.6;0.0;4.5;0.0;3.7;1.0
113;20 Hout-, kurk-, riet ind. (excl. meub.);Aanschafjaar 1965-1969;1998;5.5;3.9;0.0;4.4;0.0;3.2;1.3
