ID;LandVanUiteindelijkeZeggenschapUCI;BedrijfstakkenBranchesSBI2008;Perioden;BedrijvenMetWerknemersInLoondienst_1;AantalBanen_2;Mannen_3;Vrouwen_4;JongerDan50_5;k_50JaarOfOuder_6;Autochtoon_7;Allochtoon_8;Nieuwkomers_9;Blijvers_10;Wisselaars_11;Hoog_12;Midden_13;Laag_14;FiscaalJaarloonPerBaan_15
0;Nederland;A-U Alle economische activiteiten;2008;481205;6960;53;47;76;24;81;19;10;74;16;18;50;32;40
1;Nederland;A-U Alle economische activiteiten;2009;455615;6847;52;48;75;25;81;19;9;77;14;17;51;33;40
2;Nederland;A-U Alle economische activiteiten;2010;419360;6849;51;49;74;26;81;19;10;80;10;17;50;33;41
3;Nederland;A-U Alle economische activiteiten;2011;449785;6910;51;49;73;27;82;18;10;79;11;17;50;33;42
4;Nederland;Landbouw, delfstoffen en energie;2008;17125;157;72;28;76;24;83;17;13;76;11;21;47;32;39
5;Nederland;Landbouw, delfstoffen en energie;2009;16080;157;72;28;76;24;82;18;12;77;12;18;47;35;40
6;Nederland;Landbouw, delfstoffen en energie;2010;15905;161;72;28;75;25;83;17;11;80;9;19;48;32;41
7;Nederland;Landbouw, delfstoffen en energie;2011;16470;165;72;28;74;26;83;17;13;78;9;20;48;32;42
8;Nederland;C Industrie;2008;26185;615;78;22;72;28;82;18;6;84;10;20;63;17;38
9;Nederland;C Industrie;2009;26120;620;77;23;71;29;82;18;4;87;9;18;63;19;39
10;Nederland;C Industrie;2010;24130;608;77;23;69;31;82;18;5;88;7;18;62;20;39
11;Nederland;C Industrie;2011;24490;590;77;23;68;32;82;18;6;86;8;18;62;20;40
12;Nederland;F Bouwnijverheid;2008;33235;382;90;10;74;26;90;10;5;82;13;24;66;10;41
13;Nederland;F Bouwnijverheid;2009;32025;379;90;10;74;26;90;10;4;84;12;21;68;11;42
14;Nederland;F Bouwnijverheid;2010;29625;375;90;10;73;27;90;10;4;88;8;22;67;11;43
15;Nederland;F Bouwnijverheid;2011;30065;370;89;11;72;28;90;10;6;85;9;22;67;11;44
16;Nederland;46 Groothandel en handelsbemiddeling;2008;37255;353;70;30;78;22;83;17;8;77;16;23;57;20;41
17;Nederland;46 Groothandel en handelsbemiddeling;2009;35650;353;70;30;78;22;83;17;6;81;12;21;57;22;42
18;Nederland;46 Groothandel en handelsbemiddeling;2010;33390;352;71;29;77;23;83;17;7;83;10;21;57;22;42
19;Nederland;46 Groothandel en handelsbemiddeling;2011;34270;352;70;30;76;24;83;17;9;80;11;21;57;23;43
