ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;Noordzeebadplaatsen_2;Watersportgebieden_3;VeluweEnVeluwerand_4;TwenteSallandEnVechtstreek_5;GroningseFrieseEnDrentseZandgronden_6;WestEnMiddenBrabant_7;OBrabantNMLimburgRijkVNijmegen_8;ZuidLimburg_9;OverigNederland_10;Friesland_11;Drenthe_12;Overijssel_13;Gelderland_14;NoordHolland_15;ZuidHolland_16;Zeeland_17;NoordBrabant_18;Limburg_19;OverigeProvincies_20
0;Totaal vakantiekenmerken;2002;9510.0;1208.0;1404.0;1016.0;674.0;801.0;1023.0;823.0;570.0;1991.0;648.0;709.0;761.0;1448.0;1077.0;998.0;712.0;1209.0;1171.0;776.0
1;Totaal vakantiekenmerken;2003;9062.0;1175.0;1305.0;1002.0;731.0;803.0;924.0;701.0;499.0;1921.0;673.0;726.0;793.0;1479.0;896.0;891.0;719.0;1027.0;995.0;862.0
2;Totaal vakantiekenmerken;2004;8910.0;1090.0;1393.0;1062.0;699.0;714.0;995.0;718.0;548.0;1690.0;635.0;622.0;850.0;1542.0;942.0;753.0;640.0;1195.0;1011.0;720.0
3;Totaal vakantiekenmerken;2005;8864.0;963.0;1138.0;1055.0;672.0;862.0;900.0;731.0;472.0;2070.0;630.0;759.0;761.0;1520.0;999.0;779.0;562.0;1151.0;939.0;764.0
4;Totaal vakantiekenmerken;2006;8951.0;999.0;1092.0;1175.0;682.0;808.0;867.0;773.0;574.0;1980.0;596.0;690.0;758.0;1824.0;956.0;776.0;543.0;1045.0;1079.0;685.0
5;Totaal vakantiekenmerken;2007;9136.0;1039.0;1121.0;1154.0;656.0;809.0;930.0;880.0;532.0;2015.0;579.0;739.0;729.0;1742.0;988.0;744.0;618.0;1173.0;1110.0;712.0
6;Totaal vakantiekenmerken;2008;8917.0;977.0;1269.0;930.0;605.0;897.0;879.0;829.0;545.0;1985.0;511.0;820.0;693.0;1455.0;1071.0;754.0;625.0;1102.0;1094.0;792.0
7;Totaal vakantiekenmerken;2009;9263.0;1098.0;1047.0;1002.0;704.0;851.0;988.0;992.0;522.0;2060.0;608.0;733.0;756.0;1545.0;1098.0;806.0;544.0;1242.0;1161.0;771.0
8;Totaal vakantiekenmerken;2010;9233.0;1026.0;1220.0;1029.0;583.0;863.0;1005.0;883.0;578.0;2044.0;582.0;766.0;647.0;1548.0;1025.0;754.0;604.0;1304.0;1178.0;823.0
9;Totaal vakantiekenmerken;2011;9479.0;1067.0;1267.0;1090.0;594.0;1037.0;1054.0;861.0;657.0;1851.0;611.0;959.0;659.0;1546.0;995.0;761.0;550.0;1322.0;1218.0;857.0
10;Totaal vakantiekenmerken;2012;10084.0;1243.0;1296.0;1210.0;707.0;955.0;1018.0;860.0;662.0;2133.0;566.0;867.0;833.0;1882.0;1130.0;865.0;672.0;1206.0;1273.0;791.0
11;Totaal vakantiekenmerken;2013;9180.0;1159.0;1354.0;989.0;560.0;745.0;930.0;723.0;568.0;2152.0;547.0;676.0;652.0;1557.0;1075.0;909.0;631.0;1192.0;1026.0;915.0
12;Totaal vakantiekenmerken;2014;9481.0;1220.0;1404.0;1055.0;610.0;813.0;918.0;758.0;506.0;2198.0;593.0;675.0;686.0;1617.0;1138.0;940.0;677.0;1106.0;1031.0;1018.0
13;Totaal vakantiekenmerken;2015;9115.0;1105.0;1061.0;949.0;753.0;843.0;856.0;793.0;484.0;2271.0;619.0;734.0;814.0;1488.0;1057.0;875.0;630.0;1064.0;1015.0;818.0
14;Totaal vakantiekenmerken;2016;9518.0;1056.0;1234.0;929.0;697.0;950.0;1000.0;838.0;592.0;2221.0;638.0;854.0;775.0;1460.0;940.0;993.0;653.0;1223.0;1129.0;852.0
15;Totaal seizoenrecreatieve logiesvormen;2002;3070.0;411.0;737.0;339.0;196.0;124.0;448.0;156.0;32.0;627.0;145.0;120.0;238.0;409.0;440.0;452.0;256.0;536.0;133.0;341.0
16;Totaal seizoenrecreatieve logiesvormen;2003;2525.0;325.0;571.0;417.0;134.0;211.0;325.0;128.0;0.0;414.0;174.0;193.0;148.0;515.0;225.0;268.0;266.0;341.0;106.0;288.0
17;Totaal seizoenrecreatieve logiesvormen;2004;2607.0;279.0;640.0;499.0;160.0;183.0;354.0;90.0;16.0;386.0;176.0;147.0;252.0;602.0;350.0;210.0;176.0;425.0;68.0;200.0
18;Totaal seizoenrecreatieve logiesvormen;2005;2456.0;268.0;427.0;421.0;144.0;248.0;349.0;80.0;3.0;515.0;187.0;218.0;178.0;491.0;298.0;237.0;159.0;471.0;24.0;192.0
19;Totaal seizoenrecreatieve logiesvormen;2006;2267.0;291.0;389.0;494.0;128.0;192.0;248.0;77.0;15.0;433.0;132.0;160.0;153.0;659.0;311.0;180.0;179.0;295.0;67.0;130.0
20;Totaal seizoenrecreatieve logiesvormen;2007;2204.0;307.0;393.0;439.0;129.0;126.0;248.0;124.0;9.0;429.0;113.0;118.0;156.0;626.0;260.0;183.0;177.0;338.0;59.0;173.0
21;Totaal seizoenrecreatieve logiesvormen;2008;2167.0;219.0;566.0;253.0;86.0;218.0;236.0;182.0;2.0;406.0;87.0;206.0;117.0;420.0;219.0;209.0;194.0;341.0;117.0;257.0
22;Totaal seizoenrecreatieve logiesvormen;2009;2319.0;288.0;371.0;288.0;202.0;179.0;351.0;239.0;7.0;396.0;93.0;161.0;217.0;415.0;295.0;214.0;141.0;451.0;157.0;174.0
23;Totaal seizoenrecreatieve logiesvormen;2010;2110.0;185.0;445.0;327.0;60.0;210.0;317.0;157.0;0.0;410.0;137.0;193.0;83.0;479.0;174.0;140.0;144.0;474.0;79.0;207.0
24;Totaal seizoenrecreatieve logiesvormen;2011;2307.0;277.0;481.0;418.0;77.0;284.0;311.0;154.0;21.0;284.0;119.0;276.0;94.0;483.0;306.0;148.0;105.0;408.0;102.0;265.0
25;Totaal seizoenrecreatieve logiesvormen;2012;2258.0;344.0;421.0;442.0;117.0;128.0;299.0;139.0;22.0;345.0;92.0;113.0;158.0;621.0;180.0;177.0;184.0;350.0;160.0;223.0
26;Totaal seizoenrecreatieve logiesvormen;2013;1776.0;264.0;463.0;282.0;57.0;112.0;240.0;59.0;4.0;296.0;132.0;93.0;77.0;399.0;192.0;136.0;167.0;341.0;36.0;201.0
27;Totaal seizoenrecreatieve logiesvormen;2014;2093.0;375.0;537.0;344.0;52.0;152.0;248.0;106.0;8.0;269.0;166.0;101.0;85.0;468.0;208.0;131.0;258.0;313.0;68.0;293.0
28;Totaal seizoenrecreatieve logiesvormen;2015;1697.0;261.0;294.0;206.0;233.0;110.0;232.0;106.0;24.0;230.0;112.0;78.0;255.0;283.0;103.0;84.0;194.0;315.0;102.0;171.0
29;Totaal seizoenrecreatieve logiesvormen;2016;1586.0;209.0;321.0;182.0;104.0;159.0;311.0;102.0;19.0;179.0;101.0;130.0;122.0;231.0;68.0;147.0;169.0;382.0;96.0;140.0
30;SL: zomerhuisje, bungalow, tweede woning;2002;555.0;192.0;118.0;52.0;66.0;25.0;3.0;0.0;0.0;100.0;13.0;20.0;66.0;52.0;154.0;50.0;96.0;3.0;0.0;101.0
