ID;RegioS;BevolkingUltimo2003_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
0;Nederland;16258.0;10817.5;67;12.3;0;17.7;0
1;Noord-Nederland (LD);1698.9;1127.1;66;11.3;4;16.4;4
2;Oost-Nederland (LD);3432.3;2261.1;66;11.6;3;17.0;3
3;West-Nederland (LD);7580.5;5040.0;66;12.8;1;18.5;1
4;Zuid-Nederland (LD);3546.3;2389.3;67;12.1;2;17.2;2
5;Groningen (PV);574.4;381.9;66;11.3;9;16.1;12
6;Friesland (PV);642.1;421.2;66;11.2;11;16.3;11
7;Drenthe (PV);482.4;324.0;67;11.6;8;16.7;8
8;Overijssel (PV);1105.5;726.6;66;11.3;10;16.5;10
9;Flevoland (PV);359.9;224.1;62;11.2;12;17.2;7
10;Gelderland (PV);1966.9;1310.3;67;11.9;7;17.2;6
11;Utrecht (PV);1162.3;774.6;67;13.2;1;19.0;1
12;Noord-Holland (PV);2587.3;1738.8;67;13.0;2;18.6;2
13;Zuid-Holland (PV);3451.9;2275.0;66;12.6;3;18.3;3
14;Zeeland (PV);379.0;251.7;66;12.1;5;17.3;5
15;Noord-Brabant (PV);2407.0;1620.5;67;12.2;4;17.5;4
16;Limburg (PV);1139.3;768.7;67;12.0;6;16.6;9
17;Oost-Groningen (CR);154.6;103.6;67;10.8;40;15.4;40
18;Delfzijl en omgeving (CR);52.3;34.5;66;11.2;36;16.2;37
19;Overig Groningen (CR);367.5;243.8;66;11.5;30;16.4;34
20;Noord-Friesland (CR);331.2;216.1;65;11.1;39;16.1;38
21;Zuidwest-Friesland (CR);105.0;68.5;65;11.2;35;16.5;32
22;Zuidoost-Friesland (CR);205.9;136.6;66;11.4;32;16.5;33
23;Noord-Drenthe (CR);184.3;124.1;67;12.1;18;17.5;18
24;Zuidoost-Drenthe (CR);170.9;114.7;67;11.1;38;15.7;39
25;Zuidwest-Drenthe (CR);127.3;85.2;67;11.7;28;16.9;26
