ID;Persoonskenmerken;Perioden;TotaalWerknemers_1;Ouderschapsverlof_2;Zorgverlof_3;Studieverlof_4;Vrijwilligerswerk_5;Sabbatical_6;EerderStoppenMetWerken_7;WeetNogNietPrecies_8;Anders_9;Onbekend_10
0;1;2006;344;20;2;1;0;16;173;100;27;4
1;2;2006;216;7;1;1;0;8;116;63;17;2
2;3;2006;128;13;1;0;0;7;57;37;10;1
3;4;2006;17;1;0;0;0;1;5;8;1;1
4;5;2006;190;20;2;1;0;11;75;68;13;2
5;6;2006;137;0;0;0;0;4;93;24;13;1
