ID;BedrijfstakBranchesSBI93;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
0;52 Detailhandel (incl. reparatie);2000 januari;86.0;98.0;88.0;;;
1;52 Detailhandel (incl. reparatie);2000 februari;86.0;99.0;87.0;;;
2;52 Detailhandel (incl. reparatie);2000 maart;98.0;100.0;98.0;;;
3;52 Detailhandel (incl. reparatie);2000 1e kwartaal;90.0;99.0;91.0;;;
4;52 Detailhandel (incl. reparatie);2000 april;98.0;100.0;98.0;;;
5;52 Detailhandel (incl. reparatie);2000 mei;104.0;101.0;104.0;;;
6;52 Detailhandel (incl. reparatie);2000 juni;102.0;100.0;102.0;;;
7;52 Detailhandel (incl. reparatie);2000 2e kwartaal;102.0;100.0;101.0;;;
8;52 Detailhandel (incl. reparatie);2000 juli;99.0;98.0;101.0;;;
9;52 Detailhandel (incl. reparatie);2000 augustus;97.0;99.0;98.0;;;
10;52 Detailhandel (incl. reparatie);2000 september;103.0;101.0;101.0;;;
11;52 Detailhandel (incl. reparatie);2000 3e kwartaal;99.0;99.0;100.0;;;
12;52 Detailhandel (incl. reparatie);2000 oktober;100.0;102.0;99.0;;;
13;52 Detailhandel (incl. reparatie);2000 november;105.0;102.0;103.0;;;
14;52 Detailhandel (incl. reparatie);2000 december;121.0;101.0;120.0;;;
15;52 Detailhandel (incl. reparatie);2000 4e kwartaal;109.0;102.0;107.0;;;
16;52 Detailhandel (incl. reparatie);2000;100.0;100.0;100.0;;;
17;52 Detailhandel (incl. reparatie);2001 januari;93.0;101.0;93.0;8.4;2.7;
18;52 Detailhandel (incl. reparatie);2001 februari;89.0;102.0;87.0;3.7;3.6;
19;52 Detailhandel (incl. reparatie);2001 maart;107.0;105.0;102.0;8.7;4.4;
20;52 Detailhandel (incl. reparatie);2001 1e kwartaal;96.0;102.0;94.0;7.0;3.6;
21;52 Detailhandel (incl. reparatie);2001 april;102.0;105.0;97.0;3.4;4.7;
22;52 Detailhandel (incl. reparatie);2001 mei;113.0;105.0;107.0;8.7;4.8;
23;52 Detailhandel (incl. reparatie);2001 juni;110.0;105.0;105.0;7.9;4.8;
24;52 Detailhandel (incl. reparatie);2001 2e kwartaal;108.0;105.0;103.0;6.7;4.8;
25;52 Detailhandel (incl. reparatie);2001 juli;102.0;103.0;99.0;3.7;5.1;
26;52 Detailhandel (incl. reparatie);2001 augustus;104.0;104.0;101.0;7.8;4.9;
