ID;Geslacht;Nationaliteit;Regio;Bewoners_1
80;Totaal mannen en vrouwen;Nederland;Gemeenten met 50001 - 100000 inwoners;776001.0
81;Totaal mannen en vrouwen;Nederland;Gemeenten met 20001 - 50000 inwoners;878011.0
82;Totaal mannen en vrouwen;Nederland;Gemeenten met 10001 - 20000 inwoners;1151369.0
83;Totaal mannen en vrouwen;Nederland;Gemeenten met 5001 - 10000 inwoners;1189431.0
84;Totaal mannen en vrouwen;Nederland;Gemeenten met 2001 - 5000 inwoners;1200809.0
85;Totaal mannen en vrouwen;Nederland;Gemeenten met 1001 - 2000 inwoners;343675.0
86;Totaal mannen en vrouwen;Nederland;Gemeenten met 501 - 1000 inwoners;105098.0
87;Totaal mannen en vrouwen;Nederland;Gemeenten met 500 of minder inwoners;10847.0
88;Totaal mannen en vrouwen;Nederland;Amsterdam;734126.0
89;Totaal mannen en vrouwen;Nederland;Rotterdam;574137.0
90;Totaal mannen en vrouwen;Nederland;'s-Gravenhage;421969.0
91;Totaal mannen en vrouwen;Nederland;Utrecht;152999.0
92;Totaal mannen en vrouwen;Nederland;Haarlem;117070.0
93;Totaal mannen en vrouwen;Nederland;Groningen;104173.0
94;Totaal mannen en vrouwen;Nederland;Eindhoven;90938.0
95;Totaal mannen en vrouwen;Nederland;Nijmegen;79967.0
96;Totaal mannen en vrouwen;Nederland;Tilburg;77240.0
97;Totaal mannen en vrouwen;Nederland;Arnhem;76729.0
98;Totaal mannen en vrouwen;Nederland;Leiden;70110.0
99;Totaal mannen en vrouwen;Nederland;Maastricht;57383.0
100;Totaal mannen en vrouwen;Nederland;Apeldoorn;59831.0
101;Totaal mannen en vrouwen;Nederland;Hilversum;55747.0
102;Totaal mannen en vrouwen;Nederland;Dordrecht;55409.0
103;Totaal mannen en vrouwen;Nederland;Schiedam;51982.0
104;Totaal mannen en vrouwen;Nederland;Enschede;50307.0
105;Totaal mannen en vrouwen;Nederland;Delft;50358.0
106;Totaal mannen en vrouwen;Nederland;Leeuwarden;48211.0
107;Totaal mannen en vrouwen;Nederland;Heerlen;36652.0
108;Totaal mannen en vrouwen;Nederland;Breda;43930.0
109;Totaal mannen en vrouwen;Nederland;'s-Hertogenbosch;41638.0
110;Totaal mannen en vrouwen;Nederland;Velsen;40646.0
111;Totaal mannen en vrouwen;Nederland;Emmen;40208.0
112;Totaal mannen en vrouwen;Nederland;Zwolle;40244.0
113;Totaal mannen en vrouwen;Nederland;Amersfoort;38193.0
114;Totaal mannen en vrouwen;Nederland;Kerkrade;27820.0
115;Totaal mannen en vrouwen;Nederland;Deventer;35936.0
116;Totaal mannen en vrouwen;Nederland;Hengelo (O.);33292.0
117;Totaal mannen en vrouwen;Nederland;Zaandam;32976.0
118;Totaal mannen en vrouwen;Nederland;Almelo;31881.0
119;Totaal mannen en vrouwen;Nederland;Lonneker;30505.0
120;Totaal mannen en vrouwen;Nederland;Ede;30585.0
121;Totaal mannen en vrouwen;Nederland;Helder (Den);29278.0
122;Totaal mannen en vrouwen;Nederland;Gouda;28968.0
123;Totaal mannen en vrouwen;Nederland;Alkmaar;27948.0
124;Totaal mannen en vrouwen;Nederland;Vlaardingen;27657.0
125;Totaal mannen en vrouwen;Nederland;Haarlemmermeer;26748.0
126;Totaal mannen en vrouwen;Nederland;Helmond;24998.0
127;Totaal mannen en vrouwen;Nederland;Bussum;24227.0
128;Totaal mannen en vrouwen;Nederland;Zeist;24261.0
129;Totaal mannen en vrouwen;Nederland;Rheden;24416.0
130;Totaal mannen en vrouwen;Nederland;Venlo;22630.0
131;Totaal mannen en vrouwen;Nederland;Roosendaal en Nispen;21662.0
132;Totaal mannen en vrouwen;Nederland;Vlissingen;21066.0
133;Totaal mannen en vrouwen;Nederland;Bergen op Zoom;21435.0
134;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Nederland;175850.0
135;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Groningen (provincie);2247.0
136;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Friesland;892.0
137;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Drenthe;1345.0
138;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Overijssel;6299.0
139;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gelderland;8934.0
140;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Utrecht (provincie);4356.0
141;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Noord-Holland;33553.0
142;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Zuid-Holland;36149.0
143;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Zeeland;8216.0
144;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Noord-Brabant;14910.0
145;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Limburg;58949.0
146;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met meer dan 100000 inwoners;57267.0
147;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 50001 - 100000 inwoners;18274.0
148;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 20001 - 50000 inwoners;31508.0
149;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 10001 - 20000 inwoners;27156.0
150;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 5001 - 10000 inwoners;17458.0
151;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 2001 - 5000 inwoners;18046.0
152;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 1001 - 2000 inwoners;4850.0
153;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 501 - 1000 inwoners;1093.0
154;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gemeenten met 500 of minder inwoners;198.0
155;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Amsterdam;23260.0
156;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Rotterdam;12815.0
157;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;'s-Gravenhage;15706.0
158;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Utrecht;1883.0
159;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Haarlem;2630.0
160;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Groningen;973.0
161;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Eindhoven;4010.0
162;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Nijmegen;1749.0
163;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Tilburg;1564.0
164;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Arnhem;1505.0
165;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Leiden;715.0
166;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Maastricht;3261.0
167;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Apeldoorn;621.0
168;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Hilversum;1312.0
169;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Dordrecht;747.0
170;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Schiedam;823.0
171;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Enschede;1498.0
172;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Delft;469.0
173;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Leeuwarden;337.0
174;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Heerlen;10265.0
175;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Breda;719.0
176;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;'s-Hertogenbosch;565.0
177;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Velsen;613.0
178;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Emmen;753.0
179;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Zwolle;252.0
180;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Amersfoort;356.0
181;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Kerkrade;8885.0
182;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Deventer;285.0
183;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Hengelo (O.);1046.0
184;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Zaandam;208.0
185;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Almelo;541.0
186;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Lonneker;624.0
187;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Ede;103.0
188;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Helder (Den);148.0
189;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Gouda;195.0
190;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Alkmaar;357.0
191;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Vlaardingen;198.0
192;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Haarlemmermeer;81.0
193;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Helmond;437.0
194;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Bussum;878.0
195;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Zeist;493.0
196;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Rheden;226.0
197;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Venlo;1645.0
198;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Roosendaal en Nispen;431.0
199;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Vlissingen;650.0
200;Totaal mannen en vrouwen;Totaal aantal vreemdelingen;Bergen op Zoom;217.0
201;Totaal mannen en vrouwen;Duitschland;Nederland;101955.0
202;Totaal mannen en vrouwen;Duitschland;Groningen (provincie);1551.0
203;Totaal mannen en vrouwen;Duitschland;Friesland;486.0
204;Totaal mannen en vrouwen;Duitschland;Drenthe;331.0
205;Totaal mannen en vrouwen;Duitschland;Overijssel;4991.0
206;Totaal mannen en vrouwen;Duitschland;Gelderland;6352.0
207;Totaal mannen en vrouwen;Duitschland;Utrecht (provincie);2872.0
208;Totaal mannen en vrouwen;Duitschland;Noord-Holland;21815.0
209;Totaal mannen en vrouwen;Duitschland;Zuid-Holland;19730.0
210;Totaal mannen en vrouwen;Duitschland;Zeeland;504.0
211;Totaal mannen en vrouwen;Duitschland;Noord-Brabant;5827.0
212;Totaal mannen en vrouwen;Duitschland;Limburg;37496.0
213;Totaal mannen en vrouwen;Duitschland;Gemeenten met meer dan 100000 inwoners;33485.0
214;Totaal mannen en vrouwen;Duitschland;Gemeenten met 50001 - 100000 inwoners;10251.0
215;Totaal mannen en vrouwen;Duitschland;Gemeenten met 20001 - 50000 inwoners;20407.0
216;Totaal mannen en vrouwen;Duitschland;Gemeenten met 10001 - 20000 inwoners;17562.0
217;Totaal mannen en vrouwen;Duitschland;Gemeenten met 5001 - 10000 inwoners;11072.0
218;Totaal mannen en vrouwen;Duitschland;Gemeenten met 2001 - 5000 inwoners;6764.0
219;Totaal mannen en vrouwen;Duitschland;Gemeenten met 1001 - 2000 inwoners;2098.0
220;Totaal mannen en vrouwen;Duitschland;Gemeenten met 501 - 1000 inwoners;286.0
221;Totaal mannen en vrouwen;Duitschland;Gemeenten met 500 of minder inwoners;30.0
222;Totaal mannen en vrouwen;Duitschland;Amsterdam;14500.0
223;Totaal mannen en vrouwen;Duitschland;Rotterdam;6170.0
224;Totaal mannen en vrouwen;Duitschland;'s-Gravenhage;9060.0
225;Totaal mannen en vrouwen;Duitschland;Utrecht;1195.0
226;Totaal mannen en vrouwen;Duitschland;Haarlem;1871.0
227;Totaal mannen en vrouwen;Duitschland;Groningen;689.0
228;Totaal mannen en vrouwen;Duitschland;Eindhoven;2219.0
229;Totaal mannen en vrouwen;Duitschland;Nijmegen;1115.0
230;Totaal mannen en vrouwen;Duitschland;Tilburg;776.0
231;Totaal mannen en vrouwen;Duitschland;Arnhem;1040.0
232;Totaal mannen en vrouwen;Duitschland;Leiden;464.0
233;Totaal mannen en vrouwen;Duitschland;Maastricht;954.0
234;Totaal mannen en vrouwen;Duitschland;Apeldoorn;408.0
235;Totaal mannen en vrouwen;Duitschland;Hilversum;945.0
236;Totaal mannen en vrouwen;Duitschland;Dordrecht;237.0
237;Totaal mannen en vrouwen;Duitschland;Schiedam;493.0
238;Totaal mannen en vrouwen;Duitschland;Enschede;1277.0
239;Totaal mannen en vrouwen;Duitschland;Delft;323.0
240;Totaal mannen en vrouwen;Duitschland;Leeuwarden;220.0
241;Totaal mannen en vrouwen;Duitschland;Heerlen;6213.0
242;Totaal mannen en vrouwen;Duitschland;Breda;315.0
243;Totaal mannen en vrouwen;Duitschland;'s-Hertogenbosch;340.0
244;Totaal mannen en vrouwen;Duitschland;Velsen;474.0
245;Totaal mannen en vrouwen;Duitschland;Emmen;59.0
246;Totaal mannen en vrouwen;Duitschland;Zwolle;155.0
247;Totaal mannen en vrouwen;Duitschland;Amersfoort;185.0
248;Totaal mannen en vrouwen;Duitschland;Kerkrade;6373.0
249;Totaal mannen en vrouwen;Duitschland;Deventer;194.0
250;Totaal mannen en vrouwen;Duitschland;Hengelo (O.);864.0
251;Totaal mannen en vrouwen;Duitschland;Zaandam;127.0
252;Totaal mannen en vrouwen;Duitschland;Almelo;432.0
253;Totaal mannen en vrouwen;Duitschland;Lonneker;538.0
254;Totaal mannen en vrouwen;Duitschland;Ede;65.0
255;Totaal mannen en vrouwen;Duitschland;Helder (Den);93.0
256;Totaal mannen en vrouwen;Duitschland;Gouda;121.0
257;Totaal mannen en vrouwen;Duitschland;Alkmaar;178.0
258;Totaal mannen en vrouwen;Duitschland;Vlaardingen;143.0
259;Totaal mannen en vrouwen;Duitschland;Haarlemmermeer;55.0
260;Totaal mannen en vrouwen;Duitschland;Helmond;298.0
261;Totaal mannen en vrouwen;Duitschland;Bussum;657.0
262;Totaal mannen en vrouwen;Duitschland;Zeist;333.0
263;Totaal mannen en vrouwen;Duitschland;Rheden;189.0
264;Totaal mannen en vrouwen;Duitschland;Venlo;1499.0
265;Totaal mannen en vrouwen;Duitschland;Roosendaal en Nispen;22.0
266;Totaal mannen en vrouwen;Duitschland;Vlissingen;211.0
267;Totaal mannen en vrouwen;Duitschland;Bergen op Zoom;54.0
268;Totaal mannen en vrouwen;België;Nederland;25404.0
269;Totaal mannen en vrouwen;België;Groningen (provincie);43.0
270;Totaal mannen en vrouwen;België;Friesland;70.0
271;Totaal mannen en vrouwen;België;Drenthe;27.0
272;Totaal mannen en vrouwen;België;Overijssel;102.0
273;Totaal mannen en vrouwen;België;Gelderland;480.0
274;Totaal mannen en vrouwen;België;Utrecht (provincie);325.0
275;Totaal mannen en vrouwen;België;Noord-Holland;1613.0
276;Totaal mannen en vrouwen;België;Zuid-Holland;2630.0
277;Totaal mannen en vrouwen;België;Zeeland;6899.0
278;Totaal mannen en vrouwen;België;Noord-Brabant;6819.0
279;Totaal mannen en vrouwen;België;Limburg;6396.0
280;Totaal mannen en vrouwen;België;Gemeenten met meer dan 100000 inwoners;3241.0
281;Totaal mannen en vrouwen;België;Gemeenten met 50001 - 100000 inwoners;4075.0
282;Totaal mannen en vrouwen;België;Gemeenten met 20001 - 50000 inwoners;2727.0
283;Totaal mannen en vrouwen;België;Gemeenten met 10001 - 20000 inwoners;2137.0
284;Totaal mannen en vrouwen;België;Gemeenten met 5001 - 10000 inwoners;2491.0
285;Totaal mannen en vrouwen;België;Gemeenten met 2001 - 5000 inwoners;7797.0
286;Totaal mannen en vrouwen;België;Gemeenten met 1001 - 2000 inwoners;2150.0
287;Totaal mannen en vrouwen;België;Gemeenten met 501 - 1000 inwoners;668.0
288;Totaal mannen en vrouwen;België;Gemeenten met 500 of minder inwoners;118.0
289;Totaal mannen en vrouwen;België;Amsterdam;1000.0
290;Totaal mannen en vrouwen;België;Rotterdam;997.0
291;Totaal mannen en vrouwen;België;'s-Gravenhage;940.0
292;Totaal mannen en vrouwen;België;Utrecht;150.0
293;Totaal mannen en vrouwen;België;Haarlem;140.0
294;Totaal mannen en vrouwen;België;Groningen;14.0
295;Totaal mannen en vrouwen;België;Eindhoven;945.0
296;Totaal mannen en vrouwen;België;Nijmegen;141.0
297;Totaal mannen en vrouwen;België;Tilburg;555.0
298;Totaal mannen en vrouwen;België;Arnhem;65.0
299;Totaal mannen en vrouwen;België;Leiden;24.0
300;Totaal mannen en vrouwen;België;Maastricht;1944.0
301;Totaal mannen en vrouwen;België;Apeldoorn;61.0
302;Totaal mannen en vrouwen;België;Hilversum;67.0
303;Totaal mannen en vrouwen;België;Dordrecht;152.0
304;Totaal mannen en vrouwen;België;Schiedam;73.0
305;Totaal mannen en vrouwen;België;Enschede;13.0
306;Totaal mannen en vrouwen;België;Delft;35.0
307;Totaal mannen en vrouwen;België;Leeuwarden;18.0
308;Totaal mannen en vrouwen;België;Heerlen;514.0
309;Totaal mannen en vrouwen;België;Breda;294.0
310;Totaal mannen en vrouwen;België;'s-Hertogenbosch;136.0
311;Totaal mannen en vrouwen;België;Velsen;48.0
312;Totaal mannen en vrouwen;België;Emmen;3.0
313;Totaal mannen en vrouwen;België;Zwolle;28.0
314;Totaal mannen en vrouwen;België;Amersfoort;32.0
315;Totaal mannen en vrouwen;België;Kerkrade;517.0
316;Totaal mannen en vrouwen;België;Deventer;8.0
317;Totaal mannen en vrouwen;België;Hengelo (O.);9.0
318;Totaal mannen en vrouwen;België;Zaandam;31.0
319;Totaal mannen en vrouwen;België;Almelo;3.0
320;Totaal mannen en vrouwen;België;Lonneker;1.0
321;Totaal mannen en vrouwen;België;Ede;3.0
322;Totaal mannen en vrouwen;België;Helder (Den);11.0
323;Totaal mannen en vrouwen;België;Gouda;29.0
324;Totaal mannen en vrouwen;België;Alkmaar;8.0
325;Totaal mannen en vrouwen;België;Vlaardingen;9.0
326;Totaal mannen en vrouwen;België;Haarlemmermeer;11.0
327;Totaal mannen en vrouwen;België;Helmond;58.0
328;Totaal mannen en vrouwen;België;Bussum;20.0
329;Totaal mannen en vrouwen;België;Zeist;33.0
330;Totaal mannen en vrouwen;België;Rheden;1.0
331;Totaal mannen en vrouwen;België;Venlo;50.0
332;Totaal mannen en vrouwen;België;Roosendaal en Nispen;331.0
333;Totaal mannen en vrouwen;België;Vlissingen;393.0
334;Totaal mannen en vrouwen;België;Bergen op Zoom;128.0
335;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Nederland;2511.0
336;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Groningen (provincie);37.0
337;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Friesland;7.0
338;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Drenthe;2.0
339;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Overijssel;60.0
340;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gelderland;111.0
341;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Utrecht (provincie);128.0
342;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Noord-Holland;805.0
343;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Zuid-Holland;1109.0
344;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Zeeland;28.0
345;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Noord-Brabant;157.0
346;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Limburg;67.0
347;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met meer dan 100000 inwoners;1584.0
348;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 50001 - 100000 inwoners;211.0
349;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 20001 - 50000 inwoners;192.0
350;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 10001 - 20000 inwoners;301.0
351;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 5001 - 10000 inwoners;126.0
352;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 2001 - 5000 inwoners;77.0
353;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 1001 - 2000 inwoners;18.0
354;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 501 - 1000 inwoners;2.0
355;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Gemeenten met 500 of minder inwoners;0.0
356;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Amsterdam;587.0
357;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Rotterdam;384.0
358;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;'s-Gravenhage;480.0
359;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Utrecht;56.0
360;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Haarlem;48.0
361;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Groningen;29.0
362;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Eindhoven;30.0
363;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Nijmegen;20.0
364;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Tilburg;15.0
365;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Arnhem;19.0
366;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Leiden;8.0
367;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Maastricht;5.0
368;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Apeldoorn;9.0
369;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Hilversum;39.0
370;Totaal mannen en vrouwen;Groot-Britannië en Noord-Ierland;Dordrecht;18.0
