ID;CommodityFlows;OriginDestinationLoadingUnloading;ContinentsAndCountryGroups;CommodityGroups;TransportModes;Containerization;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
0;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2007;548304329.0;536731413.0;559877245.0;2.0;100.0;;587482705.0;576736626.0;598228785.0;2.0;100.0;
1;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2008;607648573.0;593850450.0;621446695.0;2.0;100.0;5.0;603473981.0;582333369.0;624614592.0;4.0;100.0;4.0
2;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2009;508281818.0;495764249.0;520799387.0;2.0;100.0;1.0;536761153.0;524849584.0;548672721.0;2.0;100.0;1.0
3;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2010;582058950.0;568570175.0;595547726.0;2.0;100.0;5.0;579338081.0;561117573.0;597558589.0;3.0;100.0;4.0
4;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2011;658891076.0;641937828.0;675844323.0;3.0;100.0;5.0;584984484.0;572337487.0;597631481.0;2.0;100.0;9.0
5;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2012;653057714.0;638686781.0;667428647.0;2.0;100.0;9.0;570205421.0;555409247.0;585001595.0;3.0;100.0;2.0
6;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2013;617935181.0;605142167.0;630728194.0;2.0;100.0;2.0;570983519.0;555551442.0;586415595.0;3.0;100.0;9.0
7;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2014;643539920.0;629414183.0;657665657.0;2.0;100.0;4.0;585857585.0;567378075.0;604337095.0;3.0;100.0;9.0
8;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2015;698386360.0;680225906.0;716546815.0;3.0;100.0;4.0;609156682.0;588448413.0;629864951.0;3.0;100.0;4.0
9;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2016;686115542.0;668642708.0;703588376.0;3.0;100.0;9.0;609310979.0;591104661.0;627517298.0;3.0;100.0;9.0
10;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2017;789571633.0;769058351.0;810084914.0;3.0;100.0;5.0;625818859.0;608500909.0;643136808.0;3.0;100.0;9.0
11;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2018;814649276.0;795018223.0;834280329.0;2.0;100.0;4.0;621989087.0;604650545.0;639327629.0;3.0;100.0;9.0
12;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2019;780940821.0;761944989.0;799936653.0;2.0;100.0;2.0;638091616.0;620357204.0;655826029.0;3.0;100.0;9.0
13;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2020;800870612.0;781670362.0;820070861.0;2.0;100.0;4.0;597395104.0;582948667.0;611841542.0;2.0;100.0;2.0
14;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2021;1012334121.0;989458266.0;1035209976.0;2.0;100.0;5.0;628582051.0;618272709.0;638891393.0;2.0;100.0;4.0
15;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2022;1218989861.0;1193107661.0;1244872060.0;2.0;100.0;5.0;642039233.0;630728318.0;653350147.0;2.0;100.0;4.0
16;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Total;2023;1216757484.0;1181652779.0;1251862188.0;3.0;100.0;9.0;591411033.0;580530003.0;602292063.0;2.0;100.0;2.0
17;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2007;177326459.0;168765291.0;185887627.0;5.0;32.0;;60064995.0;59068144.0;61061847.0;2.0;10.0;
18;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2008;176119981.0;168060191.0;184179772.0;5.0;29.0;9.0;61541490.0;60613223.0;62469756.0;2.0;10.0;4.0
19;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2009;166917828.0;157497292.0;176338364.0;6.0;33.0;2.0;50659791.0;49850160.0;51469422.0;2.0;9.0;1.0
20;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2010;172143607.0;163610450.0;180676763.0;5.0;30.0;9.0;55088483.0;53908701.0;56268266.0;2.0;10.0;4.0
21;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2011;198777876.0;186863121.0;210692632.0;6.0;30.0;5.0;63962848.0;62744538.0;65181158.0;2.0;11.0;5.0
22;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2012;181849844.0;173643640.0;190056048.0;5.0;28.0;2.0;61793011.0;60652313.0;62933709.0;2.0;11.0;2.0
23;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2013;168527221.0;161251525.0;175802917.0;4.0;27.0;2.0;62735246.0;61700216.0;63770277.0;2.0;11.0;9.0
24;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2014;183367535.0;175583411.0;191151659.0;4.0;28.0;4.0;66926018.0;65878573.0;67973463.0;2.0;11.0;4.0
25;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2015;249685958.0;237074352.0;262297564.0;5.0;36.0;5.0;69409201.0;68123443.0;70694958.0;2.0;11.0;4.0
26;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2016;250878496.0;237475755.0;264281236.0;5.0;37.0;9.0;71996143.0;70795269.0;73197018.0;2.0;12.0;4.0
27;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2017;284171744.0;269035007.0;299308481.0;5.0;36.0;5.0;79784742.0;78389449.0;81180034.0;2.0;13.0;5.0
28;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2018;261679026.0;251308139.0;272049912.0;4.0;32.0;2.0;79931709.0;78339608.0;81523810.0;2.0;13.0;9.0
29;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2019;267960154.0;258373306.0;277547002.0;4.0;34.0;9.0;86561861.0;80275175.0;92848546.0;7.0;14.0;4.0
30;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2020;306218435.0;290657504.0;321779366.0;5.0;38.0;5.0;88749339.0;84783251.0;92715426.0;4.0;15.0;9.0
31;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2021;372830504.0;355026675.0;390634333.0;5.0;37.0;5.0;90011878.0;87554191.0;92469565.0;3.0;14.0;9.0
32;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2022;380628044.0;360656645.0;400599442.0;5.0;31.0;9.0;79368620.0;77040852.0;81696387.0;3.0;12.0;1.0
33;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Containerized goods;2023;380206580.0;356888851.0;403524310.0;6.0;31.0;9.0;73221856.0;71186281.0;75257430.0;3.0;12.0;2.0
34;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2007;370977870.0;363190779.0;378764961.0;2.0;68.0;;527417710.0;516717966.0;538117454.0;2.0;90.0;
35;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2008;431528591.0;420329129.0;442728054.0;3.0;71.0;5.0;541932491.0;520812269.0;563052713.0;4.0;90.0;9.0
36;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2009;341363990.0;333121233.0;349606747.0;2.0;67.0;1.0;486101361.0;474217340.0;497985383.0;2.0;91.0;1.0
37;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2010;409915344.0;399468703.0;420361985.0;3.0;70.0;5.0;524249598.0;506067326.0;542431870.0;3.0;90.0;4.0
38;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2011;460113200.0;448052884.0;472173515.0;3.0;70.0;5.0;521021635.0;508433456.0;533609814.0;2.0;89.0;9.0
39;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2012;471207870.0;459410331.0;483005408.0;3.0;72.0;9.0;508412410.0;493660272.0;523164548.0;3.0;89.0;2.0
40;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2013;449407960.0;438885345.0;459930575.0;2.0;73.0;2.0;508248272.0;492850945.0;523645599.0;3.0;89.0;9.0
41;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2014;460172385.0;448384940.0;471959830.0;3.0;72.0;4.0;518931567.0;500481766.0;537381368.0;4.0;89.0;9.0
42;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2015;448700402.0;435633287.0;461767517.0;3.0;64.0;2.0;539747482.0;519079167.0;560415796.0;4.0;89.0;4.0
43;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2016;435237046.0;424026940.0;446447153.0;3.0;63.0;2.0;537314836.0;519148166.0;555481507.0;3.0;88.0;9.0
44;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2017;505399888.0;491555253.0;519244524.0;3.0;64.0;5.0;546034117.0;528772468.0;563295766.0;3.0;87.0;9.0
45;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2018;552970250.0;536302228.0;569638272.0;3.0;68.0;4.0;542057378.0;524792087.0;559322668.0;3.0;87.0;9.0
46;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2019;512980667.0;496581460.0;529379874.0;3.0;66.0;2.0;551529756.0;534947024.0;568112487.0;3.0;86.0;9.0
47;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2020;494652177.0;483404644.0;505899710.0;2.0;62.0;2.0;508645766.0;494754412.0;522537119.0;3.0;85.0;2.0
48;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2021;639503617.0;625139481.0;653867754.0;2.0;63.0;5.0;538570173.0;528558065.0;548582281.0;2.0;86.0;4.0
49;"Inbound transport; total";Origin or destination;Total;Total commodity groups;Total;Non-containerized goods;2022;838361817.0;821898783.0;854824851.0;2.0;69.0;5.0;562670613.0;551601815.0;573739411.0;2.0;88.0;4.0
