ID;Perioden;TotaalVarkensstapel_1;BiggenBijDeZeug_2;JongeVarkensTot50Kg_3;TotaalVleesvarkens50KgEnZwaarder_4;Vleesvarkens50Tot80Kg_5;Vleesvarkens80Tot110Kg_6;Vleesvarkens110KgEnZwaarder_7;TotaalFokvarkens50KgEnZwaarder_8;GedekteZeugen_9;ZeugenBijDeBiggen_10;TotaalOverigeFokvarkens_11;JongeZeugen_12;RestFokvarkens_13
0;1981 1 april;10383;2132;3688;3302;2068;1177;57;1261;745;228;288;;
1;1981 1 augustus;10299;2048;3594;3412;2212;1156;45;1245;743;226;276;;
2;1981 1 december;10193;1940;3713;3316;2157;1114;45;1224;747;218;259;;
3;1982 1 april;10031;2026;3609;3190;2063;1075;52;1206;715;225;266;;
4;1982 1 augustus;10698;2057;3806;3552;2189;1299;64;1283;754;229;300;;
5;1982 1 december;10590;1931;3838;3544;2233;1250;60;1277;783;218;276;;
6;1983 1 april;10666;2070;3920;3405;2174;1167;64;1271;753;230;288;;
7;1983 1 augustus;10977;2049;4007;3602;2235;1307;60;1319;777;229;313;;
8;1983 1 december;11008;1955;4064;3666;2232;1378;56;1323;792;221;310;;
9;1984 1 april;11150;2139;4178;3509;2209;1232;68;1324;759;235;330;;
10;1984 1 augustus;11317;2114;4159;3731;2389;1288;54;1313;792;232;289;;
11;1984 1 december;11799;2125;4353;3946;2433;1439;74;1375;839;236;300;;
12;1985 1 april;12008;2231;4446;3937;2501;1368;68;1394;832;244;318;;
13;1985 1 augustus;12379;2251;4582;4121;2609;1449;63;1425;867;245;313;;
14;1985 1 december;12908;2235;5070;4089;2523;1458;107;1514;922;247;345;;
15;1986 1 april;13234;2324;5352;4033;2530;1405;98;1525;905;254;366;;
16;1986 1 augustus;13488;2345;5333;4274;2637;1542;95;1536;939;254;343;;
17;1986 1 december;14063;2402;5328;4656;2821;1742;93;1677;1030;259;388;;
18;1987 1 april;14409;2509;5830;4416;2770;1539;107;1654;986;275;393;;
19;1987 1 augustus;14341;2478;5766;4457;2776;1573;107;1640;982;270;388;;
20;1987 1 december;14226;2381;5438;4803;2876;1809;118;1604;983;257;364;;
21;1988 1 april;13905;2431;5434;4457;2707;1662;88;1583;970;261;352;;
22;1988 1 augustus;14014;2402;5593;4454;2742;1637;75;1565;946;255;364;;
23;1988 1 december;13820;2213;5493;4577;2744;1695;138;1537;932;238;367;;
24;1989 1 april;13757;2353;5420;4422;2695;1642;85;1562;934;251;377;;
25;1989 1 augustus;13964;2331;5584;4496;2770;1650;76;1553;935;247;371;;
26;1989 1 december;13634;2206;5344;4592;2772;1730;90;1492;924;236;332;;
27;1990 1 april;13534;2320;5312;4416;2724;1610;82;1486;918;245;323;;
28;1990 1 augustus;13971;2355;5593;4475;2744;1648;83;1548;947;249;352;;
29;1990 1 december;13788;2152;5486;4654;2756;1802;96;1496;947;230;319;;
30;1991 1 april;13316;2011;5234;4566;2781;1685;100;1505;940;240;325;198.0;127.0
31;1991 1 augustus;13104;2195;5014;4369;2616;1590;163;1526;967;240;319;203.0;116.0
32;1991 1 december;13727;2220;5312;4650;2708;1792;150;1545;990;240;315;192.0;123.0
33;1992 1 april;13624;2304;5359;4432;2460;1777;195;1529;968;242;319;192.0;127.0
34;1992 1 augustus;13936;2363;5519;4494;2611;1693;190;1560;988;250;322;205.0;117.0
35;1992 1 december;13709;2176;5276;4774;2718;1876;180;1483;1004;228;251;143.0;108.0
36;1993 1 april;13851;2378;5692;4309;2550;1608;151;1472;987;249;236;140.0;96.0
37;1993 1 augustus;13878;2343;5431;4675;2554;1879;242;1429;976;239;214;107.0;107.0
38;1993 1 december;13991;2246;5606;4625;2596;1869;160;1514;1003;232;279;168.0;111.0
39;1994 1 april;13809;2215;5565;4512;2538;1795;179;1517;987;228;302;172.0;130.0
40;1994 1 augustus;13912;2223;5549;4629;2602;1847;180;1511;985;230;296;171.0;125.0
41;1994 1 december;13931;2167;5541;4716;2610;1917;189;1507;990;221;296;167.0;129.0
42;1995 1 april;14061;2317;5606;4643;2603;1863;177;1495;941;239;315;187.0;128.0
43;1995 1 augustus;14119;2299;5545;4811;2707;1916;189;1464;915;239;310;176.0;134.0
44;1995 1 december;13958;2141;5342;5003;2788;2037;177;1472;949;227;296;173.0;123.0
45;1996 1 april;13887;2315;5381;4756;2663;1874;220;1435;905;238;292;160.0;132.0
