ID;Persoonskenmerken;Perioden;LangdurigWerklozen_1
0;3;2001;89
1;3;2002;89
2;3;2003;126
3;3;2004;179
4;3;2005;203
5;3;2006;184
6;3;2007;144
7;1;2001;40
8;1;2002;37
9;1;2003;60
10;1;2004;96
11;1;2005;107
12;1;2006;90
13;1;2007;65
14;2;2001;50
15;2;2002;52
16;2;2003;65
17;2;2004;83
18;2;2005;97
19;2;2006;94
20;2;2007;78
21;4;2001;11
22;4;2002;8
23;4;2003;15
24;4;2004;23
25;4;2005;21
26;4;2006;18
27;4;2007;10
28;5;2001;45
29;5;2002;44
30;5;2003;62
31;5;2004;91
32;5;2005;99
33;5;2006;78
34;5;2007;53
35;6;2001;33
36;6;2002;36
37;6;2003;48
38;6;2004;66
39;6;2005;83
40;6;2006;88
41;6;2007;80
42;7;2001;60
43;7;2002;55
44;7;2003;79
45;7;2004;111
46;7;2005;121
47;7;2006;112
48;7;2007;96
49;8;2001;28
50;8;2002;33
51;8;2003;46
52;8;2004;68
53;8;2005;82
54;8;2006;72
55;8;2007;47
56;9;2001;9
57;9;2002;13
58;9;2003;16
59;9;2004;20
60;9;2005;29
61;9;2006;24
62;9;2007;17
63;10;2001;20
64;10;2002;20
65;10;2003;30
66;10;2004;48
67;10;2005;52
68;10;2006;48
69;10;2007;30
70;11;2001;17
71;11;2002;16
72;11;2003;19
73;11;2004;26
74;11;2005;25
75;11;2006;27
76;11;2007;17
77;12;2001;31
78;12;2002;26
79;12;2003;38
80;12;2004;43
81;12;2005;49
82;12;2006;46
83;12;2007;36
84;13;2001;27
85;13;2002;29
86;13;2003;46
87;13;2004;69
88;13;2005;86
89;13;2006;76
90;13;2007;63
91;14;2001;10
92;14;2002;11
93;14;2003;14
94;14;2004;23
95;14;2005;22
96;14;2006;17
97;14;2007;15
98;15;2001;5
99;15;2002;6
100;15;2003;8
101;15;2004;17
102;15;2005;21
103;15;2006;15
104;15;2007;13
105;16;2001;19
106;16;2002;19
107;16;2003;33
108;16;2004;40
109;16;2005;52
110;16;2006;39
111;16;2007;36
112;17;2001;6
113;17;2002;8
114;17;2003;10
115;17;2004;15
116;17;2005;18
117;17;2006;21
118;17;2007;12
119;18;2001;36
120;18;2002;37
121;18;2003;44
122;18;2004;64
123;18;2005;67
124;18;2006;63
125;18;2007;48
126;19;2001;17
127;19;2002;17
128;19;2003;23
129;19;2004;33
130;19;2005;42
131;19;2006;39
132;19;2007;35
133;20;2001;2
134;20;2002;1
135;20;2003;2
136;20;2004;2
137;20;2005;3
138;20;2006;3
139;20;2007;2
140;21;2001;7
141;21;2002;5
142;21;2003;12
143;21;2004;19
144;21;2005;19
145;21;2006;14
146;21;2007;9
147;22;2001;2
148;22;2002;2
149;22;2003;2
150;22;2004;6
151;22;2005;4
152;22;2006;5
153;22;2007;3
