ID;Indelingen;Stroomgebieddistricten;Perioden;VolumeAfvalwater_1;ChemischZuurstofVerbruik_2;BiochemischZuurstofVerbruik_3;StikstofverbindingenAlsN_4;FosforverbindingenAlsP_5;Koper_6;Chroom_7;Zink_8;Lood_9;Cadmium_10;Nikkel_11;Kwik_12;Arseen_13;ChemischZuurstofVerbruik_14;BiochemischZuurstofVerbruik_15;StikstofverbindingenAlsN_16;FosforverbindingenAlsP_17;ZwevendStof_18;VolumeAfvalwater_19;ChemischZuurstofVerbruik_20;BiochemischZuurstofVerbruik_21;StikstofverbindingenAlsN_22;FosforverbindingenAlsP_23;Koper_24;Chroom_25;Zink_26;Lood_27;Cadmium_28;Nikkel_29;Kwik_30;Arseen_31;ChemischZuurstofVerbruik_32;BiochemischZuurstofVerbruik_33;StikstofverbindingenAlsN_34;FosforverbindingenAlsP_35;ZwevendStof_36;ChemischZuurstofVerbruik_37;BiochemischZuurstofVerbruik_38;StikstofverbindingenAlsN_39;FosforverbindingenAlsP_40;ChemischZuurstofVerbruik_41;BiochemischZuurstofVerbruik_42;StikstofverbindingenAlsN_43;FosforverbindingenAlsP_44;SlibbelastingCZV_45;SlibbelastingBZV_46;Slibindex_47;Slibconcentratie_48;Slibleeftijd_49;SpecifiekeSlibproductiePerVerwijdCZV_50;SpecifiekeSlibproductiePerVerwijdBZV_51;SpecifiekEnergieverbruikPerVerwTZV_52
0;Totaal alle installaties;Nederland;1981;1247035;694973;284775;60630;17365;132300;63965;469650;141352;2745;49449;892;2435;552;222;53;15;169;1247035;144177;39901;33388;10064;39690;25586;140895;56541;1098;34614;268;1217;112;29;25;10;47;78.0;86.0;50.0;35.0;79.0;86.0;45.0;42.0;240.0;87.0;134.0;3.8;30.0;385.0;960.0;1231.0
1;Totaal alle installaties;Nederland;1985;1417433;799991;304561;70165;18706;159682;53816;509507;143969;2378;42613;821;3342;573;220;54;15;246;1417433;134253;28544;38405;10810;47905;21526;152852;57588;951;29829;246;1671;103;22;26;9;34;81.0;89.0;51.0;39.0;83.0;91.0;45.0;42.0;233.0;87.0;143.0;3.8;26.0;444.0;1071.0;420.0
2;Totaal alle installaties;Nederland;1990;1642646;932832;348630;81273;14357;177145;38733;497455;96356;2049;32675;1049;4943;595;222;52;9;214;1642646;131495;23645;39292;6239;36492;13130;140282;25149;820;19474;315;2471;88;18;22;4;28;84.0;91.0;57.0;56.0;86.0;93.0;52.0;57.0;315.0;101.0;146.0;3.6;20.0;419.0;1054.0;429.0
3;Totaal alle installaties;Nederland;1991;1620705;939533;351202;83912;14116;173611;35996;466408;85784;1974;27445;985;4459;606;226;55;9;223;1620705;128225;22458;41488;5898;32465;11771;129662;19988;790;15781;296;2230;80;15;23;4;23;86.0;93.0;58.0;59.0;86.0;94.0;51.0;58.0;331.0;99.0;126.0;3.6;20.0;425.0;1054.0;415.0
4;Totaal alle installaties;Nederland;1992;1773819;947790;349195;84504;13905;169168;31386;499254;85479;2088;26608;880;4795;551;202;51;8;228;1773819;124509;20228;40242;5745;28420;9855;136796;17609;835;14767;264;2397;75;13;20;3;19;85.0;93.0;59.0;60.0;87.0;94.0;52.0;59.0;;;;;;;;
5;Totaal alle installaties;Nederland;1993;1838696;959719;349203;85570;14199;183594;33385;507530;81701;1892;38974;853;6870;546;198;49;8;234;1838696;123412;19099;39358;5660;27979;9533;120852;12748;537;18830;210;3689;70;12;19;3;17;86.0;93.0;60.0;62.0;87.0;95.0;54.0;60.0;335.0;94.0;120.0;3.6;20.0;418.0;1042.0;404.0
6;Totaal alle installaties;Nederland;1994;2001231;969587;350186;86565;14060;170798;42429;508884;76515;2139;40226;681;6437;500;183;46;7;376;2001231;122013;17622;40086;5204;23949;7443;131259;10747;442;15243;176;3173;64;10;18;3;19;86.0;94.0;61.0;64.0;87.0;95.0;54.0;63.0;;;;;;;;
7;Totaal alle installaties;Nederland;1995;1854023;920541;331103;83978;13756;183429;37098;450635;76552;1605;30951;710;5673;510;185;47;8;266;1854023;100486;13490;36248;3529;22640;5934;119868;10293;380;13447;172;2618;60;9;17;2;18;88.0;95.0;64.0;69.0;89.0;96.0;57.0;74.0;274.0;83.0;110.0;3.8;21.0;486.0;1158.0;458.0
8;Totaal alle installaties;Nederland;1996;1636762;920624;346560;82910;13474;160207;24789;413666;60576;1628;30531;605;4731;603;229;55;9;298;1636762;95570;14458;34982;3365;17341;5130;106044;6658;402;13111;160;2163;62;9;19;2;20;89.0;96.0;66.0;71.0;90.0;96.0;58.0;75.0;;;;;;;;
9;Totaal alle installaties;Nederland;1997;1675265;915547;359705;84739;13578;164240;19015;386272;51077;904;25041;550;5048;570;224;53;9;332;1675265;89083;11968;32799;3204;21054;4607;87996;8604;308;12500;146;2364;57;9;16;2;19;90.0;96.0;69.0;73.0;90.0;97.0;61.0;76.0;231.0;87.0;111.0;4.0;21.0;473.0;1113.0;428.0
