ID;SoortVacature;BedrijvenEnInstellingen;SBI93;Perioden;TotaalAantalVacatures_1;Bedrijfsgrootte10Werknemers_2;Bedrijfsgrootte1099Werknemers_3;Bedrijfsgrootte100Werknemers_4;k_11ElementaireBeroepen_5;TotaalLagereBeroepen_6;k_20LagereBeroepenZND_7;k_21LagereNietSpecialistischeBeroepen_8;k_22LagereDocentenSportvakken_9;k_24LagereAgrarischeBeroepen_10;k_25LagereWiskNatuurwetBeroepen_11;k_26LagereTechnischeBeroepen_12;k_28LagereTransportberoepen_13;k_29LagereParaMedischeBeroepen_14;k_31LagereAdminCommercieleBeroepen_15;k_33LagereBeveiligingberoepen_16;k_37LagereVerzorgendeBeroepen_17;TotaalMiddelbareBeroepen_18;k_40MiddelbareBeroepenZND_19;k_42MiddelbDocentenTranspSportvak_20;k_44MiddelbareAgrarischeBeroepen_21;k_45MiddelbareWiskNatuurwetBeroepen_22;k_46MiddelbareTechnischeBeroepen_23;k_48MiddelbareTransportberoepen_24;k_49MiddelbareParaMedischeBeroepen_25;k_51MiddelbAdminCommercieleBeroepen_26;k_53MiddelbJuridischBeveiligberoepen_27;k_55MiddelbareTaalkCultureleBeroepen_28;k_56MiddelbBeroepGedragMaatschappij_29;k_57MiddelbareVerzorgendeBeroepen_30;TotaalHogereBeroepen_31;k_60HogereBeroepenZND_32;k_62HogerePedagogischeBeroepen_33;k_64HogereLandbouwkundigeBeroepen_34;k_65HogereWiskundigeNatuurwetBeroep_35;k_66HogereTechnischeBeroepen_36;k_68HogereTransportberoepen_37;k_69HogereParaMedischeBeroepen_38;k_71HogereAdmCommercEconBeroepen_39;k_73HogereJurBestuurlBeveiligBeroep_40;k_75HogereTaalkCultureleBeroepen_41;k_76HogereBeroepGedragEnMaatschappij_42;k_77HogereVerzorgendeBeroepen_43;k_78ManagersHboWerkEnDenkniveau_44;TotaalWetenschappelijkeBeroepen_45;k_80WetenschappelijkeBeroepenZND_46;k_82WetenschapPedagogischeBeroepen_47;k_84WetenschapLandbouwkBeroepen_48;k_85WetenschapWiskNatuurwBeroepen_49;k_86WetenschapTechnischeBeroepen_50;k_89WetenschapParaMedischeBeroepen_51;k_91WetenschapEconAdminBeroepen_52;k_93WetenschapJuridBestuurlBeroep_53;k_96WetenschapBeroepenGedragMaatsch_54;k_98ManagersWetenschapWerkDenkniv_55;BeroepOnbekend_56;k_2LagerOnderwijs_57;k_3VoortgezetOnderwijsLagereTrap_58;k_4VoortgezetOnderwijsHogereTrap_59;k_5HogerOnderwijs1eTrap_60;k_67HogerOnderwijs2e3eTrap_61;k_9Onbekend_62
0;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2000;183.4;39.7;59.9;83.7;16.2;49.2;2.8;0.0;0.1;2.5;0.0;18.2;5.6;0.5;13.4;1.5;4.6;69.6;2.5;0.2;0.1;0.2;21.5;1.0;5.5;29.8;1.3;0.3;1.8;5.3;28.1;1.9;2.3;0.4;0.1;4.4;0.1;2.1;12.2;0.5;0.6;2.9;0.1;0.6;9.4;1.4;0.7;0.1;0.4;1.3;1.0;1.8;0.9;0.5;1.3;10.9;9.5;49.3;70.5;33.0;10.1;10.9
1;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2001;170.7;45.7;52.5;72.5;20.7;43.4;1.7;0.0;0.0;2.2;0.0;15.4;5.1;0.5;11.7;1.0;5.8;66.2;2.3;0.4;0.4;0.2;18.3;0.5;6.1;28.6;1.4;0.6;2.7;4.8;29.1;2.6;3.1;0.3;0.1;4.0;0.2;2.4;11.1;1.0;0.5;2.9;0.1;0.7;8.4;0.8;0.4;0.0;0.3;0.7;0.9;2.9;1.2;0.4;0.8;2.8;13.3;49.6;67.4;32.7;5.0;2.8
2;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2002;115.1;28.0;33.8;53.4;10.7;33.7;1.0;0.0;0.1;1.3;0.1;9.5;3.3;1.1;9.9;2.1;5.3;43.4;1.3;0.6;0.2;0.1;12.4;0.2;6.2;15.4;0.7;0.3;2.4;3.5;19.6;1.5;1.8;0.3;0.1;2.7;0.1;1.7;6.9;1.1;0.4;2.2;0.1;0.7;7.6;0.8;0.3;0.0;0.4;0.8;1.1;1.3;1.5;0.5;1.0;;5.3;34.8;47.3;21.7;6.0;
3;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2003;81.3;21.0;19.8;40.5;4.2;20.2;;0.0;0.0;0.8;0.0;5.5;2.3;0.2;7.7;0.4;3.2;33.3;;0.7;0.6;0.1;7.3;0.3;3.9;13.5;0.3;0.3;1.1;5.1;18.8;0.0;1.3;0.5;0.1;2.4;0.2;1.7;8.9;0.5;0.4;2.5;0.2;0.4;4.8;;0.2;0.1;0.3;0.4;0.9;1.0;1.1;0.4;0.4;;1.6;18.5;37.9;19.0;4.3;
4;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2004;109.3;37.4;30.9;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2006;200.5;60.4;60.6;79.5;19.0;52.2;0.0;0.0;0.1;3.6;0.3;15.7;6.3;0.6;17.2;0.1;8.3;77.3;0.7;0.8;0.2;0.1;19.1;0.6;7.0;39.8;2.1;0.2;4.0;2.5;43.2;3.9;2.8;0.2;0.0;3.4;0.1;1.5;25.4;0.6;0.4;3.1;0.2;1.4;8.8;0.6;0.5;0.0;0.2;0.5;1.1;1.9;2.4;0.4;1.1;;13.6;46.7;76.4;52.2;11.6;
6;Totaal aantal vacatures;Totaal bedrijven en instellingen;A-O Totaal SBI'93;2008;237.5;55.7;70.5;111.3;19.4;60.7;0.0;1.5;0.1;2.2;0.3;20.1;7.9;0.5;19.5;0.2;8.2;91.1;1.1;1.0;0.5;0.1;24.3;0.6;10.3;40.3;1.6;0.4;8.1;2.8;50.0;4.4;3.6;0.6;0.0;5.6;0.3;2.0;27.2;0.7;0.5;3.3;0.3;1.3;8.8;0.1;0.3;0.0;0.3;0.6;1.7;2.1;2.2;0.5;0.9;7.5;12.7;47.3;94.9;62.7;12.3;7.5
7;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2000;2.8;1.8;0.9;0.1;0.1;2.3;0.1;0.0;0.0;1.9;0.0;;0.0;0.0;;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.1;1.2;;;0.0
8;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2001;2.7;1.7;0.9;0.1;0.4;1.9;0.0;0.0;0.0;1.7;0.0;;0.0;0.0;;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.3;0.8;;;0.0
9;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2002;1.2;1.0;0.2;0.1;0.0;0.8;0.0;0.0;0.0;0.8;0.0;;0.0;0.0;;0.0;0.0;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.1;0.6;0.5;0.0;0.0;
10;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2003;1.1;0.7;0.4;0.1;0.0;0.5;;;;0.3;;0.0;0.0;;0.1;;;0.5;;;0.5;;0.0;;;0.0;;;;;0.1;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;;;0.1;;;;0.1;;;0.0;0.0;;;;;0.3;0.6;0.3;0.0;
11;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2004;2.5;1.8;0.5;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2006;3.5;2.4;0.9;0.2;0.0;2.8;;;;2.5;0.0;0.1;0.2;;0.0;;;0.4;;;0.1;;0.1;0.0;;0.2;;0.0;;;0.3;0.2;;;;0.0;;;0.1;;;;;0.0;0.0;;;;;;;0.0;0.0;;0.0;;0.3;1.5;1.5;0.2;0.0;
13;Totaal aantal vacatures;Totaal bedrijven en instellingen;A, B Landbouw, bosbouw en visserij;2008;3.7;2.1;1.3;0.2;0.7;2.2;;0.0;;1.6;0.0;0.4;0.1;;0.0;;;0.6;;;0.2;0.0;0.3;0.0;;0.1;;;;;0.2;0.1;;0.0;;0.0;;;0.1;0.0;;0.0;;0.0;0.0;;;;0.0;;;;0.0;;;;0.2;1.3;2.0;0.2;0.0;
