ID;Achtergrondkenmerken;Perioden;TotaalWerknemers_1;Levensloopregeling_2;GeenLevensloopregeling_3;Spaarloonregeling_4;GeenSpaarloonregeling_5
0;1;2006;6195;344;5852.0;2516.0;3679.0
1;2;2006;3432;216;3217.0;1487.0;1945.0
2;3;2006;2763;128;2635.0;1029.0;1734.0
3;4;2006;184;1;183.0;7.0;176.0
4;5;2006;546;16;530.0;70.0;476.0
5;6;2006;752;38;714.0;234.0;519.0
6;7;2006;806;45;762.0;341.0;465.0
7;8;2006;878;51;827.0;415.0;463.0
8;9;2006;863;56;807.0;385.0;477.0
9;45 tot 50 jaar;2006;802;50;752.0;384.0;418.0
10;50 tot 55 jaar;2006;689;57;632.0;341.0;348.0
11;55 tot 60 jaar;2006;548;27;521.0;286.0;262.0
12;60 tot 65 jaar;2006;127;2;125.0;52.0;76.0
13;Onderwijsniveau: laag;2006;1461;53;1408.0;456.0;1005.0
14;Onderwijsniveau: middelbaar;2006;2748;133;2615.0;1101.0;1647.0
15;Onderwijsniveau: hoog;2006;1952;156;1796.0;954.0;998.0
16;Onderwijsniveau: onbekend;2006;34;1;33.0;5.0;29.0
17;Eenpersoonshuishouden;2006;912;48;864.0;350.0;562.0
18;Alleenstaande ouder;2006;223;8;215.0;79.0;144.0
19;Lid van ouderpaar;2006;2631;168;2462.0;1251.0;1380.0
20;Lid van een paar (geen ouder);2006;1736;101;1635.0;741.0;995.0
21;Overig lid huishouden;2006;693;17;676.0;96.0;597.0
22;Autochtonen;2006;5135;294;4841.0;2202.0;2933.0
23;Westerse allochtonen;2006;573;32;541.0;207.0;366.0
24;Niet-westerse allochtonen;2006;487;18;469.0;107.0;380.0
25;Herkomst: Onbekend;2006;1;0;1.0;0.0;1.0
26;Vast dienstverband;2006;5631;336;5296.0;2468.0;3163.0
27;Overige dienstverbanden;2006;564;8;556.0;48.0;516.0
28;Arbeidsduur: 12 tot 20 uur per week;2006;627;14;613.0;160.0;468.0
29;Arbeidsduur: 20 tot 28 uur per week;2006;859;34;825.0;312.0;547.0
30;Arbeidsduur: 28 tot 35 uur per week;2006;925;55;870.0;374.0;551.0
31;Arbeidsduur: 35 uur of meer per week;2006;3784;241;3544.0;1671.0;2114.0
32;Wel eerder deelgenomen;2006;228;228;;;
33;Niet eerder deelgenomen;2006;114;114;;;
34;Eerdere deelname: Weet niet;2006;2;2;;;
