ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;SamenstellingVanHetHuishouden;Perioden;ParticuliereHuishoudens_1
0;Totaal;Totaal burgerlijke staat;Particulier huishouden;2025;8466181
1;Totaal;Totaal burgerlijke staat;Particulier huishouden;2026;8546460
2;Totaal;Totaal burgerlijke staat;Particulier huishouden;2027;8616793
3;Totaal;Totaal burgerlijke staat;Particulier huishouden;2028;8680769
4;Totaal;Totaal burgerlijke staat;Particulier huishouden;2029;8738104
5;Totaal;Totaal burgerlijke staat;Particulier huishouden;2030;8792765
6;Totaal;Totaal burgerlijke staat;Particulier huishouden;2031;8844998
7;Totaal;Totaal burgerlijke staat;Particulier huishouden;2032;8895257
8;Totaal;Totaal burgerlijke staat;Particulier huishouden;2033;8943656
9;Totaal;Totaal burgerlijke staat;Particulier huishouden;2034;8989824
10;Totaal;Totaal burgerlijke staat;Particulier huishouden;2035;9033143
11;Totaal;Totaal burgerlijke staat;Particulier huishouden;2036;9074114
12;Totaal;Totaal burgerlijke staat;Particulier huishouden;2037;9112450
13;Totaal;Totaal burgerlijke staat;Particulier huishouden;2038;9148186
14;Totaal;Totaal burgerlijke staat;Particulier huishouden;2039;9181464
15;Totaal;Totaal burgerlijke staat;Particulier huishouden;2040;9212779
16;Totaal;Totaal burgerlijke staat;Particulier huishouden;2041;9242083
17;Totaal;Totaal burgerlijke staat;Particulier huishouden;2042;9269448
18;Totaal;Totaal burgerlijke staat;Particulier huishouden;2043;9294988
19;Totaal;Totaal burgerlijke staat;Particulier huishouden;2044;9318736
20;Totaal;Totaal burgerlijke staat;Particulier huishouden;2045;9340956
21;Totaal;Totaal burgerlijke staat;Particulier huishouden;2046;9361789
22;Totaal;Totaal burgerlijke staat;Particulier huishouden;2047;9381495
23;Totaal;Totaal burgerlijke staat;Particulier huishouden;2048;9400441
24;Totaal;Totaal burgerlijke staat;Particulier huishouden;2049;9418786
25;Totaal;Totaal burgerlijke staat;Particulier huishouden;2050;9436866
26;Totaal;Totaal burgerlijke staat;Particulier huishouden;2051;9454992
27;Totaal;Totaal burgerlijke staat;Particulier huishouden;2052;9473319
28;Totaal;Totaal burgerlijke staat;Particulier huishouden;2053;9492166
29;Totaal;Totaal burgerlijke staat;Particulier huishouden;2054;9511694
30;Totaal;Totaal burgerlijke staat;Particulier huishouden;2055;9532133
31;Totaal;Totaal burgerlijke staat;Particulier huishouden;2056;9553535
32;Totaal;Totaal burgerlijke staat;Particulier huishouden;2057;9576033
33;Totaal;Totaal burgerlijke staat;Particulier huishouden;2058;9599640
34;Totaal;Totaal burgerlijke staat;Particulier huishouden;2059;9624352
35;Totaal;Totaal burgerlijke staat;Particulier huishouden;2060;9650249
36;Totaal;Totaal burgerlijke staat;Particulier huishouden;2061;9677268
37;Totaal;Totaal burgerlijke staat;Particulier huishouden;2062;9705440
38;Totaal;Totaal burgerlijke staat;Particulier huishouden;2063;9734789
39;Totaal;Totaal burgerlijke staat;Particulier huishouden;2064;9765243
40;Totaal;Totaal burgerlijke staat;Particulier huishouden;2065;9796847
41;Totaal;Totaal burgerlijke staat;Particulier huishouden;2066;9829525
42;Totaal;Totaal burgerlijke staat;Particulier huishouden;2067;9863154
43;Totaal;Totaal burgerlijke staat;Particulier huishouden;2068;9897607
44;Totaal;Totaal burgerlijke staat;Particulier huishouden;2069;9932692
45;Totaal;Totaal burgerlijke staat;Particulier huishouden;2070;9968283
46;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2025;3415299
47;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2026;3477073
48;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2027;3529342
49;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2028;3575513
50;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2029;3615836
51;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2030;3653924
52;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2031;3690270
53;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2032;3725488
54;Totaal;Totaal burgerlijke staat;Eenpersoonshuishouden;2033;3759472
