ID;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;2005 januari;80.0;-14.5
1;2005 februari;88.5;3.0
2;2005 maart;108.6;-1.7
3;2005 1e kwartaal;92.4;-4.4
4;2005 april;100.5;5.5
5;2005 mei;95.4;4.8
6;2005 juni;117.6;5.3
7;2005 2e kwartaal;104.5;5.2
8;2005 juli;88.2;-3.4
9;2005 augustus;74.3;1.2
10;2005 september;106.4;10.0
11;2005 3e kwartaal;89.6;2.9
12;2005 oktober;97.1;-3.2
13;2005 november;86.8;-2.2
14;2005 december;127.0;1.8
15;2005 4e kwartaal;103.7;-0.9
16;2005;97.5;0.6
17;2006 januari;92.6;15.7
18;2006 februari;100.2;13.2
19;2006 maart;110.0;1.3
20;2006 1e kwartaal;100.9;9.3
21;2006 april;99.6;-0.9
22;2006 mei;112.6;18.1
23;2006 juni;119.6;1.7
24;2006 2e kwartaal;110.6;5.8
25;2006 juli;91.8;4.0
26;2006 augustus;82.2;10.6
27;2006 september;108.2;1.7
28;2006 3e kwartaal;94.1;4.9
29;2006 oktober;99.6;2.5
30;2006 november;93.9;8.1
31;2006 december;126.5;-0.3
32;2006 4e kwartaal;106.7;2.9
33;2006;103.1;5.7
34;2007 januari;95.3;2.9
35;2007 februari;100.1;-0.2
36;2007 maart;121.2;10.1
37;2007 1e kwartaal;105.5;4.5
38;2007 april;102.6;3.0
39;2007 mei;113.0;0.4
40;2007 juni;125.5;4.9
41;2007 2e kwartaal;113.7;2.8
42;2007 juli;104.8;14.1
43;2007 augustus;85.2;3.7
44;2007 september;104.9;-3.0
45;2007 3e kwartaal;98.3;4.5
46;2007 oktober;118.9;19.4
47;2007 november;100.7;7.3
48;2007 december;107.4;-15.2
49;2007 4e kwartaal;109.0;2.2
50;2007;106.6;3.4
51;2008 januari;115.0;20.7
52;2008 februari;103.7;3.7
53;2008 maart;108.4;-10.6
54;2008 1e kwartaal;109.0;3.3
55;2008 april;100.7;-1.9
56;2008 mei;105.2;-6.9
57;2008 juni;113.0;-9.9
58;2008 2e kwartaal;106.3;-6.5
59;2008 juli;96.7;-7.7
60;2008 augustus;76.3;-10.4
61;2008 september;104.1;-0.8
62;2008 3e kwartaal;92.4;-6.0
63;2008 oktober;90.0;-24.3
64;2008 november;73.0;-27.5
65;2008 december;90.0;-16.1
66;2008 4e kwartaal;84.3;-22.6
67;2008;98.0;-8.1
68;2009 januari;61.7;-46.3
69;2009 februari;78.7;-24.1
70;2009 maart;83.1;-23.3
71;2009 1e kwartaal;74.5;-31.6
72;2009 april;67.2;-33.2
73;2009 mei;66.8;-36.5
74;2009 juni;79.5;-29.6
75;2009 2e kwartaal;71.2;-33.0
76;2009 juli;69.3;-28.4
77;2009 augustus;56.4;-26.1
78;2009 september;75.8;-27.2
79;2009 3e kwartaal;67.1;-27.3
80;2009 oktober;73.3;-18.6
81;2009 november;65.3;-10.6
82;2009 december;82.8;-8.0
83;2009 4e kwartaal;73.8;-12.5
84;2009;71.7;-26.9
85;2010 januari;65.7;6.4
86;2010 februari;73.2;-7.0
87;2010 maart;101.9;22.6
88;2010 1e kwartaal;80.3;7.7
89;2010 april;78.2;16.3
90;2010 mei;81.9;22.5
91;2010 juni;96.0;20.8
92;2010 2e kwartaal;85.3;19.9
93;2010 juli;81.4;17.6
94;2010 augustus;70.8;25.6
95;2010 september;95.2;25.6
96;2010 3e kwartaal;82.5;22.9
97;2010 oktober;92.5;26.3
98;2010 november;82.9;27.1
99;2010 december;106.4;28.5
100;2010 4e kwartaal;93.9;27.3
101;2010;85.5;19.3
102;2011 januari;84.9;29.3
103;2011 februari;100.6;37.4
104;2011 maart;112.5;10.3
105;2011 1e kwartaal;99.3;23.7
106;2011 april;97.6;24.9
107;2011 mei;99.9;22.0
108;2011 juni;99.6;3.7
