ID;Periods;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;NetDomesticProduct_3;NetPrimaryIncomeFromRestOfWorld_4;TotalPrimaryIncomeFromRestOfWorld_5;CompensationOfEmployees_6;PropertyIncome_7;SubsidiesReceivedFromRestOfWorld_8;Total_9;CompensationOfEmployees_10;PropertyIncome_11;TaxesOnProductionAndImports_12;NetNationalIncome_13;NetCurrentTransfersFromRestOfWorld_14;Total_15;BelastingenOpInkomenEnVermogen_16;SocialePremies_17;SocialeUitkeringenInGeld_18;OverigeInkomensoverdrachten_19;Total_20;BelastingenOpInkomenEnVermogen_21;SocialePremies_22;SocialeUitkeringenInGeld_23;OverigeInkomensoverdrachten_24;NetDisposableNationalIncome_25;FinalConsumptionExpenditure_26;AdjustNetEquityInPensFundsRes_27;NetNationalSaving_28;NetFixedCapitalFormation_29;ChangesInInventories_30;SurplusNationOnCurrentTransactions_31;Total_32;NetExportsOfGoods_33;NetExportsOfServices_34;NetPrimaryIncomeFromRestOfWorld_35;PrimaryIncomeFromRestOfWorld_36;PrimaryIncomeToRestOfWorld_37;NetCurrentTransfersFromRestOfWorld_38;CurrentTransfersFromRestOfWorld_39;CurrentTransfersToRestOfWorld_40;AdjustNetEquityInPensFundsRes_41;NetCapitalTransfersFromRestOfWorld_42;CapitalTransfersFromRestOfWorld_43;CapitalTransfersToRestOfWorld_44;NationalNetLendingOrNetBorrowing_45;ChangeInAssetsOnRestOfTheWorld_46;ChangeInLiabilitiesToTheRestOfThe_47;StatisticalDiscrepancy_48
0;1969;51790;5767;46023;1177;4049;176;3303;570;2872;207;2047;618;47200;-16;381;41;67;23;250;397;9;35;61;292;47184;37436;-2;9746;7669;779;1298;139;-997;1136;1177;4049;2872;-16;381;397;-2;-96;70;166;1202;0;0;0
1;1970;58073;6656;51417;1136;4821;239;3846;736;3685;230;2770;685;52553;-51;409;54;86;29;240;460;9;48;69;334;52502;42064;-2;10436;9559;483;394;-689;-1843;1154;1136;4821;3685;-51;409;460;-2;-149;93;242;245;0;0;0
2;1971;65905;7764;58141;894;4815;324;3943;548;3921;283;2967;671;59035;-343;404;64;109;34;197;747;9;65;83;590;58692;47499;-2;11191;10739;-431;883;334;-1270;1604;894;4815;3921;-343;404;747;-2;-100;106;206;783;0;0;0
3;1972;73803;8751;65052;1176;5043;403;4009;631;3867;319;2888;660;66228;-323;525;64;136;39;286;848;9;81;91;667;65905;53023;-2;12880;10431;-809;3258;2407;464;1943;1176;5043;3867;-323;525;848;-2;-149;124;273;3109;0;0;0
4;1973;84421;9696;74725;1643;6614;516;5152;946;4971;395;3922;654;76368;-767;463;77;165;45;176;1230;14;103;102;1011;75601;60612;-2;14987;11210;123;3654;2780;678;2102;1643;6614;4971;-767;463;1230;-2;-134;124;258;3520;0;0;0
5;1974;98585;11291;87294;1640;7523;483;6152;888;5883;407;4919;557;88934;-493;683;123;168;50;342;1176;14;97;110;955;88441;69339;-3;19099;10698;1877;6524;5380;3560;1820;1640;7523;5883;-493;683;1176;-3;-119;131;250;6405;0;0;0
6;1975;106568;13035;93533;451;6619;425;5332;862;6168;389;5141;638;93984;-472;965;118;175;56;616;1437;18;85;123;1211;93512;79405;-3;14104;10727;-112;3489;3513;1551;1962;451;6619;6168;-472;965;1437;-3;-155;134;289;3334;0;0;0
7;1976;121328;14630;106698;1151;8309;431;6590;1288;7158;389;5801;968;107849;-171;1064;136;182;61;685;1235;18;86;159;972;107678;91023;-4;16651;11237;950;4464;3488;1803;1685;1151;8309;7158;-171;1064;1235;-4;-198;172;370;4266;0;0;0
8;1977;131034;16035;114999;1082;9317;476;7296;1545;8235;402;6704;1129;116081;-707;998;177;209;67;545;1705;23;95;185;1402;115374;100516;-3;14855;13478;838;539;167;-1241;1408;1082;9317;8235;-707;998;1705;-3;-228;171;399;311;0;0;0
9;1978;141746;17512;124234;581;10273;472;8119;1682;9692;442;8162;1088;124815;-1369;913;209;229;72;403;2282;23;95;233;1931;123446;109800;-2;13644;14494;693;-1543;-753;-1846;1093;581;10273;9692;-1369;913;2282;-2;-257;199;456;-1800;0;0;0
10;1979;151500;19283;132217;1945;15809;510;13221;2078;13864;472;11810;1582;134162;-745;1004;222;238;78;466;1749;32;102;270;1345;133417;117980;-4;15433;13830;226;1377;181;-179;360;1945;15809;13864;-745;1004;1749;-4;-364;199;563;1013;0;0;0
11;1980;163091;21361;141730;1371;18410;502;15886;2022;17039;595;14804;1640;143101;-947;1172;231;261;117;563;2119;38;108;443;1530;142154;126014;-8;16132;15217;682;233;-183;-637;454;1371;18410;17039;-947;1172;2119;-8;-480;192;672;-247;0;0;0
12;1981;172153;23460;148693;97;21695;514;19473;1708;21598;663;19260;1675;148790;-1114;1413;263;298;127;725;2527;44;113;459;1911;147676;130928;-5;16743;11949;-934;5728;6750;5334;1416;97;21695;21598;-1114;1413;2527;-5;-530;272;802;5198;0;0;0
13;1982;177878;24879;152999;80;22376;530;19925;1921;22296;741;19712;1843;153079;-1088;1425;277;344;134;670;2513;47;128;472;1866;151991;136297;-10;15684;10605;-1607;6686;7704;6228;1476;80;22376;22296;-1088;1425;2513;-10;-662;351;1013;6024;0;0;0
14;1983;184082;25681;158401;1047;21458;531;18780;2147;20411;738;17752;1921;159448;-911;1588;304;379;143;762;2499;44;137;462;1856;158537;141331;-11;17195;10847;62;6286;6161;5264;897;1047;21458;20411;-911;1588;2499;-11;-448;262;710;5838;0;0;0
15;1984;194095;26736;167359;1752;25288;539;22276;2473;23536;731;20742;2063;169111;-1314;1705;340;374;154;837;3019;47;137;473;2362;167797;144195;-5;23597;12754;198;10645;10212;9133;1079;1752;25288;23536;-1314;1705;3019;-5;-394;285;679;10251;0;0;0
16;1985;200827;27874;172953;-814;23251;566;20235;2450;24065;794;21016;2255;172139;-957;1866;404;404;173;885;2823;49;139;492;2143;171182;150595;-2;20585;14475;-636;6746;8519;8087;432;-814;23251;24065;-957;1866;2823;-2;-323;342;665;6423;0;0;0
17;1986;206861;28923;177938;-604;23522;597;20090;2835;24126;784;20805;2537;177334;-1275;1930;422;384;179;945;3205;45;150;529;2481;176059;154123;12;21948;15881;662;5405;7272;6397;875;-604;23522;24126;-1275;1930;3205;12;-471;345;816;4934;0;0;0
18;1987;208647;30517;178130;1824;26683;625;22086;3972;24859;691;21521;2647;179954;-1173;1909;445;352;190;922;3082;50;159;552;2321;178781;158255;26;20552;15309;-151;5394;4717;3869;848;1824;26683;24859;-1173;1909;3082;26;-597;455;1052;4797;0;0;0
