ID;Rijkswegen;Perioden;VerkeersintensiteitenRijkswegen_1
116;Rijksweg 1 (A1);2011;2587.0
117;Rijksweg 1 (A1);2012 januari;2407.0
118;Rijksweg 1 (A1);2012 februari;2468.0
119;Rijksweg 1 (A1);2012 maart;2666.0
120;Rijksweg 1 (A1);2012 april;2649.0
121;Rijksweg 1 (A1);2012 mei;2673.0
122;Rijksweg 1 (A1);2012 juni;2578.0
123;Rijksweg 1 (A1);2012 juli;2573.0
124;Rijksweg 1 (A1);2012 augustus;2525.0
125;Rijksweg 1 (A1);2012 september;2647.0
126;Rijksweg 1 (A1);2012 oktober;2802.0
127;Rijksweg 1 (A1);2012 november;2689.0
128;Rijksweg 1 (A1);2012 december;2398.0
129;Rijksweg 1 (A1);2012;2590.0
130;Rijksweg 1 (A1);2013 januari;2369.0
131;Rijksweg 1 (A1);2013 februari;2570.0
132;Rijksweg 1 (A1);2013 maart;2655.0
133;Rijksweg 1 (A1);2013 april;2746.0
134;Rijksweg 1 (A1);2013 mei;2789.0
135;Rijksweg 1 (A1);2013 juni;2835.0
136;Rijksweg 1 (A1);2013 juli;2730.0
137;Rijksweg 1 (A1);2013 augustus;2688.0
138;Rijksweg 1 (A1);2013 september;2840.0
139;Rijksweg 1 (A1);2013 oktober;2871.0
140;Rijksweg 1 (A1);2013 november;2773.0
141;Rijksweg 1 (A1);2013 december;2578.0
142;Rijksweg 1 (A1);2013;2704.0
143;Rijksweg 1 (A1);2014 januari;2563.0
144;Rijksweg 1 (A1);2014 februari;2615.0
145;Rijksweg 1 (A1);2014 maart;2656.0
146;Rijksweg 1 (A1);2014 april;2731.0
147;Rijksweg 1 (A1);2014 mei;2794.0
148;Rijksweg 1 (A1);2014 juni;2849.0
149;Rijksweg 1 (A1);2014 juli;2691.0
150;Rijksweg 1 (A1);2014 augustus;2707.0
151;Rijksweg 1 (A1);2014 september;2896.0
152;Rijksweg 1 (A1);2014 oktober;2925.0
153;Rijksweg 1 (A1);2014 november;2803.0
154;Rijksweg 1 (A1);2014 december;2577.0
155;Rijksweg 1 (A1);2014;2734.0
156;Rijksweg 1 (A1);2015 januari;2553.0
157;Rijksweg 1 (A1);2015 februari;2740.0
158;Rijksweg 1 (A1);2015 maart;2793.0
159;Rijksweg 1 (A1);2015 april;2855.0
160;Rijksweg 1 (A1);2015 mei;2744.0
161;Rijksweg 1 (A1);2015 juni;2952.0
162;Rijksweg 1 (A1);2015 juli;2740.0
163;Rijksweg 1 (A1);2015 augustus;2790.0
164;Rijksweg 1 (A1);2015 september;2930.0
165;Rijksweg 1 (A1);2015 oktober;2949.0
166;Rijksweg 1 (A1);2015 november;2840.0
167;Rijksweg 1 (A1);2015 december;2679.0
168;Rijksweg 1 (A1);2015;2797.0
169;Rijksweg 1 (A1);2016 januari;2559.0
170;Rijksweg 1 (A1);2016 februari;2752.0
171;Rijksweg 1 (A1);2016 maart;2839.0
172;Rijksweg 1 (A1);2016 april;2697.0
173;Rijksweg 1 (A1);2016 mei;2765.0
174;Rijksweg 1 (A1);2016 juni;2808.0
175;Rijksweg 1 (A1);2016 juli;2705.0
176;Rijksweg 1 (A1);2016 augustus;2647.0
177;Rijksweg 1 (A1);2016 september;2777.0
178;Rijksweg 1 (A1);2016 oktober;2717.0
179;Rijksweg 1 (A1);2016 november;2665.0
180;Rijksweg 1 (A1);2016 december;2493.0
181;Rijksweg 1 (A1);2016;2702.0
182;Rijksweg 1 (A1);2017 januari;2392.0
183;Rijksweg 1 (A1);2017 februari;2550.0
184;Rijksweg 1 (A1);2017 maart;2719.0
185;Rijksweg 1 (A1);2017 april;2732.0
186;Rijksweg 1 (A1);2017 mei;2762.0
187;Rijksweg 1 (A1);2017 juni;2838.0
188;Rijksweg 1 (A1);2017 juli;2745.0
189;Rijksweg 1 (A1);2017 augustus;2659.0
190;Rijksweg 1 (A1);2017 september;2757.0
191;Rijksweg 1 (A1);2017 oktober;2827.0
192;Rijksweg 1 (A1);2017 november;2741.0
193;Rijksweg 1 (A1);2017 december;2410.0
194;Rijksweg 1 (A1);2017;2678.0
195;Rijksweg 1 (A1);2018 januari;2452.0
196;Rijksweg 1 (A1);2018 februari;2564.0
197;Rijksweg 1 (A1);2018 maart;
198;Rijksweg 1 (A1);2018 april;2778.0
199;Rijksweg 1 (A1);2018 mei;2788.0
200;Rijksweg 1 (A1);2018 juni;2845.0
201;Rijksweg 1 (A1);2018 juli;2734.0
202;Rijksweg 1 (A1);2018 augustus;2664.0
203;Rijksweg 1 (A1);2018 september;2854.0
204;Rijksweg 1 (A1);2018 oktober;2920.0
205;Rijksweg 1 (A1);2018 november;2813.0
206;Rijksweg 1 (A1);2018 december;2503.0
207;Rijksweg 1 (A1);2018;2717.0
208;Rijksweg 2 (A2 en N2);2011 januari;2805.0
209;Rijksweg 2 (A2 en N2);2011 februari;3079.0
210;Rijksweg 2 (A2 en N2);2011 maart;3152.0
211;Rijksweg 2 (A2 en N2);2011 april;3211.0
212;Rijksweg 2 (A2 en N2);2011 mei;3226.0
213;Rijksweg 2 (A2 en N2);2011 juni;3229.0
214;Rijksweg 2 (A2 en N2);2011 juli;3041.0
215;Rijksweg 2 (A2 en N2);2011 augustus;3081.0
216;Rijksweg 2 (A2 en N2);2011 september;3339.0
217;Rijksweg 2 (A2 en N2);2011 oktober;3346.0
218;Rijksweg 2 (A2 en N2);2011 november;3375.0
219;Rijksweg 2 (A2 en N2);2011 december;3038.0
220;Rijksweg 2 (A2 en N2);2011;3160.0
221;Rijksweg 2 (A2 en N2);2012 januari;3002.0
222;Rijksweg 2 (A2 en N2);2012 februari;3004.0
223;Rijksweg 2 (A2 en N2);2012 maart;3319.0
224;Rijksweg 2 (A2 en N2);2012 april;3323.0
225;Rijksweg 2 (A2 en N2);2012 mei;3365.0
226;Rijksweg 2 (A2 en N2);2012 juni;3386.0
227;Rijksweg 2 (A2 en N2);2012 juli;3114.0
228;Rijksweg 2 (A2 en N2);2012 augustus;3333.0
229;Rijksweg 2 (A2 en N2);2012 september;3402.0
230;Rijksweg 2 (A2 en N2);2012 oktober;3355.0
231;Rijksweg 2 (A2 en N2);2012 november;3347.0
232;Rijksweg 2 (A2 en N2);2012 december;2920.0
233;Rijksweg 2 (A2 en N2);2012;3239.0
234;Rijksweg 2 (A2 en N2);2013 januari;2926.0
235;Rijksweg 2 (A2 en N2);2013 februari;3104.0
236;Rijksweg 2 (A2 en N2);2013 maart;3229.0
237;Rijksweg 2 (A2 en N2);2013 april;3375.0
238;Rijksweg 2 (A2 en N2);2013 mei;3424.0
239;Rijksweg 2 (A2 en N2);2013 juni;3541.0
240;Rijksweg 2 (A2 en N2);2013 juli;3244.0
241;Rijksweg 2 (A2 en N2);2013 augustus;3351.0
242;Rijksweg 2 (A2 en N2);2013 september;3519.0
243;Rijksweg 2 (A2 en N2);2013 oktober;3557.0
244;Rijksweg 2 (A2 en N2);2013 november;3504.0
245;Rijksweg 2 (A2 en N2);2013 december;3174.0
246;Rijksweg 2 (A2 en N2);2013;3329.0
247;Rijksweg 2 (A2 en N2);2014 januari;3195.0
248;Rijksweg 2 (A2 en N2);2014 februari;3254.0
249;Rijksweg 2 (A2 en N2);2014 maart;3278.0
250;Rijksweg 2 (A2 en N2);2014 april;3491.0
251;Rijksweg 2 (A2 en N2);2014 mei;3552.0
252;Rijksweg 2 (A2 en N2);2014 juni;3636.0
253;Rijksweg 2 (A2 en N2);2014 juli;3488.0
254;Rijksweg 2 (A2 en N2);2014 augustus;3373.0
255;Rijksweg 2 (A2 en N2);2014 september;3705.0
256;Rijksweg 2 (A2 en N2);2014 oktober;3725.0
257;Rijksweg 2 (A2 en N2);2014 november;3580.0
258;Rijksweg 2 (A2 en N2);2014 december;3264.0
259;Rijksweg 2 (A2 en N2);2014;3462.0
260;Rijksweg 2 (A2 en N2);2015 januari;3207.0
261;Rijksweg 2 (A2 en N2);2015 februari;3379.0
262;Rijksweg 2 (A2 en N2);2015 maart;3593.0
263;Rijksweg 2 (A2 en N2);2015 april;3652.0
264;Rijksweg 2 (A2 en N2);2015 mei;3586.0
265;Rijksweg 2 (A2 en N2);2015 juni;3806.0
266;Rijksweg 2 (A2 en N2);2015 juli;3612.0
267;Rijksweg 2 (A2 en N2);2015 augustus;3443.0
268;Rijksweg 2 (A2 en N2);2015 september;3770.0
269;Rijksweg 2 (A2 en N2);2015 oktober;3805.0
270;Rijksweg 2 (A2 en N2);2015 november;3679.0
271;Rijksweg 2 (A2 en N2);2015 december;3443.0
272;Rijksweg 2 (A2 en N2);2015;3581.0
273;Rijksweg 2 (A2 en N2);2016 januari;3323.0
274;Rijksweg 2 (A2 en N2);2016 februari;3483.0
275;Rijksweg 2 (A2 en N2);2016 maart;3703.0
276;Rijksweg 2 (A2 en N2);2016 april;3657.0
277;Rijksweg 2 (A2 en N2);2016 mei;3690.0
278;Rijksweg 2 (A2 en N2);2016 juni;3819.0
279;Rijksweg 2 (A2 en N2);2016 juli;3621.0
280;Rijksweg 2 (A2 en N2);2016 augustus;3504.0
281;Rijksweg 2 (A2 en N2);2016 september;3786.0
282;Rijksweg 2 (A2 en N2);2016 oktober;3745.0
283;Rijksweg 2 (A2 en N2);2016 november;3727.0
284;Rijksweg 2 (A2 en N2);2016 december;3463.0
285;Rijksweg 2 (A2 en N2);2016;3627.0
286;Rijksweg 2 (A2 en N2);2017 januari;3325.0
287;Rijksweg 2 (A2 en N2);2017 februari;3515.0
288;Rijksweg 2 (A2 en N2);2017 maart;3740.0
289;Rijksweg 2 (A2 en N2);2017 april;3691.0
290;Rijksweg 2 (A2 en N2);2017 mei;3759.0
291;Rijksweg 2 (A2 en N2);2017 juni;3947.0
292;Rijksweg 2 (A2 en N2);2017 juli;3721.0
293;Rijksweg 2 (A2 en N2);2017 augustus;3662.0
294;Rijksweg 2 (A2 en N2);2017 september;3848.0
295;Rijksweg 2 (A2 en N2);2017 oktober;3912.0
296;Rijksweg 2 (A2 en N2);2017 november;3866.0
297;Rijksweg 2 (A2 en N2);2017 december;3385.0
298;Rijksweg 2 (A2 en N2);2017;3698.0
299;Rijksweg 2 (A2 en N2);2018 januari;3485.0
300;Rijksweg 2 (A2 en N2);2018 februari;3542.0
301;Rijksweg 2 (A2 en N2);2018 maart;
302;Rijksweg 2 (A2 en N2);2018 april;3783.0
303;Rijksweg 2 (A2 en N2);2018 mei;3846.0
304;Rijksweg 2 (A2 en N2);2018 juni;3980.0
305;Rijksweg 2 (A2 en N2);2018 juli;3790.0
306;Rijksweg 2 (A2 en N2);2018 augustus;3828.0
307;Rijksweg 2 (A2 en N2);2018 september;3904.0
308;Rijksweg 2 (A2 en N2);2018 oktober;3993.0
309;Rijksweg 2 (A2 en N2);2018 november;3877.0
310;Rijksweg 2 (A2 en N2);2018 december;3473.0
311;Rijksweg 2 (A2 en N2);2018;3768.0
312;Rijksweg 3 (N3);2011 januari;1745.0
313;Rijksweg 3 (N3);2011 februari;1883.0
314;Rijksweg 3 (N3);2011 maart;1980.0
315;Rijksweg 3 (N3);2011 april;1817.0
316;Rijksweg 3 (N3);2011 mei;2121.0
317;Rijksweg 3 (N3);2011 juni;2094.0
318;Rijksweg 3 (N3);2011 juli;1787.0
319;Rijksweg 3 (N3);2011 augustus;2002.0
320;Rijksweg 3 (N3);2011 september;2208.0
321;Rijksweg 3 (N3);2011 oktober;2175.0
322;Rijksweg 3 (N3);2011 november;2293.0
323;Rijksweg 3 (N3);2011 december;2128.0
324;Rijksweg 3 (N3);2011;2020.0
325;Rijksweg 3 (N3);2012 januari;2049.0
326;Rijksweg 3 (N3);2012 februari;1975.0
327;Rijksweg 3 (N3);2012 maart;2086.0
328;Rijksweg 3 (N3);2012 april;2023.0
329;Rijksweg 3 (N3);2012 mei;2102.0
330;Rijksweg 3 (N3);2012 juni;2232.0
331;Rijksweg 3 (N3);2012 juli;1914.0
332;Rijksweg 3 (N3);2012 augustus;2115.0
333;Rijksweg 3 (N3);2012 september;2227.0
334;Rijksweg 3 (N3);2012 oktober;2257.0
335;Rijksweg 3 (N3);2012 november;2269.0
336;Rijksweg 3 (N3);2012 december;1949.0
337;Rijksweg 3 (N3);2012;2100.0
338;Rijksweg 3 (N3);2013 januari;2027.0
339;Rijksweg 3 (N3);2013 februari;2007.0
340;Rijksweg 3 (N3);2013 maart;2093.0
341;Rijksweg 3 (N3);2013 april;2130.0
342;Rijksweg 3 (N3);2013 mei;2085.0
343;Rijksweg 3 (N3);2013 juni;2096.0
344;Rijksweg 3 (N3);2013 juli;2021.0
345;Rijksweg 3 (N3);2013 augustus;1861.0
346;Rijksweg 3 (N3);2013 september;2100.0
347;Rijksweg 3 (N3);2013 oktober;2195.0
348;Rijksweg 3 (N3);2013 november;2156.0
349;Rijksweg 3 (N3);2013 december;1994.0
350;Rijksweg 3 (N3);2013;2064.0
351;Rijksweg 3 (N3);2014 januari;2038.0
352;Rijksweg 3 (N3);2014 februari;2066.0
353;Rijksweg 3 (N3);2014 maart;2112.0
354;Rijksweg 3 (N3);2014 april;2143.0
355;Rijksweg 3 (N3);2014 mei;2029.0
356;Rijksweg 3 (N3);2014 juni;2015.0
357;Rijksweg 3 (N3);2014 juli;1988.0
358;Rijksweg 3 (N3);2014 augustus;1775.0
359;Rijksweg 3 (N3);2014 september;2070.0
360;Rijksweg 3 (N3);2014 oktober;2110.0
361;Rijksweg 3 (N3);2014 november;2033.0
362;Rijksweg 3 (N3);2014 december;1927.0
363;Rijksweg 3 (N3);2014;2025.0
364;Rijksweg 3 (N3);2015 januari;1947.0
365;Rijksweg 3 (N3);2015 februari;1994.0
366;Rijksweg 3 (N3);2015 maart;1996.0
367;Rijksweg 3 (N3);2015 april;2008.0
368;Rijksweg 3 (N3);2015 mei;1964.0
369;Rijksweg 3 (N3);2015 juni;2097.0
370;Rijksweg 3 (N3);2015 juli;1916.0
371;Rijksweg 3 (N3);2015 augustus;1826.0
372;Rijksweg 3 (N3);2015 september;2096.0
373;Rijksweg 3 (N3);2015 oktober;2132.0
374;Rijksweg 3 (N3);2015 november;2196.0
375;Rijksweg 3 (N3);2015 december;2020.0
376;Rijksweg 3 (N3);2015;2015.0
377;Rijksweg 3 (N3);2016 januari;2019.0
378;Rijksweg 3 (N3);2016 februari;2111.0
379;Rijksweg 3 (N3);2016 maart;2192.0
380;Rijksweg 3 (N3);2016 april;2203.0
381;Rijksweg 3 (N3);2016 mei;2154.0
382;Rijksweg 3 (N3);2016 juni;2244.0
383;Rijksweg 3 (N3);2016 juli;1927.0
384;Rijksweg 3 (N3);2016 augustus;1776.0
385;Rijksweg 3 (N3);2016 september;2009.0
386;Rijksweg 3 (N3);2016 oktober;2065.0
387;Rijksweg 3 (N3);2016 november;2083.0
388;Rijksweg 3 (N3);2016 december;1889.0
389;Rijksweg 3 (N3);2016;2056.0
390;Rijksweg 3 (N3);2017 januari;1842.0
391;Rijksweg 3 (N3);2017 februari;1934.0
392;Rijksweg 3 (N3);2017 maart;2012.0
393;Rijksweg 3 (N3);2017 april;1877.0
394;Rijksweg 3 (N3);2017 mei;1962.0
395;Rijksweg 3 (N3);2017 juni;1878.0
396;Rijksweg 3 (N3);2017 juli;1671.0
397;Rijksweg 3 (N3);2017 augustus;1716.0
398;Rijksweg 3 (N3);2017 september;1874.0
399;Rijksweg 3 (N3);2017 oktober;1923.0
400;Rijksweg 3 (N3);2017 november;2046.0
401;Rijksweg 3 (N3);2017 december;1964.0
402;Rijksweg 3 (N3);2017;1892.0
403;Rijksweg 3 (N3);2018 januari;2243.0
404;Rijksweg 3 (N3);2018 februari;2138.0
405;Rijksweg 3 (N3);2018 maart;
406;Rijksweg 3 (N3);2018 april;2226.0
407;Rijksweg 3 (N3);2018 mei;2225.0
408;Rijksweg 3 (N3);2018 juni;2378.0
409;Rijksweg 3 (N3);2018 juli;2153.0
410;Rijksweg 3 (N3);2018 augustus;2128.0
411;Rijksweg 3 (N3);2018 september;2193.0
412;Rijksweg 3 (N3);2018 oktober;2228.0
413;Rijksweg 3 (N3);2018 november;2207.0
414;Rijksweg 3 (N3);2018 december;1990.0
415;Rijksweg 3 (N3);2018;2193.0
416;Rijksweg 4 (A4);2011 januari;2478.0
417;Rijksweg 4 (A4);2011 februari;2675.0
418;Rijksweg 4 (A4);2011 maart;2744.0
419;Rijksweg 4 (A4);2011 april;2764.0
