ID;Perioden;Totaal_1;MetWerknemersorganisaties_2;ZonderWerknemersorganisaties_3;Onbekend_4;OnderhandelingenViaVakorganisatie_5;RechtstreekseOnderhandelingen_6;Overige_7;Onbekend_8;k_1Werkdag_9;k_12Werkdagen_10;k_25Werkdagen_11;k_510Werkdagen_12;k_10Werkdagen_13;Onbekend_14;Loonsverhoging_15;AndereLoonkwesties_16;KwestiesMBTWerktijd_17;TotaleCAO_18;ArbeidsvoorwaardenNietInCAO_19;Overige_20;Onbekend_21;k_0105LandbouwEnVisserij_22;k_1045IndustrieEnBouwnijverheid_23;k_1014Delfstoffenwinning_24;k_1537Industrie_25;k_4041EnergieEnWater_26;k_45Bouwnijverheid_27;k_5074CommercieleDienstverlening_28;k_5052Handel_29;k_55Horeca_30;k_6064VervoerEnCommunicatie_31;k_6567FinancieleDienstverlening_32;k_7074ZakelijkeDienstverlening_33;k_7599NietCommercieleDienstverlening_34;k_75OpenbaarBestuur_35;k_80Onderwijs_36;k_85GezondheidsEnWelzijnszorg_37;k_9093CultuurEnOverigeDienstverlening_38;k_95PersoneelInDienstVanHuishoudens_39;k_99InternationaleGemeenschapsorganen_40;Onbekend_41;Totaal_42;MetWerknemersorganisaties_43;ZonderWerknemersorganisaties_44;Onbekend_45;OnderhandelingenViaVakorganisatie_46;RechtstreekseOnderhandelingen_47;Anders_48;Onbekend_49;k_1Werkdag_50;k_12Werkdagen_51;k_25Werkdagen_52;k_510Werkdagen_53;k_10Werkdagen_54;Onbekend_55;Loonsverhoging_56;AndereLoonkwesties_57;KwestiesMBTWerktijd_58;TotaleCAO_59;ArbeidsvoorwaardenNietInCAO_60;Overige_61;Onbekend_62;k_0105LandbouwEnVisserij_63;k_1045IndustrieEnBouwnijverheid_64;k_1014Delfstoffenwinning_65;k_1537Industrie_66;k_4041EnergieEnWater_67;k_45Bouwnijverheid_68;k_5074CommercieleDienstverlening_69;k_5052Handel_70;k_55Horeca_71;k_6064VervoerEnCommunicatie_72;k_6567FinancieleDienstverlening_73;k_7074ZakelijkeDienstverlening_74;k_75OpenbaarBestuur_75;k_80Onderwijs_76;k_85GezondheidsEnWelzijnszorg_77;k_9093CultuurEnOverigeDienstverlening_78;k_95PersoneelInDienstVanHuishoudens_79;k_99InternationaleGemeenschapsorganen_80;Onbekend_81
0;1993;20660;0;0;;20160;0;0;;0;0;11560;7930;0;;0;0;0;19660;0;0;;0.0;8730;0;8645;85;0;0;0;0;7020;0;0;4910;4910;0;0;0;0;0;;44675;0;0;;44080;0;0;;0;0;29740;13950;0;;0;0;0;43880;0;0;;0.0;14570;0;14455;115;0;0;0;0;22515;0;0;7590;0;0;0;0;0;
1;1994;21810;18010;3800;0.0;18215;0;0;3595.0;4060;1335;14705;1710;0;0.0;0;0;0;0;0;19755;2055.0;0.0;4400;0;4400;0;0;17250;0;0;17250;0;0;0;0;0;0;0;0;0;160.0;47385;45545;1840;0.0;45680;0;0;1705.0;1525;1495;33145;11225;0;0.0;0;0;0;0;0;36055;11330.0;0.0;11345;0;11345;0;0;35470;0;0;35470;0;0;0;0;0;0;0;0;575.0
2;1995;55020;54645;375;0.0;0;0;0;55020.0;10105;4750;0;0;39890;275.0;0;0;0;54310;0;0;710.0;0.0;0;0;3465;35160;0;0;0;0;4860;0;0;0;0;9985;0;0;0;0;1550.0;691480;690890;585;0.0;0;0;0;691480.0;5520;5030;0;0;680190;735.0;0;0;0;689665;0;0;1810.0;0.0;0;0;3895;634290;0;0;0;0;45605;0;0;0;5415;0;0;0;0;2270.0
3;1996;8125;0;0;8125.0;7595;0;530;0.0;1705;6295;125;0;0;0.0;0;0;0;6300;0;0;1830.0;0.0;0;0;6320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1805.0;7395;0;0;7395.0;7215;0;175;0.0;700;6295;400;0;0;0.0;0;0;0;6275;0;0;1125.0;0.0;0;0;6410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;985.0
4;1997;7220;3910;3310;0.0;5845;0;0;1375.0;2730;240;1700;0;0;2550.0;0;0;0;0;0;4285;2935.0;0.0;2545;0;2545;0;0;3900;150;0;3745;0;0;0;0;0;0;0;0;0;780.0;14600;4420;10180;0.0;11185;0;0;3415.0;960;355;2720;0;0;10570.0;0;0;0;0;0;13540;1060.0;0.0;10060;0;10060;0;0;3970;110;0;3860;0;0;0;0;0;0;0;0;570.0
5;1998;30800;27900;2800;0.0;28200;2000;600;0.0;18200;11400;0;0;0;1200.0;0;0;0;27400;0;0;3400.0;0.0;2200;0;2200;0;0;1100;0;0;1100;0;0;0;0;26700;0;0;0;0;800.0;33200;31600;1600;0.0;31700;1000;600;0.0;9000;14800;0;0;0;9500.0;0;0;0;29900;0;0;3300.0;0.0;2400;0;2400;0;0;700;0;0;700;0;0;0;22300;0;0;0;0;7900.0
6;1999;58900;55300;3500;0.0;55500;900;2500;0.0;2600;45600;7400;0;0;3300.0;0;0;400;54900;0;0;3700.0;;4600;0;1900;0;2700;1500;0;0;0;0;0;52800;8700;44100;0;0;0;0;0.0;75800;69900;5900;0.0;72700;800;2300;0.0;1100;45800;7900;0;0;20900.0;0;0;300;69200;0;0;6200.0;;21900;0;4200;0;17700;900;0;0;0;0;0;8900;44100;0;0;0;0;0.0
7;2000;10300;7100;3100;0.0;7700;0;0;2500.0;3200;6300;0;0;0;800.0;0;0;0;5600;0;0;4700.0;0.0;1100;0;1100;0;0;4300;0;0;0;4100;0;4800;0;0;0;0;0;0;0.0;9400;5500;4000;0.0;6500;0;0;3000.0;1600;4600;0;0;0;3200.0;0;0;0;4900;0;0;4500.0;0.0;3400;0;3400;0;0;3400;0;0;3300;0;0;0;0;0;0;0;0;0.0
