ID;CountryOfResidence;StarRating;Regions;Periods;Guests_1;OvernightStays_2
0;All countries;Total;Nederland;2017 January;1783;2921
1;All countries;Total;Nederland;2017 February;1809;2978
2;All countries;Total;Nederland;2017 March;2185;3572
3;All countries;Total;Nederland;2017 1st quarter;5777;9470
4;All countries;Total;Nederland;2017 April;2622;4557
5;All countries;Total;Nederland;2017 May;2635;4469
6;All countries;Total;Nederland;2017 June;2634;4528
7;All countries;Total;Nederland;2017 2nd quarter;7890;13554
8;All countries;Total;Nederland;2017 July;2750;4936
9;All countries;Total;Nederland;2017 August;2768;5108
10;All countries;Total;Nederland;2017 September;2525;4419
11;All countries;Total;Nederland;2017 3rd quarter;8043;14462
12;All countries;Total;Nederland;2017 October;2576;4355
13;All countries;Total;Nederland;2017 November;2150;3544
14;All countries;Total;Nederland;2017 December;2135;3487
15;All countries;Total;Nederland;2017 4th quarter;6862;11387
16;All countries;Total;Nederland;2017;28572;48873
17;All countries;Total;Nederland;2018 January;1948;3200
18;All countries;Total;Nederland;2018 February;1937;3229
19;All countries;Total;Nederland;2018 March;2329;3935
20;All countries;Total;Nederland;2018 1st quarter;6214;10364
21;All countries;Total;Nederland;2018 April;2609;4565
22;All countries;Total;Nederland;2018 May;2748;4809
23;All countries;Total;Nederland;2018 June;2688;4705
24;All countries;Total;Nederland;2018 2nd quarter;8045;14078
25;All countries;Total;Nederland;2018 July;2800;5150
26;All countries;Total;Nederland;2018 August;2914;5453
27;All countries;Total;Nederland;2018 September;2661;4680
28;All countries;Total;Nederland;2018 3rd quarter;8375;15284
29;All countries;Total;Nederland;2018 October;2669;4588
30;All countries;Total;Nederland;2018 November;2253;3766
31;All countries;Total;Nederland;2018 December;2090;3530
32;All countries;Total;Nederland;2018 4th quarter;7011;11885
33;All countries;Total;Nederland;2018;29646;51611
34;All countries;Total;Nederland;2019 January;1909;3258
35;All countries;Total;Nederland;2019 February;1998;3381
36;All countries;Total;Nederland;2019 March;2477;4240
37;All countries;Total;Nederland;2019 1st quarter;6384;10880
38;All countries;Total;Nederland;2019 April;2765;4974
39;All countries;Total;Nederland;2019 May;2745;4868
40;All countries;Total;Nederland;2019 June;2852;5085
41;All countries;Total;Nederland;2019 2nd quarter;8361;14928
42;All countries;Total;Nederland;2019 July;2853;5371
43;All countries;Total;Nederland;2019 August;2919;5678
44;All countries;Total;Nederland;2019 September;2663;4798
