ID;Aardolieproducten;Perioden;Beginvoorraad_1;Winning_2;Raffinaderijen_3;PetrochemischeIndustrie_4;InvoerEntrepotopslag_5;UitvoerEntrepotuitvoer_6;Bunkering_7;BinnenlandseAfleveringen_8;StatistischVerschil_9;Eindvoorraad_10
0;Aardolieproducten;1946;;0;;;;;;;;
1;Aardolieproducten;1947;;0;;;;;;;;
2;Aardolieproducten;1948;;0;;;;;;;;
3;Aardolieproducten;1949;;0;;;;;;;;
4;Aardolieproducten;1950;;0;;;;;;;;
5;Aardolieproducten;1951;;0;;;;;;;;
6;Aardolieproducten;1952;;0;;;;;;;;
7;Aardolieproducten;1953;;0;;;;;;;;
8;Aardolieproducten;1954;;0;;;;;;;;
9;Aardolieproducten;1955;;0;;;;;;;;
10;Aardolieproducten;1956;;0;;;;;;;;
11;Aardolieproducten;1957;;0;;;;;;;;
12;Aardolieproducten;1958;;0;14593000.0;;;;;;;
13;Aardolieproducten;1959;;0;;;;;;;;
14;Aardolieproducten;1960;;0;;;;;;;;
15;Aardolieproducten;1961;;0;;;;;;;;
16;Aardolieproducten;1962;;0;;;;;;;;
17;Aardolieproducten;1963;;0;;;;;;;;
18;Aardolieproducten;1964;;0;;;;;;;;
19;Aardolieproducten;1965;;0;;;;;;;;
20;Aardolieproducten;1966;;0;;;;;;;;
21;Aardolieproducten;1967;;0;;;;;;;;
22;Aardolieproducten;1968;;0;;;;;;;;
23;Aardolieproducten;1969;;0;;;;;;;;
24;Aardolieproducten;1970;;0;;;;;;;;
25;Aardolieproducten;1971;;0;;;;;;;;
26;Aardolieproducten;1972;;0;;;;;;;;
27;Aardolieproducten;1973;;0;;;;;;;;
28;Aardolieproducten;1974;;0;;;;;;;;
29;Aardolieproducten;1975;;0;;;;;;;;
30;Aardolieproducten;1976;;0;;;;;;;;
31;Aardolieproducten;1977;;0;;;;;;;;
32;Aardolieproducten;1978;;0;58211000.0;2304000.0;13228000.0;32008000.0;12175000.0;29332000.0;;
33;Aardolieproducten;1979;;0;60826000.0;4631000.0;19231000.0;37888000.0;10916000.0;35405000.0;;
34;Aardolieproducten;1980;9909793.0;0;52778617.0;4458972.0;28547302.0;40915728.0;10484057.0;34557424.0;38784.0;9699013.0
35;Aardolieproducten;1981;10565893.0;0;44222127.0;7075430.0;32768927.0;39888082.0;10047902.0;36174757.0;-169875.0;8691511.0
36;Aardolieproducten;1982;8718432.0;0;45665377.0;7670108.0;36399367.0;45839010.0;9886097.0;34812475.0;14898.0;7900804.0
37;Aardolieproducten;1983;7900804.0;0;50762284.0;8563091.0;36447139.0;50831933.0;9309066.0;35474362.0;1354.0;8056603.0
38;Aardolieproducten;1984;8056603.0;0;52524273.0;9535033.0;32456050.0;51490803.0;8761838.0;34137786.0;-25035.0;8206567.0
39;Aardolieproducten;1985;8577445.0;0;48595887.0;6996691.0;36930728.0;50925316.0;10050720.0;32100940.0;-5714.0;8029489.0
40;Aardolieproducten;1986;8029489.0;0;59073507.0;8198265.0;39548391.0;55897861.0;11114192.0;38401346.0;-229.0;9436482.0
41;Aardolieproducten;1987;9436482.0;0;57279589.0;10152672.0;34505528.0;55543461.0;11009317.0;37130415.0;12014.0;7679064.0
