ID;Perioden;TotaalInstellingen_1;TotaalVestigingen_2;Indexcijfers_3;TotaalCapaciteit_4;Indexcijfers_5;TotaalBewoners_6;Indexcijfers_7;TotaalFteSInclOproepkrachten_8;Indexcijfers_9
0;1965;;1528.0;97.0;78188;53;73344;53;20737;39
1;1966;;1782.0;113.0;93112;63;84899;62;25011;48
2;1967;;1852.0;118.0;99995;67;91713;67;27239;52
3;1968;;1863.0;118.0;103928;70;95429;69;28226;54
4;1969;;1878.0;119.0;108543;73;100350;73;30187;57
5;1970;;1880.0;119.0;117901;79;108875;79;32781;62
6;1971;;1865.0;118.0;124588;84;115083;84;34985;66
7;1972;;1858.0;118.0;134652;91;124533;91;38905;74
8;1973;;1801.0;114.0;138277;93;129132;94;40547;77
9;1974;;1730.0;110.0;139020;93;129987;95;42880;81
10;1975;;1709.0;109.0;144383;97;134680;98;45277;86
11;1976;;1662.0;106.0;146281;98;136086;99;46385;88
12;1977;;1633.0;104.0;145997;98;136297;99;47074;89
13;1978;;1574.0;100.0;144323;97;134638;98;46972;89
14;1979;;1554.0;99.0;143869;97;134076;97;49402;94
15;1980;;1547.0;98.0;144798;97;135242;98;47778;91
16;1981;;1510.0;96.0;143782;97;133715;97;50772;96
17;1982;;1506.0;96.0;144428;97;134701;98;51752;98
18;1983;;1499.0;95.0;144624;97;134733;98;52183;99
19;1984;;1489.0;95.0;143697;97;133804;97;51779;98
20;1985;;1575.0;100.0;148738;100;137527;100;52649;100
21;1986;;1567.0;99.0;147773;99;136440;99;53004;101
22;1987;;1539.0;98.0;146170;98;134777;98;53348;101
23;1988;;1526.0;97.0;144250;97;132977;97;53279;101
24;1989;;1519.0;96.0;142424;96;131089;95;53457;102
25;1990;;1514.0;96.0;140140;94;130020;95;53858;102
26;1991;;1506.0;96.0;138252;93;128477;93;53955;102
27;1992;;1498.0;95.0;136472;92;126929;92;54980;104
28;1993;;1476.0;94.0;134489;90;124087;90;54343;103
29;1994;;1446.0;92.0;131464;88;121064;88;53233;101
30;1995;;1425.0;90.0;127838;86;117491;85;53053;101
31;1996;;1404.0;89.0;123042;83;113033;82;52491;100
32;1997;;1394.0;89.0;117309;79;111719;81;54395;103
33;1998;;1380.0;88.0;114250;77;107806;78;55472;105
34;1999;;1366.0;87.0;112441;76;107065;78;55977;106
35;2000;;1352.0;86.0;110669;74;104113;76;56463;107
36;2001;;1346.0;85.0;109885;74;102920;75;57979;110
37;2002;;1342.0;85.0;108933;73;102088;74;63636;121
38;2003;574.0;;;108163;73;100799;73;66243;126
39;2004;588.0;;;106975;72;100213;73;67640;128
40;2005;538.0;;;105375;71;98673;72;66795;127
