ID;VissoortenSchaalEnSchelpdieren;Perioden;AangevoerdeHoeveelheid_1
0;Europese kreeft;1994 januari;
1;Europese kreeft;1994 februari;
2;Europese kreeft;1994 maart;
3;Europese kreeft;1994 april;
4;Europese kreeft;1994 mei;
5;Europese kreeft;1994 juni;
6;Europese kreeft;1994 juli;
7;Europese kreeft;1994 augustus;
8;Europese kreeft;1994 september;
9;Europese kreeft;1994 oktober;
10;Europese kreeft;1994 november;
11;Europese kreeft;1994 december;
12;Europese kreeft;1994;
13;Europese kreeft;1995 januari;
14;Europese kreeft;1995 februari;
15;Europese kreeft;1995 maart;
16;Europese kreeft;1995 april;
17;Europese kreeft;1995 mei;
18;Europese kreeft;1995 juni;
19;Europese kreeft;1995 juli;
20;Europese kreeft;1995 augustus;
21;Europese kreeft;1995 september;
22;Europese kreeft;1995 oktober;
23;Europese kreeft;1995 november;
24;Europese kreeft;1995 december;
25;Europese kreeft;1995;
26;Europese kreeft;1996 januari;
27;Europese kreeft;1996 februari;
28;Europese kreeft;1996 maart;
29;Europese kreeft;1996 april;
30;Europese kreeft;1996 mei;
31;Europese kreeft;1996 juni;
32;Europese kreeft;1996 juli;
33;Europese kreeft;1996 augustus;
34;Europese kreeft;1996 september;
35;Europese kreeft;1996 oktober;
36;Europese kreeft;1996 november;
37;Europese kreeft;1996 december;
38;Europese kreeft;1996;
39;Europese kreeft;1997 januari;
40;Europese kreeft;1997 februari;
41;Europese kreeft;1997 maart;
42;Europese kreeft;1997 april;
43;Europese kreeft;1997 mei;
44;Europese kreeft;1997 juni;
45;Europese kreeft;1997 juli;
46;Europese kreeft;1997 augustus;
47;Europese kreeft;1997 september;
48;Europese kreeft;1997 oktober;
49;Europese kreeft;1997 november;
50;Europese kreeft;1997 december;
51;Europese kreeft;1997;
52;Europese kreeft;1998 januari;
53;Europese kreeft;1998 februari;
54;Europese kreeft;1998 maart;
55;Europese kreeft;1998 april;
56;Europese kreeft;1998 mei;
57;Europese kreeft;1998 juni;
58;Europese kreeft;1998 juli;
59;Europese kreeft;1998 augustus;
60;Europese kreeft;1998 september;
61;Europese kreeft;1998 oktober;
62;Europese kreeft;1998 november;
63;Europese kreeft;1998 december;
64;Europese kreeft;1998;
65;Europese kreeft;1999 januari;
66;Europese kreeft;1999 februari;
67;Europese kreeft;1999 maart;
68;Europese kreeft;1999 april;
69;Europese kreeft;1999 mei;
70;Europese kreeft;1999 juni;
71;Europese kreeft;1999 juli;
72;Europese kreeft;1999 augustus;
73;Europese kreeft;1999 september;
74;Europese kreeft;1999 oktober;
75;Europese kreeft;1999 november;
76;Europese kreeft;1999 december;
77;Europese kreeft;1999;
78;Europese kreeft;2000 januari;
79;Europese kreeft;2000 februari;
80;Europese kreeft;2000 maart;
81;Europese kreeft;2000 april;
82;Europese kreeft;2000 mei;
83;Europese kreeft;2000 juni;
84;Europese kreeft;2000 juli;
85;Europese kreeft;2000 augustus;
86;Europese kreeft;2000 september;
87;Europese kreeft;2000 oktober;
88;Europese kreeft;2000 november;
89;Europese kreeft;2000 december;
90;Europese kreeft;2000;
91;Europese kreeft;2001 januari;
92;Europese kreeft;2001 februari;
93;Europese kreeft;2001 maart;
94;Europese kreeft;2001 april;
95;Europese kreeft;2001 mei;
96;Europese kreeft;2001 juni;
97;Europese kreeft;2001 juli;
98;Europese kreeft;2001 augustus;
99;Europese kreeft;2001 september;
100;Europese kreeft;2001 oktober;
101;Europese kreeft;2001 november;
102;Europese kreeft;2001 december;
103;Europese kreeft;2001;
104;Europese kreeft;2002 januari;0.0
105;Europese kreeft;2002 februari;0.0
106;Europese kreeft;2002 maart;1.0
107;Europese kreeft;2002 april;4.0
108;Europese kreeft;2002 mei;4.0
109;Europese kreeft;2002 juni;7.0
110;Europese kreeft;2002 juli;5.0
111;Europese kreeft;2002 augustus;0.0
112;Europese kreeft;2002 september;0.0
