ID;Geslacht;Persoonskenmerken;GeboortelandOuders;Herkomstland;RegioS;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2014;12641510.0;8228070.0;65.0;84.0;56.0;27.0;16.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2015;12688490.0;8305330.0;65.0;84.0;55.0;29.0;16.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2016;12777150.0;8426530.0;66.0;84.0;54.0;30.0;16.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2017;12864110.0;8609820.0;67.0;84.0;53.0;30.0;16.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2018;12951260.0;8817980.0;68.0;84.0;53.0;31.0;16.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2019;13034610.0;9004600.0;69.0;84.0;53.0;31.0;16.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2020;13102230.0;8979920.0;69.0;84.0;57.0;27.0;16.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2021;13140640.0;9116980.0;69.0;83.0;56.0;27.0;17.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2022;13219140.0;9367180.0;71.0;83.0;55.0;28.0;17.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2014;1281620.0;802130.0;63.0;83.0;55.0;29.0;17.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2015;1280470.0;805420.0;63.0;83.0;53.0;30.0;17.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2016;1283780.0;813400.0;63.0;83.0;52.0;31.0;17.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2017;1286720.0;827160.0;64.0;83.0;52.0;31.0;17.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2018;1289240.0;844430.0;65.0;84.0;52.0;32.0;16.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2019;1291410.0;859290.0;67.0;84.0;52.0;32.0;16.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2020;1292780.0;854810.0;66.0;84.0;56.0;27.0;16.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2021;1293870.0;869870.0;67.0;84.0;56.0;28.0;16.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2022;1297270.0;891590.0;69.0;84.0;55.0;29.0;16.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2014;2642450.0;1742010.0;66.0;84.0;57.0;27.0;16.0
