ID;Geslacht;Leeftijd;Generatie;Perioden;TotaleBevolking_1;Autochtoon_2;Allochtoon_3;WesterseAllochtonen_4;k_26EULanden_5;OverigEuropa_6;Indonesie_7;OverigBuitenEuropa_8;NietWesterseAllochtonen_9;Afrika_10;Azie_11;LatijnsAmerika_12;Marokko_13;NederlandseAntillenEnAruba_14;Suriname_15;Turkije_16
0;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2013;16777637;13236152.0;3541486;1576280;965008;158587;374528;78157;1965206;231483;381855;94160;368662;145966;347833;395247
1;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2014;16824131;13235544.0;3588590;1593031;979817;162164;371518;79532;1995559;235599;392192;97695;374312;148687;349369;397705
2;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2015;16870652;13234255.0;3636396;1607951;992230;166081;368564;81076;2028445;240128;403494;101333;379989;151840;351228;400433
3;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2016;16920182;13233026.0;3687159;1624208;1005594;170391;365598;82625;2062951;245032;415345;105097;385494;155184;353353;403446
4;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2017;16973054;13232192.0;3740861;1641884;1019971;175089;362634;84190;2098977;250345;427725;109003;390786;158696;355650;406772
5;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2018;17030173;13232415.0;3797760;1661193;1035539;180168;359702;85784;2136567;256078;440576;113075;395944;162388;358104;410402
6;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2019;17086316;13233322.0;3852996;1679305;1050048;185215;356768;87274;2173691;261893;453522;117253;400677;166102;360396;413848
7;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2020;17141012;13234761.0;3906251;1696195;1063519;190205;353799;88672;2210056;267792;466515;121407;405006;169823;362454;417059
8;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2021;17193872;13236471.0;3957401;1711927;1075980;195145;350805;89997;2245474;273763;479548;125519;408918;173534;364216;419976
9;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2022;17245101;13238230.0;4006878;1726729;1087627;200061;347747;91294;2280149;279758;492685;129611;412459;177232;365736;422668
10;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2023;17294382;13239407.0;4054975;1740705;1098538;204958;344632;92577;2314270;285804;505922;133686;415696;180923;367070;425169
11;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2024;17342378;13239836.0;4102544;1754835;1109714;209836;341446;93839;2347709;291834;519092;137750;418666;184600;368256;427511
12;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2025;17389099;13239531.0;4149569;1769007;1121044;214694;338177;95092;2380562;297856;532180;141801;421425;188261;369304;429735
13;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2026;17434090;13238036.0;4196056;1783147;1132466;219524;334824;96333;2412909;303846;545186;145849;424015;191910;370240;431863
14;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2027;17477134;13235136.0;4242001;1797213;1143933;224323;331390;97567;2444788;309806;558121;149901;426464;195547;371054;433895
15;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2028;17518146;13230740.0;4287406;1811173;1155429;229088;327868;98788;2476233;315749;570992;153947;428788;199169;371744;435844
16;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2029;17557028;13224749.0;4332280;1825048;1166962;233828;324260;99998;2507232;321657;583790;157994;431000;202777;372297;437717
17;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2030;17593753;13217087.0;4376667;1838834;1178545;238539;320555;101195;2537833;327538;596553;162042;433112;206357;372736;439495
18;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2031;17628133;13207586.0;4420543;1852541;1190199;243215;316746;102381;2568002;333382;609264;166082;435135;209914;373054;441171
19;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2032;17659967;13196056.0;4463910;1866168;1201919;247858;312836;103555;2597742;339190;621908;170111;437080;213439;373255;442759
20;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2033;17689140;13182396.0;4506744;1879723;1213721;252459;308822;104721;2627021;344966;634445;174131;438940;216929;373347;444263
21;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2034;17715584;13166466.0;4549119;1893248;1225637;257027;304699;105885;2655871;350711;646886;178147;440717;220388;373333;445689
22;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2035;17739187;13148195.0;4590988;1906727;1237663;261563;300464;107037;2684261;356404;659228;182155;442417;223817;373210;447030
