ID;Leeftijd;Geslacht;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1AllochtoneOuder_5;k_2eGeneratieMet2AllochtoneOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
0;Totaal over alle leeftijden;Totaal mannen en vrouwen;2005;13176586;3118004;1600062;1517942;887273;630669;1695573;1422436
1;Totaal over alle leeftijden;Totaal mannen en vrouwen;2006;13180286;3147888;1598404;1549482;897128;652363;1721678;1426207
2;Totaal over alle leeftijden;Totaal mannen en vrouwen;2007;13180941;3179881;1599817;1580062;906638;673428;1748202;1431683
3;Totaal over alle leeftijden;Totaal mannen en vrouwen;2008;13179040;3214698;1605023;1609675;915799;693881;1775195;1439512
4;Totaal over alle leeftijden;Totaal mannen en vrouwen;2009;13174835;3252691;1614265;1638420;924675;713748;1802712;1449973
5;Totaal over alle leeftijden;Totaal mannen en vrouwen;2010;13168696;3293759;1627362;1666399;933350;733053;1830618;1463144
6;Totaal over alle leeftijden;Totaal mannen en vrouwen;2011;13160884;3337327;1643646;1693683;941874;751801;1858544;1478784
7;Totaal over alle leeftijden;Totaal mannen en vrouwen;2012;13151490;3382762;1662422;1720344;950292;770058;1886298;1496467
8;Totaal over alle leeftijden;Totaal mannen en vrouwen;2013;13140887;3429400;1682924;1746483;958656;787828;1913933;1515475
9;Totaal over alle leeftijden;Totaal mannen en vrouwen;2014;13129432;3476386;1704227;1772153;967005;805151;1941427;1534951
10;Totaal over alle leeftijden;Totaal mannen en vrouwen;2015;13117343;3523024;1725616;1797408;975356;822055;1968803;1554220
11;Totaal over alle leeftijden;Totaal mannen en vrouwen;2016;13104796;3569118;1746834;1822289;983728;838561;1996046;1573071
12;Totaal over alle leeftijden;Totaal mannen en vrouwen;2017;13091918;3614626;1767831;1846790;992088;854708;2023165;1591454
13;Totaal over alle leeftijden;Totaal mannen en vrouwen;2018;13078792;3659558;1788620;1870943;1000452;870490;2050124;1609435
14;Totaal over alle leeftijden;Totaal mannen en vrouwen;2019;13065490;3703970;1809212;1894760;1008804;885956;2076885;1627085
15;Totaal over alle leeftijden;Totaal mannen en vrouwen;2020;13051962;3747863;1829602;1918259;1017129;901135;2103409;1644457
