ID;Perioden;StudentenMetInschrijvingsrechten_1;ActieveStudenten_2;Mannen_3;Vrouwen_4;EerstejaarsStudenten_5;Diplomastudenten_6;Cursusstudenten_7;NogOpen_8;Onbekend_9;Basisonderwijs_10;VoorbereidendBeroepsonderwijs_11;Mavo_12;HavoVwo_13;BeroepsopleidendeLeerweg_14;HogerBeroepsonderwijs_15;WetenschappelijkOnderwijs_16;Onbekend_17;MetBetaaldWerk_18;ZonderBetaaldWerk_19;Onbekend_20
0;1991;52.2;36.1;22.2;13.9;21.8;18.4;8.3;6.1;3.2;0;1;8;23;14;34;14;6;72;23;5
1;1992;56.7;35.3;21.7;13.6;19.6;17.8;7.9;6.7;3.0;0;1;8;21;13;34;14;8;73;22;5
2;1993;56.0;35.5;22.0;13.6;18.5;17.7;7.4;7.5;3.0;0;1;7;21;13;34;15;9;71;23;6
3;1994;52.6;32.1;20.1;12.0;15.1;15.8;6.5;6.9;2.9;0;1;7;21;12;34;15;10;69;25;6
4;1995;38.4;27.2;16.7;10.5;12.1;13.0;5.9;5.6;2.7;0;1;7;21;12;33;16;10;69;26;6
5;1996;28.1;25.1;14.9;10.1;11.1;11.7;5.1;5.2;3.0;1;1;7;20;12;32;15;12;67;24;9
6;1997;25.5;21.6;12.4;9.2;9.1;10.3;4.3;4.4;2.6;0;1;7;21;11;32;15;13;68;23;9
7;1998;26.0;22.6;12.8;9.8;9.8;12.9;5.8;3.3;0.6;0;1;7;21;12;32;15;12;68;22;10
8;1999;26.3;20.5;11.3;9.2;8.7;13.1;3.9;3.5;0.0;0;1;6;21;12;32;15;13;70;20;10
9;2000;25.6;20.1;11.0;9.1;8.3;13.3;4.1;2.8;0.0;0;1;6;20;12;32;15;14;68;20;13
10;2001;24.6;19.3;10.3;9.0;8.0;12.8;3.9;2.5;0.0;0;1;6;20;11;30;13;20;63;19;19
11;2002;24.9;19.4;10.3;9.1;8.1;12.9;4.1;2.4;0.0;0;1;6;21;12;32;14;14;62;19;20
12;2003;25.1;19.2;9.9;9.3;8.1;12.3;4.4;2.5;0.0;0;1;6;22;13;34;16;7;67;20;13
13;2004;24.2;18.9;9.6;9.3;7.4;13.2;3.1;2.6;0.0;0;1;6;23;13;36;16;6;63;20;17
14;2005;21.8;16.9;8.4;8.5;5.6;13.2;1.7;2.1;0.0;0;1;6;22;12;37;16;5;63;19;18
15;2006;21.5;16.3;8.1;8.3;5.5;11.8;2.3;2.2;0.0;0;1;5;22;12;37;17;6;61;20;19
16;2007;19.4;15.2;7.3;8.0;5.5;9.7;2.8;2.8;0.0;0;1;5;23;13;36;15;7;63;19;18
17;2008;16.6;13.7;6.5;7.2;5.1;9.4;1.7;2.6;0.0;0;1;5;22;13;36;16;7;61;18;20
18;2009;16.0;13.1;6.1;7.0;5.0;8.7;1.8;2.6;0.0;0;1;5;22;13;36;16;7;62;18;20
19;2010;15.6;13.3;6.2;7.1;5.0;8.8;1.9;2.6;0.0;1;1;4;21;12;37;17;8;61;18;20
20;2011;15.5;13.5;6.2;7.3;5.1;8.8;2.0;2.5;0.1;0;1;4;20;11;37;17;8;55;17;28
21;2012;16.3;13.3;6.0;7.3;5.1;8.3;2.5;2.2;0.3;1;1;4;20;11;37;18;9;43;13;44
