ID;Motief;TypeAccommodatie;Perioden;Gasten_1;Overnachtingen_2;Bestedingen_3;Gasten_4;Overnachtingen_5
0;3;Totaal accommodaties;2005/'06;10012;25210;3545.0;100;100
1;3;Hotel en pension;2005/'06;8081;15143;3102.0;100;100
2;3;Andere accommodatie;2005/'06;1931;10067;442.0;100;100
3;1;Totaal accommodaties;2005/'06;6973;20339;2217.0;70;81
4;1;Hotel en pension;2005/'06;5090;10573;;63;70
5;1;Andere accommodatie;2005/'06;1882;9765;;97;97
6;2;Totaal accommodaties;2005/'06;3039;4871;1328.0;30;19
7;2;Hotel en pension;2005/'06;2991;4570;;37;30
8;2;Andere accommodatie;2005/'06;49;302;;3;3
