ID;Donorregistratie;RegioS;Perioden;DonorregisterVastgelegdeKeuze_1
0;Totaal wel of niet geregistreerd;Nederland;2022;14283.4
1;Totaal wel of niet geregistreerd;Nederland;2023;14491.3
2;Totaal wel of niet geregistreerd;Nederland;2024;14636.9
3;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2022;1428.2
4;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2023;1444.3
5;Totaal wel of niet geregistreerd;Noord-Nederland (LD);2024;1456.5
6;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2022;2991.1
7;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2023;3034.3
8;Totaal wel of niet geregistreerd;Oost-Nederland (LD);2024;3063.9
9;Totaal wel of niet geregistreerd;West-Nederland (LD);2022;6798.0
10;Totaal wel of niet geregistreerd;West-Nederland (LD);2023;6906.5
11;Totaal wel of niet geregistreerd;West-Nederland (LD);2024;6986.1
12;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2022;3066.1
13;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2023;3106.2
14;Totaal wel of niet geregistreerd;Zuid-Nederland (LD);2024;3130.4
15;Totaal wel of niet geregistreerd;Groningen (PV);2022;491.4
16;Totaal wel of niet geregistreerd;Groningen (PV);2023;496.9
17;Totaal wel of niet geregistreerd;Groningen (PV);2024;503.0
18;Totaal wel of niet geregistreerd;Fryslân (PV);2022;530.0
19;Totaal wel of niet geregistreerd;Fryslân (PV);2023;536.0
20;Totaal wel of niet geregistreerd;Fryslân (PV);2024;539.3
21;Totaal wel of niet geregistreerd;Drenthe (PV);2022;406.8
22;Totaal wel of niet geregistreerd;Drenthe (PV);2023;411.4
23;Totaal wel of niet geregistreerd;Drenthe (PV);2024;414.2
24;Totaal wel of niet geregistreerd;Overijssel (PV);2022;941.6
25;Totaal wel of niet geregistreerd;Overijssel (PV);2023;953.7
26;Totaal wel of niet geregistreerd;Overijssel (PV);2024;960.4
27;Totaal wel of niet geregistreerd;Flevoland (PV);2022;338.1
28;Totaal wel of niet geregistreerd;Flevoland (PV);2023;346.8
29;Totaal wel of niet geregistreerd;Flevoland (PV);2024;352.7
30;Totaal wel of niet geregistreerd;Gelderland (PV);2022;1711.4
31;Totaal wel of niet geregistreerd;Gelderland (PV);2023;1733.9
32;Totaal wel of niet geregistreerd;Gelderland (PV);2024;1750.9
33;Totaal wel of niet geregistreerd;Utrecht (PV);2022;1090.6
34;Totaal wel of niet geregistreerd;Utrecht (PV);2023;1108.0
35;Totaal wel of niet geregistreerd;Utrecht (PV);2024;1121.2
36;Totaal wel of niet geregistreerd;Noord-Holland (PV);2022;2368.1
37;Totaal wel of niet geregistreerd;Noord-Holland (PV);2023;2409.0
38;Totaal wel of niet geregistreerd;Noord-Holland (PV);2024;2438.5
39;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2022;3023.0
40;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2023;3069.3
41;Totaal wel of niet geregistreerd;Zuid-Holland (PV);2024;3105.5
42;Totaal wel of niet geregistreerd;Zeeland (PV);2022;316.3
