ID;CPA2008;Perioden;Prijsindexcijfers_1;Kwartaalmutaties_2;Jaarmutaties_3
0;190;2002 4e kwartaal;;;
1;190;2003 1e kwartaal;;;
2;190;2003 2e kwartaal;;;
3;190;2003 3e kwartaal;;;
4;190;2003 4e kwartaal;;;
5;190;2003 jaargemiddelde;;;
6;190;2004 1e kwartaal;;;
7;190;2004 2e kwartaal;;;
8;190;2004 3e kwartaal;;;
9;190;2004 4e kwartaal;;;
10;190;2004 jaargemiddelde;;;
11;190;2005 1e kwartaal;;;
12;190;2005 2e kwartaal;;;
13;190;2005 3e kwartaal;;;
14;190;2005 4e kwartaal;;;
15;190;2005 jaargemiddelde;;;
16;190;2006 1e kwartaal;93.9;;
17;190;2006 2e kwartaal;94.0;0.1;
18;190;2006 3e kwartaal;94.8;0.8;
19;190;2006 4e kwartaal;95.5;0.8;
20;190;2006 jaargemiddelde;94.5;;
21;190;2007 1e kwartaal;95.9;0.4;2.1
22;190;2007 2e kwartaal;96.4;0.6;2.6
23;190;2007 3e kwartaal;96.8;0.4;2.1
24;190;2007 4e kwartaal;97.5;0.7;2.1
25;190;2007 jaargemiddelde;96.6;;2.2
26;190;2008 1e kwartaal;98.1;0.7;2.4
27;190;2008 2e kwartaal;98.5;0.4;2.2
28;190;2008 3e kwartaal;99.3;0.8;2.6
29;190;2008 4e kwartaal;99.5;0.3;2.1
30;190;2008 jaargemiddelde;98.9;;2.3
31;190;2009 1e kwartaal;99.4;-0.1;1.3
32;190;2009 2e kwartaal;98.9;-0.6;0.3
33;190;2009 3e kwartaal;99.0;0.2;-0.3
34;190;2009 4e kwartaal;99.4;0.4;-0.1
35;190;2009 jaargemiddelde;99.2;;0.3
36;190;2010 1e kwartaal;99.8;0.3;0.4
37;190;2010 2e kwartaal;100.1;0.4;1.3
38;190;2010 3e kwartaal;99.8;-0.3;0.8
39;190;2010 4e kwartaal;100.3;0.5;0.9
40;190;2010 jaargemiddelde;100.0;;0.8
41;190;2011 1e kwartaal;100.6;0.3;0.8
42;190;2011 2e kwartaal;100.9;0.3;0.8
43;190;2011 3e kwartaal;100.8;-0.1;0.9
44;190;2011 4e kwartaal;100.6;-0.2;0.2
45;190;2011 jaargemiddelde;100.7;;0.7
46;190;2012 1e kwartaal;100.4;-0.1;-0.2
47;190;2012 2e kwartaal;100.9;0.5;0.1
48;190;2012 3e kwartaal;100.7;-0.3;-0.1
49;190;2012 4e kwartaal;101.0;0.4;0.5
50;190;2012 jaargemiddelde;100.8;;0.1
51;190;2013 1e kwartaal;101.2;0.2;0.8
52;190;2013 2e kwartaal;101.3;0.1;0.4
53;190;2013 3e kwartaal;101.5;0.2;0.9
54;190;2013 4e kwartaal;101.7;0.1;0.6
55;190;2013 jaargemiddelde;101.4;;0.7
56;190;2014 1e kwartaal;101.4;-0.3;0.1
57;190;2014 2e kwartaal;101.6;0.3;0.3
58;190;2014 3e kwartaal;102.2;0.5;0.6
59;190;2014 4e kwartaal;101.7;-0.5;0.0
60;190;2014 jaargemiddelde;101.7;;0.3
61;190;2015 1e kwartaal;102.5;0.8;1.1
62;190;2015 2e kwartaal;102.7;0.2;1.1
63;190;2015 3e kwartaal;102.5;-0.2;0.3
64;190;2015 4e kwartaal;102.9;0.4;1.1
65;190;2015 jaargemiddelde;102.6;;0.9
66;190;2016 1e kwartaal;102.8;-0.1;0.2
67;190;2016 2e kwartaal;102.9;0.1;0.2
68;190;2016 3e kwartaal;103.3;0.4;0.8
