ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
91;493 Personenvervoer over de weg;2007 2e kwartaal;113.4;6.4
92;493 Personenvervoer over de weg;2007 3e kwartaal;107.8;7.7
93;493 Personenvervoer over de weg;2007 4e kwartaal;116.4;14.4
94;493 Personenvervoer over de weg;2007;109.7;9.0
95;493 Personenvervoer over de weg;2008 1e kwartaal;110.2;9.0
96;493 Personenvervoer over de weg;2008 2e kwartaal;120.3;6.0
97;493 Personenvervoer over de weg;2008 3e kwartaal;115.5;7.2
98;493 Personenvervoer over de weg;2008 4e kwartaal;122.0;4.8
99;493 Personenvervoer over de weg;2008;117.0;6.7
100;493 Personenvervoer over de weg;2009 1e kwartaal;118.1;7.1
101;493 Personenvervoer over de weg;2009 2e kwartaal;129.6;7.8
102;493 Personenvervoer over de weg;2009 3e kwartaal;120.4;4.2
103;493 Personenvervoer over de weg;2009 4e kwartaal;128.8;5.6
104;493 Personenvervoer over de weg;2009;124.2;6.2
105;493 Personenvervoer over de weg;2010 1e kwartaal;122.1;3.4
106;493 Personenvervoer over de weg;2010 2e kwartaal;129.1;-0.4
107;493 Personenvervoer over de weg;2010 3e kwartaal;122.8;2.0
108;493 Personenvervoer over de weg;2010 4e kwartaal;130.4;1.2
109;493 Personenvervoer over de weg;2010;126.1;1.5
110;493 Personenvervoer over de weg;2011 1e kwartaal;123.5;1.1
111;493 Personenvervoer over de weg;2011 2e kwartaal;133.4;3.3
112;493 Personenvervoer over de weg;2011 3e kwartaal;126.6;3.2
113;493 Personenvervoer over de weg;2011 4e kwartaal;130.1;-0.2
114;493 Personenvervoer over de weg;2011;128.4;1.8
115;493 Personenvervoer over de weg;2012 1e kwartaal;126.2;2.2
116;493 Personenvervoer over de weg;2012 2e kwartaal;136.6;2.4
117;493 Personenvervoer over de weg;2012 3e kwartaal;123.2;-2.7
118;493 Personenvervoer over de weg;2012 4e kwartaal;133.7;2.8
119;493 Personenvervoer over de weg;2012;129.9;1.2
120;4932 Vervoer per taxi;2005 1e kwartaal;94.7;
121;4932 Vervoer per taxi;2005 2e kwartaal;104.6;
122;4932 Vervoer per taxi;2005 3e kwartaal;94.4;
123;4932 Vervoer per taxi;2005 4e kwartaal;106.3;
124;4932 Vervoer per taxi;2005;100.0;
125;4932 Vervoer per taxi;2006 1e kwartaal;100.7;6.4
126;4932 Vervoer per taxi;2006 2e kwartaal;110.3;5.4
127;4932 Vervoer per taxi;2006 3e kwartaal;102.7;8.9
128;4932 Vervoer per taxi;2006 4e kwartaal;118.5;11.4
129;4932 Vervoer per taxi;2006;108.1;8.1
130;4932 Vervoer per taxi;2007 1e kwartaal;109.8;9.0
131;4932 Vervoer per taxi;2007 2e kwartaal;117.5;6.6
132;4932 Vervoer per taxi;2007 3e kwartaal;110.4;7.5
133;4932 Vervoer per taxi;2007 4e kwartaal;126.4;6.7
134;4932 Vervoer per taxi;2007;116.0;7.4
135;4932 Vervoer per taxi;2008 1e kwartaal;116.6;6.2
136;4932 Vervoer per taxi;2008 2e kwartaal;128.3;9.2
137;4932 Vervoer per taxi;2008 3e kwartaal;118.5;7.3
138;4932 Vervoer per taxi;2008 4e kwartaal;130.5;3.2
139;4932 Vervoer per taxi;2008;123.5;6.4
140;4932 Vervoer per taxi;2009 1e kwartaal;122.6;5.1
141;4932 Vervoer per taxi;2009 2e kwartaal;132.2;3.0
142;4932 Vervoer per taxi;2009 3e kwartaal;120.6;1.8
143;4932 Vervoer per taxi;2009 4e kwartaal;136.5;4.7
144;4932 Vervoer per taxi;2009;128.0;3.7
145;4932 Vervoer per taxi;2010 1e kwartaal;122.8;0.2
146;4932 Vervoer per taxi;2010 2e kwartaal;131.5;-0.5
147;4932 Vervoer per taxi;2010 3e kwartaal;125.4;4.0
148;4932 Vervoer per taxi;2010 4e kwartaal;138.6;1.5
149;4932 Vervoer per taxi;2010;129.6;1.3
150;4932 Vervoer per taxi;2011 1e kwartaal;124.5;1.4
151;4932 Vervoer per taxi;2011 2e kwartaal;135.4;3.0
152;4932 Vervoer per taxi;2011 3e kwartaal;124.4;-0.9
153;4932 Vervoer per taxi;2011 4e kwartaal;138.8;0.1
154;4932 Vervoer per taxi;2011;130.8;0.9
155;4932 Vervoer per taxi;2012 1e kwartaal;130.6;4.9
156;4932 Vervoer per taxi;2012 2e kwartaal;142.0;4.9
157;4932 Vervoer per taxi;2012 3e kwartaal;122.1;-1.8
158;4932 Vervoer per taxi;2012 4e kwartaal;137.9;-0.6
159;4932 Vervoer per taxi;2012;133.1;1.8
160;4939 Overig personenvervoer over de weg;2005 1e kwartaal;93.2;
161;4939 Overig personenvervoer over de weg;2005 2e kwartaal;107.5;
162;4939 Overig personenvervoer over de weg;2005 3e kwartaal;99.9;
163;4939 Overig personenvervoer over de weg;2005 4e kwartaal;99.3;
164;4939 Overig personenvervoer over de weg;2005;100.0;
165;4939 Overig personenvervoer over de weg;2006 1e kwartaal;87.0;-6.7
166;4939 Overig personenvervoer over de weg;2006 2e kwartaal;103.5;-3.7
167;4939 Overig personenvervoer over de weg;2006 3e kwartaal;97.7;-2.2
168;4939 Overig personenvervoer over de weg;2006 4e kwartaal;85.3;-14.1
169;4939 Overig personenvervoer over de weg;2006;93.4;-6.6
170;4939 Overig personenvervoer over de weg;2007 1e kwartaal;92.1;5.9
171;4939 Overig personenvervoer over de weg;2007 2e kwartaal;110.4;6.6
172;4939 Overig personenvervoer over de weg;2007 3e kwartaal;105.9;8.4
173;4939 Overig personenvervoer over de weg;2007 4e kwartaal;106.5;24.9
174;4939 Overig personenvervoer over de weg;2007;103.7;11.1
175;4939 Overig personenvervoer over de weg;2008 1e kwartaal;103.3;12.1
176;4939 Overig personenvervoer over de weg;2008 2e kwartaal;113.5;2.8
177;4939 Overig personenvervoer over de weg;2008 3e kwartaal;113.0;6.7
178;4939 Overig personenvervoer over de weg;2008 4e kwartaal;113.5;6.5
179;4939 Overig personenvervoer over de weg;2008;110.8;6.8
180;4939 Overig personenvervoer over de weg;2009 1e kwartaal;113.4;9.8
181;4939 Overig personenvervoer over de weg;2009 2e kwartaal;127.9;12.7
182;4939 Overig personenvervoer over de weg;2009 3e kwartaal;120.5;6.7
183;4939 Overig personenvervoer over de weg;2009 4e kwartaal;120.0;5.8
184;4939 Overig personenvervoer over de weg;2009;120.5;8.7
185;4939 Overig personenvervoer over de weg;2010 1e kwartaal;121.2;6.8
186;4939 Overig personenvervoer over de weg;2010 2e kwartaal;127.3;-0.4
187;4939 Overig personenvervoer over de weg;2010 3e kwartaal;119.2;-1.1
188;4939 Overig personenvervoer over de weg;2010 4e kwartaal;120.7;0.6
189;4939 Overig personenvervoer over de weg;2010;122.1;1.4
190;4939 Overig personenvervoer over de weg;2011 1e kwartaal;121.4;0.2
191;4939 Overig personenvervoer over de weg;2011 2e kwartaal;130.8;2.7
192;4939 Overig personenvervoer over de weg;2011 3e kwartaal;127.7;7.1
193;4939 Overig personenvervoer over de weg;2011 4e kwartaal;120.4;-0.2
194;4939 Overig personenvervoer over de weg;2011;125.1;2.5
195;4939 Overig personenvervoer over de weg;2012 1e kwartaal;120.5;-0.8
196;4939 Overig personenvervoer over de weg;2012 2e kwartaal;130.8;0.0
197;4939 Overig personenvervoer over de weg;2012 3e kwartaal;123.1;-3.6
198;4939 Overig personenvervoer over de weg;2012 4e kwartaal;129.7;7.7
199;4939 Overig personenvervoer over de weg;2012;126.0;0.8
200;494 Goederenvervoer over de weg;2005 1e kwartaal;90.2;
201;494 Goederenvervoer over de weg;2005 2e kwartaal;100.9;
202;494 Goederenvervoer over de weg;2005 3e kwartaal;99.3;
203;494 Goederenvervoer over de weg;2005 4e kwartaal;109.6;
204;494 Goederenvervoer over de weg;2005;100.0;
205;494 Goederenvervoer over de weg;2006 1e kwartaal;101.1;12.1
206;494 Goederenvervoer over de weg;2006 2e kwartaal;113.3;12.2
