ID;Sectors;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;RDIntensity_4;EnterprisesWithInHouseRDActivities_5
0;All sectors;2013;195127;135555;14239;2.14;20135.0
1;All sectors;2014;194942;136174;14595;2.15;20341.0
2;All sectors;2015;202501;139382;14808;2.12;20260.0
3;All sectors;2016;207461;144482;15235;2.12;20674.0
4;All sectors;2017;209488;150399;16081;2.14;19957.0
5;All sectors;2018;216965;156849;16550;2.1;19554.0
6;All sectors;2019;226732;160422;17760;2.14;20104.0
7;All sectors;2020;231570;166422;18494;2.27;20271.0
8;All sectors;2021;238985;173667;19752;2.22;19917.0
9;All sectors;2022;251211;183533;21628;2.18;
10;All sectors;2023;261454;192873;23780;2.23;
11;Businesses;2013;146165;95108;9299;1.4;19692.0
12;Businesses;2014;144689;94612;9444;1.39;19877.0
13;Businesses;2015;151385;97443;9515;1.36;19798.0
14;Businesses;2016;157018;102614;10008;1.39;20159.0
15;Businesses;2017;157844;107496;10667;1.42;19484.0
16;Businesses;2018;164144;112807;10998;1.4;19031.0
17;Businesses;2019;171143;115124;11846;1.43;19548.0
18;Businesses;2020;172993;118355;12314;1.51;19720.0
19;Businesses;2021;177810;123627;13048;1.46;19387.0
20;Businesses;2022;191662;133950;14806;1.49;
21;Businesses;2023;197981;140096;16643;1.56;
22;Institutions;2013;11322;8116;848;0.13;380.0
23;Institutions;2014;11577;8325;889;0.13;401.0
24;Institutions;2015;12128;8335;900;0.13;399.0
25;Institutions;2016;12019;8568;923;0.13;452.0
26;Institutions;2017;12121;8553;907;0.12;410.0
27;Institutions;2018;12899;9326;971;0.12;461.0
28;Institutions;2019;13472;9336;1014;0.12;495.0
29;Institutions;2020;13549;9635;1038;0.13;489.0
30;Institutions;2021;13955;9567;1080;0.12;468.0
31;Institutions;2022;12621;9113;1034;0.1;
32;Institutions;2023;13365;9566;1168;0.11;
33;Higher education;2013;37640;32331;4092;0.61;63.0
34;Higher education;2014;38676;33237;4262;0.63;63.0
35;Higher education;2015;38988;33604;4393;0.63;63.0
36;Higher education;2016;38424;33300;4304;0.6;63.0
37;Higher education;2017;39522;34350;4506;0.6;63.0
38;Higher education;2018;39922;34716;4581;0.58;62.0
39;Higher education;2019;42117;35963;4900;0.59;62.0
40;Higher education;2020;45027;38433;5142;0.63;62.0
41;Higher education;2021;47220;40473;5623;0.63;62.0
42;Higher education;2022;46928;40469;5778;0.58;
43;Higher education;2023;50108;43211;5969;0.56;
