ID;Perioden;UitstaandDebiteurensaldo_1;UitstaandeContracten_2
0;1970 december;24;32
1;1971 december;29;77
2;1972 december;45;154
3;1973 december;60;196
4;1974 december;79;217
5;1975 december;103;256
6;1976 december;84;168
7;1977 december;119;187
8;1978 december;181;218
9;1979 december;196;249
10;1980 december;189;269
11;1981 december;197;311
12;1982 december;186;326
13;1983 december;407;655
14;1984 december;431;698
15;1985 december;455;740
16;1986 december;469;752
17;1987 december;499;767
18;1988 december;545;847
19;1989 december;603;925
20;1990 december;638;992
21;1991 december;757;1076
22;1992 december;1151;1182
23;1993 januari;1241;1171
24;1993 februari;1193;1158
25;1993 maart;1211;1194
26;1993 april;1241;1222
27;1993 mei;1163;1017
28;1993 juni;1169;1051
29;1993 juli;1200;1255
30;1993 augustus;1223;1198
31;1993 september;1252;1212
32;1993 oktober;1260;1207
33;1993 november;1266;1228
34;1993 december;1356;1601
35;1994 januari;1368;1486
36;1994 februari;1444;1583
37;1994 maart;1508;1628
38;1994 april;1549;1652
39;1994 mei;1514;1529
40;1994 juni;1581;1574
41;1994 juli;1644;1669
42;1994 augustus;1738;1861
43;1994 september;1883;1998
44;1994 oktober;1899;2001
45;1994 november;1937;2076
46;1994 december;2071;2123
47;1995 januari;2050;2138
48;1995 februari;2030;2121
49;1995 maart;2082;2432
50;1995 april;2087;2030
51;1995 mei;1910;1750
52;1995 juni;2035;1827
53;1995 juli;2062;1874
54;1995 augustus;2139;2030
55;1995 september;2211;2088
56;1995 oktober;2331;2155
57;1995 november;2381;2182
58;1995 december;2408;2136
59;1996 januari;2410;2142
60;1996 februari;2322;2110
61;1996 maart;2290;2089
62;1996 april;2435;2215
63;1996 mei;2229;1860
64;1996 juni;2265;1439
65;1996 juli;2376;1948
66;1996 augustus;2517;2154
67;1996 september;2590;2152
68;1996 oktober;2659;2266
69;1996 november;2712;2213
70;1996 december;2845;2347
71;1997 januari;2813;2294
72;1997 februari;2659;1947
73;1997 maart;2742;2153
74;1997 april;2869;2248
75;1997 mei;2671;1955
76;1997 juni;2824;1977
77;1997 juli;2926;2242
