ID;Geslacht;Leeftijd;Perioden;Sterftekans_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;Levensverwachting_4
0;Mannen;0;1861 tot 1866;0.15698;100000;15698;36.46
1;Mannen;0;1866 tot 1871;0.16077;100000;16077;36.5
2;Mannen;0;1871 tot 1876;0.17535;100000;17535;36.35
3;Mannen;0;1876 tot 1881;0.16261;100000;16261;39.84
4;Mannen;0;1881 tot 1886;0.14853;100000;14853;41.41
5;Mannen;0;1886 tot 1891;0.14453;100000;14453;42.52
6;Mannen;0;1891 tot 1896;0.13582;100000;13582;44.1
7;Mannen;0;1896 tot 1901;0.12711;100000;12711;47.49
8;Mannen;0;1901 tot 1906;0.11416;100000;11416;49.35
9;Mannen;0;1906 tot 1911;0.09746;100000;9746;52.64
10;Mannen;0;1911 tot 1916;0.08657;100000;8657;55.32
11;Mannen;0;1916 tot 1921;0.07355;100000;7355;53.35
12;Mannen;0;1921 tot 1926;0.05455;100000;5455;60.78
13;Mannen;0;1926 tot 1931;0.04456;100000;4456;62.48
14;Mannen;0;1931 tot 1936;0.03721;100000;3721;65.07
15;Mannen;0;1936 tot 1941;0.03213;100000;3213;65.87
16;Mannen;0;1941 tot 1946;0.04237;100000;4237;59.7
17;Mannen;0;1946 tot 1951;0.02819;100000;2819;68.69
18;Mannen;0;1951 tot 1956;0.02311;100000;2311;70.69
19;Mannen;0;1956 tot 1961;0.01833;100000;1833;71.29
20;Mannen;0;1961 tot 1966;0.01602;100000;1602;71.16
21;Mannen;0;1966 tot 1971;0.01374;100000;1374;70.97
22;Mannen;0;1971 tot 1976;0.01151;100000;1151;71.23
23;Mannen;0;1976 tot 1981;0.00932;100000;932;72.09
24;Mannen;0;1981 tot 1986;0.00793;100000;793;72.87
25;Mannen;0;1986 tot 1991;0.00698;100000;698;73.55
26;Mannen;0;1991 tot 1996;0.00592;100000;592;74.3
27;Mannen;0;1996 tot 2001;0.00511;100000;511;75.18
28;Mannen;0;2001 tot 2006;0.00482;100000;482;76.42
29;Mannen;0;2006 tot 2011;0.00393;100000;393;78.25
30;Mannen;1;1861 tot 1866;0.11644;84302;9816;42.7
31;Mannen;1;1866 tot 1871;0.11344;83923;9520;42.95
32;Mannen;1;1871 tot 1876;0.11705;82465;9653;43.52
33;Mannen;1;1876 tot 1881;0.11189;83739;9369;47.03
34;Mannen;1;1881 tot 1886;0.10564;85147;8995;48.08
35;Mannen;1;1886 tot 1891;0.10004;85547;8558;49.16
36;Mannen;1;1891 tot 1896;0.09411;86418;8133;50.49
37;Mannen;1;1896 tot 1901;0.08075;87289;7048;53.87
38;Mannen;1;1901 tot 1906;0.07599;88584;6732;55.17
39;Mannen;1;1906 tot 1911;0.06198;90254;5594;57.79
40;Mannen;1;1911 tot 1916;0.05163;91343;4716;60.04
41;Mannen;1;1916 tot 1921;0.05237;92645;4852;57.07
42;Mannen;1;1921 tot 1926;0.0337;94545;3186;63.77
43;Mannen;1;1926 tot 1931;0.0271;95544;2589;64.88
44;Mannen;1;1931 tot 1936;0.01774;96279;1708;67.07
45;Mannen;1;1936 tot 1941;0.01346;96787;1302;67.55
46;Mannen;1;1941 tot 1946;0.01837;95763;1759;61.83
47;Mannen;1;1946 tot 1951;0.00935;97181;909;70.17
48;Mannen;1;1951 tot 1956;0.00479;97689;468;71.86
49;Mannen;1;1956 tot 1961;0.00363;98167;356;72.11
50;Mannen;1;1961 tot 1966;0.00265;98398;260;71.81
51;Mannen;1;1966 tot 1971;0.00232;98626;229;71.45
52;Mannen;1;1971 tot 1976;0.00195;98849;193;71.55
53;Mannen;1;1976 tot 1981;0.00184;99068;182;72.26
54;Mannen;1;1981 tot 1986;0.00174;99207;172;72.96
55;Mannen;1;1986 tot 1991;0.00156;99302;155;73.56
56;Mannen;1;1991 tot 1996;0.00123;99408;122;74.24
57;Mannen;1;1996 tot 2001;0.00088;99489;87;75.06
58;Mannen;1;2001 tot 2006;0.00081;99518;80;76.29
59;Mannen;1;2006 tot 2011;0.00058;99607;58;78.06
60;Mannen;2;1861 tot 1866;0.05434;74486;4048;47.26
61;Mannen;2;1866 tot 1871;0.05075;74403;3776;47.38
62;Mannen;2;1871 tot 1876;0.04834;72812;3520;48.23
63;Mannen;2;1876 tot 1881;0.04078;74369;3033;51.9
64;Mannen;2;1881 tot 1886;0.03897;76152;2968;52.71
65;Mannen;2;1886 tot 1891;0.03648;76989;2808;53.57
66;Mannen;2;1891 tot 1896;0.03239;78286;2536;54.68
67;Mannen;2;1896 tot 1901;0.02425;80241;1946;57.55
68;Mannen;2;1901 tot 1906;0.02442;81853;1999;58.67
69;Mannen;2;1906 tot 1911;0.01948;84660;1649;60.58
70;Mannen;2;1911 tot 1916;0.0161;86626;1395;62.28
71;Mannen;2;1916 tot 1921;0.02111;87794;1853;59.2
72;Mannen;2;1921 tot 1926;0.01084;91359;990;64.98
73;Mannen;2;1926 tot 1931;0.00938;92955;872;65.67
74;Mannen;2;1931 tot 1936;0.00595;94571;563;67.27
75;Mannen;2;1936 tot 1941;0.00474;95485;452;67.46
76;Mannen;2;1941 tot 1946;0.00714;94004;671;61.98
77;Mannen;2;1946 tot 1951;0.00345;96272;332;69.83
78;Mannen;2;1951 tot 1956;0.002;97221;195;71.2
79;Mannen;2;1956 tot 1961;0.00174;97811;170;71.38
80;Mannen;2;1961 tot 1966;0.00129;98137;127;71.0
81;Mannen;2;1966 tot 1971;0.00112;98397;111;70.62
82;Mannen;2;1971 tot 1976;0.0011;98656;108;70.69
83;Mannen;2;1976 tot 1981;0.00077;98886;76;71.4
84;Mannen;2;1981 tot 1986;0.00068;99035;67;72.08
85;Mannen;2;1986 tot 1991;0.00062;99147;61;72.68
86;Mannen;2;1991 tot 1996;0.0005;99285;50;73.33
87;Mannen;2;1996 tot 2001;0.00042;99402;42;74.13
88;Mannen;2;2001 tot 2006;0.00034;99438;34;75.35
89;Mannen;2;2006 tot 2011;0.00024;99549;24;77.11
90;Mannen;3;1861 tot 1866;0.03185;70438;2243;48.95
91;Mannen;3;1866 tot 1871;0.02888;70627;2040;48.89
92;Mannen;3;1871 tot 1876;0.02764;69292;1915;49.65
93;Mannen;3;1876 tot 1881;0.02024;71336;1444;53.08
94;Mannen;3;1881 tot 1886;0.02061;73184;1508;53.82
95;Mannen;3;1886 tot 1891;0.01895;74180;1406;54.58
96;Mannen;3;1891 tot 1896;0.01584;75750;1200;55.49
97;Mannen;3;1896 tot 1901;0.01206;78295;944;57.97
98;Mannen;3;1901 tot 1906;0.01183;79854;945;59.13
99;Mannen;3;1906 tot 1911;0.00907;83011;753;60.77
100;Mannen;3;1911 tot 1916;0.00794;85232;677;62.29
101;Mannen;3;1916 tot 1921;0.01061;85940;912;59.46
102;Mannen;3;1921 tot 1926;0.00526;90369;475;64.68
103;Mannen;3;1926 tot 1931;0.00508;92083;467;65.29
104;Mannen;3;1931 tot 1936;0.00345;94009;325;66.67
105;Mannen;3;1936 tot 1941;0.00285;95033;271;66.78
106;Mannen;3;1941 tot 1946;0.00503;93333;469;61.42
107;Mannen;3;1946 tot 1951;0.00236;95940;227;69.07
108;Mannen;3;1951 tot 1956;0.00148;97026;144;70.35
109;Mannen;3;1956 tot 1961;0.00128;97641;125;70.5
110;Mannen;3;1961 tot 1966;0.00116;98011;114;70.09
111;Mannen;3;1966 tot 1971;0.00102;98286;100;69.7
112;Mannen;3;1971 tot 1976;0.00084;98548;83;69.77
113;Mannen;3;1976 tot 1981;0.00059;98810;58;70.45
114;Mannen;3;1981 tot 1986;0.00052;98968;52;71.13
115;Mannen;3;1986 tot 1991;0.00041;99086;40;71.72
116;Mannen;3;1991 tot 1996;0.00037;99236;37;72.36
117;Mannen;3;1996 tot 2001;0.00032;99360;32;73.16
118;Mannen;3;2001 tot 2006;0.00024;99404;24;74.37
119;Mannen;3;2006 tot 2011;0.0002;99525;20;76.12
120;Mannen;4;1861 tot 1866;0.02175;68195;1483;49.54
121;Mannen;4;1866 tot 1871;0.02022;68587;1387;49.32
122;Mannen;4;1871 tot 1876;0.01947;67377;1312;50.05
123;Mannen;4;1876 tot 1881;0.01342;69893;938;53.17
124;Mannen;4;1881 tot 1886;0.01501;71676;1076;53.94
125;Mannen;4;1886 tot 1891;0.01354;72775;986;54.62
126;Mannen;4;1891 tot 1896;0.01107;74550;825;55.38
127;Mannen;4;1896 tot 1901;0.00799;77351;618;57.67
128;Mannen;4;1901 tot 1906;0.00826;78910;652;58.83
