ID;Perioden;NederlandseVrouwen_1;InNederlandGeborenVrouwen_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;Indonesie_10;OverigWesterseLanden_11
0;1990;1.62;1.55;;;;4.87;1.74;1.86;3.15;1.66;
1;1991;1.61;1.55;;;;4.43;1.69;1.79;3.05;1.64;
2;1992;1.59;1.53;;;;4.29;1.7;1.65;2.85;1.58;
3;1993;1.57;1.51;;;;3.83;1.69;1.6;2.71;1.7;
4;1994;1.57;1.5;;;;3.66;1.71;1.56;2.71;1.65;
5;1995;1.53;1.47;2.54;2.06;1.53;3.35;1.67;1.46;2.45;1.6;1.48
6;1996;1.53;1.46;2.63;1.97;1.72;3.34;1.57;1.51;2.53;1.75;1.49
7;1997;1.56;1.48;2.86;2.08;1.74;3.35;1.64;1.6;2.63;1.64;1.49
8;1998;1.63;1.56;2.86;2.17;1.73;3.35;1.8;1.58;2.61;1.85;1.5
9;1999;1.65;1.59;2.85;2.11;1.67;3.29;1.84;1.71;2.5;1.72;1.5
10;2000;1.72;1.66;2.79;2.11;1.68;3.22;1.83;1.72;2.43;1.73;1.5
11;2001;1.73;1.68;2.77;2.1;1.69;3.14;1.83;1.73;2.4;1.73;1.5
12;2002;1.74;1.7;2.75;2.1;1.69;3.07;1.82;1.73;2.38;1.73;1.5
13;2003;1.75;1.71;2.73;2.1;1.69;2.98;1.82;1.73;2.36;1.74;1.5
14;2004;1.75;1.72;2.71;2.1;1.69;2.9;1.82;1.74;2.34;1.74;1.5
15;2005;1.75;1.72;2.69;2.1;1.7;2.85;1.81;1.74;2.32;1.74;1.5
16;2006;1.76;1.73;2.67;2.09;1.7;2.8;1.81;1.74;2.3;1.74;1.5
17;2007;1.76;1.73;2.65;2.09;1.7;2.76;1.81;1.74;2.28;1.74;1.5
18;2008;1.76;1.74;2.63;2.09;1.7;2.71;1.8;1.74;2.26;1.74;1.5
19;2009;1.75;1.74;2.61;2.09;1.71;2.67;1.8;1.75;2.25;1.74;1.5
20;2010;1.75;1.74;2.58;2.08;1.71;2.63;1.8;1.75;2.23;1.75;1.5
21;2011;1.75;1.74;2.56;2.08;1.71;2.59;1.8;1.75;2.21;1.75;1.5
22;2012;1.75;1.74;2.54;2.08;1.71;2.56;1.79;1.75;2.2;1.75;1.5
23;2013;1.75;1.74;2.52;2.08;1.71;2.52;1.79;1.75;2.18;1.75;1.5
24;2014;1.75;1.74;2.5;2.07;1.72;2.49;1.79;1.75;2.17;1.75;1.5
25;2015;1.75;1.74;2.47;2.07;1.72;2.45;1.79;1.75;2.16;1.75;1.5
26;2016;1.75;1.74;2.45;2.07;1.72;2.42;1.78;1.75;2.15;1.75;1.5
27;2017;1.75;1.74;2.43;2.06;1.72;2.39;1.78;1.75;2.13;1.75;1.5
28;2018;1.75;1.75;2.41;2.06;1.72;2.36;1.78;1.76;2.12;1.75;1.5
29;2019;1.75;1.75;2.39;2.06;1.73;2.33;1.78;1.76;2.11;1.75;1.5
30;2020;1.75;1.75;2.37;2.06;1.73;2.31;1.77;1.76;2.1;1.75;1.5
31;2021;1.75;1.75;2.34;2.05;1.73;2.28;1.77;1.76;2.09;1.75;1.5
