ID;Broedvogels;Perioden;Broedvogelindex_1
0;Soortgroeptrend broedvogels;1990;100.0
1;Soortgroeptrend broedvogels;1991;101.0
2;Soortgroeptrend broedvogels;1992;103.0
3;Soortgroeptrend broedvogels;1993;104.0
4;Soortgroeptrend broedvogels;1994;105.0
5;Soortgroeptrend broedvogels;1995;106.0
6;Soortgroeptrend broedvogels;1996;107.0
7;Soortgroeptrend broedvogels;1997;108.0
8;Soortgroeptrend broedvogels;1998;109.0
9;Soortgroeptrend broedvogels;1999;110.0
10;Soortgroeptrend broedvogels;2000;111.0
11;Soortgroeptrend broedvogels;2001;112.0
12;Soortgroeptrend broedvogels;2002;112.0
13;Soortgroeptrend broedvogels;2003;112.0
14;Soortgroeptrend broedvogels;2004;112.0
15;Soortgroeptrend broedvogels;2005;111.0
16;Soortgroeptrend broedvogels;2006;111.0
17;Soortgroeptrend broedvogels;2007;111.0
18;Soortgroeptrend broedvogels;2008;111.0
19;Soortgroeptrend broedvogels;2009;111.0
20;Soortgroeptrend broedvogels;2010;111.0
21;Soortgroeptrend broedvogels;2011;111.0
22;Soortgroeptrend broedvogels;2012;111.0
23;Soortgroeptrend broedvogels;2013;112.0
24;Soortgroeptrend broedvogels;2014;113.0
25;Soortgroeptrend broedvogels;2015;114.0
26;Soortgroeptrend broedvogels;2016;115.0
27;Soortgroeptrend broedvogels;2017;117.0
28;Soortgroeptrend broedvogels;2018;118.0
29;Soortgroeptrend broedvogels;2019;120.0
30;Soortgroeptrend broedvogels;2020;121.0
31;Soortgroeptrend broedvogels;2021;123.0
32;Soortgroeptrend broedvogels;2022;126.0
33;Soortgroeptrend broedvogels;2023;128.0
34;Aalscholver;1990;100.0
35;Aalscholver;1991;104.0
36;Aalscholver;1992;113.0
37;Aalscholver;1993;110.0
38;Aalscholver;1994;80.0
39;Aalscholver;1995;90.0
40;Aalscholver;1996;100.0
41;Aalscholver;1997;94.0
42;Aalscholver;1998;107.0
43;Aalscholver;1999;100.0
44;Aalscholver;2000;107.0
45;Aalscholver;2001;108.0
46;Aalscholver;2002;123.0
47;Aalscholver;2003;123.0
48;Aalscholver;2004;109.0
49;Aalscholver;2005;119.0
50;Aalscholver;2006;127.0
51;Aalscholver;2007;114.0
52;Aalscholver;2008;115.0
53;Aalscholver;2009;126.0
54;Aalscholver;2010;133.0
55;Aalscholver;2011;112.0
56;Aalscholver;2012;129.0
57;Aalscholver;2013;109.0
58;Aalscholver;2014;115.0
59;Aalscholver;2015;102.0
60;Aalscholver;2016;118.0
61;Aalscholver;2017;118.0
62;Aalscholver;2018;112.0
63;Aalscholver;2019;109.0
64;Aalscholver;2020;88.0
65;Aalscholver;2021;90.0
66;Aalscholver;2022;80.0
67;Aalscholver;2023;99.0
68;Appelvink;1990;100.0
69;Appelvink;1991;100.0
70;Appelvink;1992;107.0
71;Appelvink;1993;97.0
72;Appelvink;1994;101.0
73;Appelvink;1995;125.0
74;Appelvink;1996;134.0
75;Appelvink;1997;147.0
76;Appelvink;1998;100.0
77;Appelvink;1999;84.0
78;Appelvink;2000;89.0
79;Appelvink;2001;84.0
80;Appelvink;2002;81.0
81;Appelvink;2003;89.0
82;Appelvink;2004;77.0
83;Appelvink;2005;88.0
84;Appelvink;2006;87.0
85;Appelvink;2007;107.0
86;Appelvink;2008;108.0
87;Appelvink;2009;102.0
88;Appelvink;2010;103.0
89;Appelvink;2011;122.0
90;Appelvink;2012;138.0
91;Appelvink;2013;147.0
92;Appelvink;2014;143.0
93;Appelvink;2015;158.0
94;Appelvink;2016;175.0
95;Appelvink;2017;190.0
96;Appelvink;2018;214.0
97;Appelvink;2019;199.0
98;Appelvink;2020;228.0
99;Appelvink;2021;236.0
100;Appelvink;2022;240.0
101;Appelvink;2023;235.0
102;Baardman;1990;100.0
103;Baardman;1991;111.0
104;Baardman;1992;189.0
105;Baardman;1993;200.0
106;Baardman;1994;159.0
107;Baardman;1995;170.0
108;Baardman;1996;100.0
109;Baardman;1997;115.0
110;Baardman;1998;98.0
111;Baardman;1999;81.0
112;Baardman;2000;127.0
113;Baardman;2001;96.0
114;Baardman;2002;107.0
115;Baardman;2003;101.0
116;Baardman;2004;111.0
117;Baardman;2005;77.0
118;Baardman;2006;96.0
119;Baardman;2007;114.0
120;Baardman;2008;107.0
121;Baardman;2009;108.0
122;Baardman;2010;106.0
123;Baardman;2011;69.0
124;Baardman;2012;67.0
125;Baardman;2013;90.0
126;Baardman;2014;118.0
127;Baardman;2015;111.0
128;Baardman;2016;89.0
129;Baardman;2017;127.0
130;Baardman;2018;93.0
131;Baardman;2019;113.0
132;Baardman;2020;129.0
133;Baardman;2021;91.0
134;Baardman;2022;87.0
135;Baardman;2023;126.0
136;Bergeend;1990;100.0
137;Bergeend;1991;101.0
138;Bergeend;1992;97.0
139;Bergeend;1993;83.0
140;Bergeend;1994;93.0
141;Bergeend;1995;103.0
142;Bergeend;1996;90.0
143;Bergeend;1997;106.0
144;Bergeend;1998;110.0
145;Bergeend;1999;95.0
146;Bergeend;2000;99.0
147;Bergeend;2001;101.0
148;Bergeend;2002;103.0
149;Bergeend;2003;100.0
150;Bergeend;2004;93.0
151;Bergeend;2005;96.0
152;Bergeend;2006;94.0
153;Bergeend;2007;86.0
154;Bergeend;2008;88.0
155;Bergeend;2009;87.0
156;Bergeend;2010;91.0
157;Bergeend;2011;91.0
158;Bergeend;2012;97.0
159;Bergeend;2013;102.0
160;Bergeend;2014;101.0
161;Bergeend;2015;98.0
162;Bergeend;2016;101.0
163;Bergeend;2017;101.0
164;Bergeend;2018;89.0
165;Bergeend;2019;99.0
166;Bergeend;2020;92.0
167;Bergeend;2021;105.0
168;Bergeend;2022;93.0
169;Bergeend;2023;106.0
170;Blauwborst;1990;100.0
171;Blauwborst;1991;117.0
172;Blauwborst;1992;144.0
173;Blauwborst;1993;171.0
174;Blauwborst;1994;177.0
175;Blauwborst;1995;222.0
176;Blauwborst;1996;204.0
177;Blauwborst;1997;250.0
178;Blauwborst;1998;275.0
179;Blauwborst;1999;267.0
180;Blauwborst;2000;248.0
181;Blauwborst;2001;255.0
182;Blauwborst;2002;262.0
183;Blauwborst;2003;288.0
184;Blauwborst;2004;354.0
185;Blauwborst;2005;294.0
186;Blauwborst;2006;282.0
187;Blauwborst;2007;290.0
188;Blauwborst;2008;271.0
189;Blauwborst;2009;288.0
190;Blauwborst;2010;324.0
191;Blauwborst;2011;374.0
192;Blauwborst;2012;352.0
193;Blauwborst;2013;345.0
194;Blauwborst;2014;346.0
195;Blauwborst;2015;340.0
196;Blauwborst;2016;385.0
197;Blauwborst;2017;343.0
198;Blauwborst;2018;353.0
199;Blauwborst;2019;377.0
200;Blauwborst;2020;463.0
201;Blauwborst;2021;435.0
202;Blauwborst;2022;412.0
203;Blauwborst;2023;412.0
204;Blauwe Kiekendief;1990;100.0
205;Blauwe Kiekendief;1991;88.0
206;Blauwe Kiekendief;1992;84.0
207;Blauwe Kiekendief;1993;77.0
208;Blauwe Kiekendief;1994;64.0
209;Blauwe Kiekendief;1995;49.0
210;Blauwe Kiekendief;1996;43.0
211;Blauwe Kiekendief;1997;46.0
212;Blauwe Kiekendief;1998;41.0
213;Blauwe Kiekendief;1999;37.0
214;Blauwe Kiekendief;2000;41.0
215;Blauwe Kiekendief;2001;43.0
216;Blauwe Kiekendief;2002;33.0
217;Blauwe Kiekendief;2003;29.0
218;Blauwe Kiekendief;2004;26.0
