ID;Persoonskenmerken;Perioden;TotaalWerkzameBeroepsbevolking_1;JaTotaal_2;JaRegelmatig_3;JaSoms_4;Nee_5;JaTotaal_6;JaRegelmatig_7;JaSoms_8;Nee_9;JaTotaal_10;JaRegelmatig_11;JaSoms_12;Nee_13;JaTotaal_14;JaRegelmatig_15;JaSoms_16;Nee_17;JaTotaal_18;JaRegelmatig_19;JaSoms_20;Nee_21;JaTotaal_22;JaRegelmatig_23;JaSoms_24;Nee_25;JaTotaal_26;JaRegelmatig_27;JaSoms_28;Nee_29;TotaalWerkzameBeroepsbevolking100_30;JaTotaal_31;JaRegelmatig_32;JaSoms_33;Nee_34;JaTotaal_35;JaRegelmatig_36;JaSoms_37;Nee_38;JaTotaal_39;JaRegelmatig_40;JaSoms_41;Nee_42;JaTotaal_43;JaRegelmatig_44;JaSoms_45;Nee_46;JaTotaal_47;JaRegelmatig_48;JaSoms_49;Nee_50;JaTotaal_51;JaRegelmatig_52;JaSoms_53;Nee_54;JaTotaal_55;JaRegelmatig_56;JaSoms_57;Nee_58
133;40 tot 45 jaar;2000;935.0;314.0;200.0;115.0;601.0;601.0;325.0;276.0;327.0;103.0;74.0;30.0;812.0;108.0;68.0;40.0;803.0;167.0;118.0;49.0;748.0;198.0;88.0;110.0;715.0;574.0;408.0;166.0;341.0;935.0;34.0;22.0;13.0;65.0;65.0;35.0;30.0;36.0;11.0;8.0;3.0;89.0;12.0;7.0;4.0;88.0;18.0;13.0;5.0;82.0;22.0;10.0;12.0;78.0;63.0;45.0;18.0;37.0
134;40 tot 45 jaar;2001 voor revisie;970.0;336.0;208.0;128.0;643.0;599.0;315.0;285.0;363.0;120.0;81.0;39.0;863.0;127.0;83.0;45.0;850.0;188.0;137.0;51.0;795.0;223.0;85.0;138.0;758.0;640.0;477.0;162.0;343.0;970.0;34.0;21.0;13.0;65.0;61.0;32.0;29.0;37.0;12.0;8.0;4.0;88.0;13.0;8.0;5.0;86.0;19.0;14.0;5.0;81.0;23.0;9.0;14.0;77.0;65.0;49.0;17.0;35.0
135;40 tot 45 jaar;2001 na revisie;969.0;336.0;208.0;128.0;643.0;594.0;314.0;280.0;367.0;120.0;81.0;39.0;863.0;127.0;83.0;45.0;850.0;188.0;137.0;51.0;795.0;223.0;85.0;138.0;758.0;640.0;477.0;162.0;343.0;969.0;34.0;21.0;13.0;65.0;60.0;32.0;28.0;37.0;12.0;8.0;4.0;88.0;13.0;8.0;5.0;86.0;19.0;14.0;5.0;81.0;23.0;9.0;14.0;77.0;65.0;49.0;17.0;35.0
136;40 tot 45 jaar;2002;983.0;357.0;215.0;142.0;621.0;611.0;302.0;308.0;364.0;125.0;86.0;39.0;853.0;138.0;89.0;49.0;837.0;206.0;145.0;61.0;773.0;227.0;94.0;133.0;748.0;640.0;468.0;172.0;339.0;983.0;36.0;22.0;15.0;63.0;62.0;31.0;31.0;37.0;13.0;9.0;4.0;87.0;14.0;9.0;5.0;85.0;21.0;15.0;6.0;79.0;23.0;10.0;14.0;76.0;65.0;48.0;18.0;35.0
137;40 tot 45 jaar;2003;987.0;317.0;195.0;122.0;637.0;596.0;296.0;299.0;384.0;;;;;;;;;;;;;207.0;90.0;116.0;746.0;655.0;496.0;159.0;300.0;987.0;33.0;20.0;13.0;67.0;62.0;31.0;31.0;40.0;;;;;;;;;;;;;22.0;9.0;12.0;78.0;69.0;52.0;17.0;31.0
138;40 tot 45 jaar;2004;998.0;370.0;234.0;136.0;597.0;625.0;289.0;336.0;365.0;;;;;;;;;;;;;225.0;99.0;126.0;738.0;641.0;472.0;169.0;325.0;998.0;38.0;24.0;14.0;62.0;65.0;30.0;35.0;38.0;;;;;;;;;;;;;23.0;10.0;13.0;76.0;66.0;49.0;18.0;34.0
139;40 tot 45 jaar;2005;1004.0;382.0;258.0;124.0;614.0;;;;;;;;;;;;;;;;;214.0;99.0;115.0;778.0;;;;;1004.0;38.0;26.0;12.0;61.0;;;;;;;;;;;;;;;;;21.0;10.0;12.0;78.0;;;;
140;45 tot 50 jaar;1997;806.0;269.0;177.0;92.0;531.0;521.0;281.0;240.0;276.0;94.0;67.0;27.0;706.0;105.0;61.0;44.0;691.0;159.0;109.0;49.0;642.0;168.0;72.0;96.0;629.0;454.0;330.0;124.0;345.0;806.0;33.0;22.0;11.0;66.0;65.0;35.0;30.0;34.0;12.0;8.0;3.0;88.0;13.0;8.0;6.0;86.0;20.0;14.0;6.0;80.0;21.0;9.0;12.0;78.0;56.0;41.0;15.0;43.0
141;45 tot 50 jaar;1998;800.0;254.0;158.0;96.0;540.0;527.0;293.0;234.0;264.0;93.0;67.0;26.0;701.0;95.0;55.0;40.0;694.0;149.0;105.0;44.0;645.0;165.0;66.0;99.0;627.0;476.0;346.0;130.0;318.0;800.0;32.0;20.0;12.0;68.0;66.0;37.0;29.0;33.0;12.0;8.0;3.0;88.0;12.0;7.0;5.0;87.0;19.0;13.0;5.0;81.0;21.0;8.0;12.0;78.0;60.0;43.0;16.0;40.0
142;45 tot 50 jaar;1999;816.0;266.0;168.0;99.0;568.0;527.0;290.0;237.0;283.0;86.0;66.0;20.0;749.0;96.0;61.0;36.0;736.0;149.0;109.0;40.0;686.0;166.0;66.0;100.0;668.0;514.0;377.0;136.0;321.0;816.0;32.0;20.0;12.0;68.0;63.0;35.0;28.0;34.0;10.0;8.0;2.0;89.0;12.0;7.0;4.0;88.0;18.0;13.0;5.0;82.0;20.0;8.0;12.0;80.0;61.0;45.0;16.0;38.0
