ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
0;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Nederland;          ;3537840.0
1;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aa en Hunze;          ;4010.0
2;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 00 Annen;          ;430.0
3;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Annen;          ;420.0
4;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Annen;          ;
5;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 01 Eext;          ;160.0
6;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Eext;          ;140.0
7;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Eext;          ;
8;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 02 Anloo;          ;50.0
9;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Anloo;          ;40.0
10;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Anloo;          ;
11;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 03 Gasteren;          ;
12;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gasteren;          ;
13;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Gasteren;          ;
14;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 04 Anderen;          ;20.0
15;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Anderen;          ;
16;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Anderen;          ;
17;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 05 Schipborg;          ;40.0
18;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Schipborg;          ;40.0
19;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Schipborg;          ;
20;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 06 Eexterveen;          ;40.0
21;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Eexterveen;          ;
22;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Eexterveen;          ;
23;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 07 Spijkerboor;          ;
24;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Spijkerboor;          ;
25;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Spijkerboor;          ;
26;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 08 Nieuw-Annerveen;          ;
27;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Nieuw-Annerveen;          ;
28;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Nieuw-Annerveen;          ;
29;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 09 Oud-Annerveen;          ;
30;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Oud-Annerveen;          ;
31;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Oud-Annerveen;          ;
32;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 11 Annerveenschekanaal;          ;50.0
33;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Annerveenschekanaal;          ;
34;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Annerveenschekanaal;          ;
35;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 12 Eexterveenschekanaal;          ;
36;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Eexterveenschekanaal;          ;
37;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Eexterveenschekanaal;          ;
38;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 13 Eexterzandvoort;          ;
39;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Eexterzandvoort;          ;
40;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Eexterzandvoort;          ;
41;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 14 Gasselte;          ;250.0
42;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gasselte;          ;190.0
43;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Kostvlies;          ;10.0
44;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Gasselte;          ;20.0
45;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 15 Gasselternijveen;          ;370.0
46;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gasselternijveen;          ;370.0
47;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gasselterboerveen;          ;
48;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Gasselternijveen;          ;
49;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 16 Gasselternijveenschemond;          ;80.0
50;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gasselternijveenschemond;          ;90.0
51;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gasselterboerveenschemond;          ;
52;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspr.h. Gasselternijveenschemond;          ;
53;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 17 Gieten;          ;620.0
54;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gieten;          ;620.0
55;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Gieten;          ;
56;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 18 Gieterveen;          ;220.0
57;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gieterveen;          ;120.0
58;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Bonnerveen;          ;
59;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Nieuwediep;          ;
60;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Gieterveen;          ;10.0
61;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 19 Rolde;          ;710.0
62;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Rolde;          ;520.0
63;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Ballo;          ;
64;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Nijlande;          ;
65;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Deurze;          ;
66;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Nooitgedacht;          ;90.0
67;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Rolde;          ;
68;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 20 Grolloo;          ;180.0
69;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Grolloo;          ;80.0
70;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Schoonloo;          ;
71;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Papenvoort;          ;
72;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Grolloo;          ;
73;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 21 Ekehaar;          ;40.0
74;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Ekehaar;          ;
75;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Amen;          ;
76;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Ekehaar;          ;
77;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalsmeer;          ;6250.0
78;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 00 Aalsmeer;          ;2570.0
79;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Centrum;          ;480.0
80;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Stommeer;          ;1330.0
81;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Hornmeer;          ;440.0
82;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Uiterweg;          ;90.0
83;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 01 Kudelstraat en Kalslagen;          ;1570.0
84;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Kudelstaart;          ;1570.0
85;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 02 Oosteinde;          ;1890.0
86;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Bovenlanden;          ;140.0
87;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Greenpark;          ;100.0
88;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Oosteinde;          ;1380.0
89;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Schinkelpolder;          ;40.0
90;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten;          ;5290.0
91;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 01 Buitengebied Aalten;          ;650.0
92;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Barlo-Kern;          ;
93;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Barlo;          ;80.0
94;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Heurne;          ;50.0
95;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen IJzerlo;          ;40.0
96;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;IJzerlo-kern;          ;
97;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Lintelo-kern;          ;
98;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen ten westen van Aalten;          ;40.0
99;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Lintelo;          ;80.0
100;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Dalese Veld;          ;10.0
101;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Dale;          ;80.0
102;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Haart;          ;70.0
103;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Haart-kern;          ;
104;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 02 Bredevoort;          ;270.0
105;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Bredevoort;          ;
106;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Hollenberg;          ;20.0
107;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Het Zwanenbroek;          ;
108;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Bredevoort;          ;190.0
109;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 03 Aalten Kern;          ;2460.0
110;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten-kern West;          ;370.0
111;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten-kern Zuid 1;          ;500.0
112;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten-kern Zuid 2;          ;240.0
113;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten-kern Noord/Noordoost;          ;440.0
114;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten Kern 't Kobus;          ;110.0
115;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten-kern Oost;          ;150.0
116;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Aalten-kern Centrum;          ;420.0
117;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 04 Dinxperlo;          ;1670.0
118;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Dinxperlo Centrum/Oost;          ;630.0
119;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Dinxperlo Noord;          ;320.0
120;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Dinxperlo West;          ;460.0
121;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;De Heurne-kern;          ;40.0
122;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Dinxperlo;          ;20.0
123;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen De Heurne;          ;70.0
124;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Achtkarspelen;          ;6610.0
125;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 00 Noord;          ;2680.0
126;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Buitenpost;          ;890.0
127;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Twijzel;          ;270.0
128;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Kootstertille;          ;500.0
129;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Twijzelerheide;          ;420.0
130;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Gerkesklooster;          ;130.0
131;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Buitenpost;          ;130.0
132;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Twijzel;          ;
133;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Kootstertille;          ;60.0
134;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Twijzelerheide;          ;40.0
135;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Gerkesklooster;          ;
136;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Wijk 01 Centrum;          ;760.0
137;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Stroobos;          ;
138;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Drogeham;          ;310.0
139;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Augustinusga;          ;250.0
140;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Stroobos;          ;
141;1 Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;Verspreide huizen Drogeham;          ;
