ID;EconomischeActiviteit;TotaalWerknemers_1;k_1099Werknemers_2;k_100499Werknemers_3;k_500OfMeerWerknemers_4;TotaalWerknemers_5;k_1099Werknemers_6;k_100499Werknemers_7;k_500OfMeerWerknemers_8;TotaalWerknemers_9;k_1099Werknemers_10;k_100499Werknemers_11;k_500OfMeerWerknemers_12;TotaalWerknemers_13;k_1099Werknemers_14;k_100499Werknemers_15;k_500OfMeerWerknemers_16;TotaalWerknemers_17;k_1099Werknemers_18;k_100499Werknemers_19;k_500OfMeerWerknemers_20;TotaleStructuur_21;DirectLoon_22;BijzondereBeloningen_23;BijdragenSpaarregelingen_24;LoonVoorNietGewerkteTijd_25;LoonInNatura_26;PremieWao_27;PremieZfw_28;PremieWw_29;Overhevelingstoeslag_30;Pensioenpremies_31;OverigePremies_32;LoonBijZiekte_33;Ontslagvergoedingen_34;TegemoetkomingZiektekosten_35;Opleidingskosten_36;OverigeUitgaven_37;Subsidies_38;PotentieleArbeidsduur_39;VerlofurenEnUrenVanFeestdagen_40;ZiekteUrenEnKortVerzuim_41;GewerkteUrenExclOverwerkuren_42;GewerkteUren_43
0;0;120.5;43.3;27.7;49.5;37.9;35.1;40.0;39.4;22.99;20.6;24.29;24.75;18.69;17.14;19.58;19.74;1647;1702.0;1647.0;1593.0;100;58.4;9.1;0.3;8.9;1.3;5.1;2.6;1.9;1.4;4.4;0.3;3.5;0.5;0.8;1.7;0.8;0.8;100;12.3;7.3;80.4;82.7
1;1;0.5;;;;64.1;;;;37.79;;;;31.08;;;;1695;;;;100;57.9;12.2;0.2;9.1;0.8;4.2;0.9;1.7;1.2;3.1;0.1;2.6;0.5;2.8;2.3;0.9;0.5;100;12.6;5.5;81.9;83.7
2;2;31.7;9.8;10.3;11.6;38.9;34.6;41.2;41.3;24.11;20.72;25.42;26.58;19.35;17.02;20.32;20.88;1615;1671.0;1620.0;1555.0;100;58.4;9.0;0.3;9.0;0.7;5.2;2.7;1.7;1.4;4.6;0.3;4.0;0.5;0.7;1.3;0.9;0.6;100;12.5;7.8;79.8;82.2
3;3;1.8;;;;53.6;;;;33.59;;;;26.62;;;;1595;;;;100;55.3;7.7;0.7;9.5;0.8;4.8;0.0;1.4;1.3;6.9;0.1;3.7;2.8;3.4;1.3;0.8;0.5;100;13.7;7.6;78.7;81.3
4;4;11.7;6.8;2.8;2.2;37.9;35.5;39.9;44.1;23.18;21.86;24.38;26.57;19.18;18.31;19.78;21.61;1634;1626.0;1638.0;1658.0;100;59.0;6.5;0.1;9.5;1.7;5.2;2.9;2.3;1.4;4.3;0.8;3.1;0.1;0.5;2.6;0.5;0.4;100;12.5;6.2;81.2;82.4
5;5;20.8;10.9;4.8;5.1;32.3;32.8;37.7;27.7;19.48;19.45;22.8;17.2;15.99;16.21;18.5;13.84;1658;1685.0;1652.0;1613.0;100;59.7;9.7;0.2;8.9;1.6;5.3;2.9;1.5;1.4;4.3;0.2;3.0;0.3;0.6;1.0;0.7;1.4;100;12.2;6.2;81.7;83.6
6;6;2.1;1.1;0.5;0.6;24.0;21.1;27.2;28.8;14.22;12.18;16.71;17.77;11.67;10.27;13.45;13.82;1688;1736.0;1625.0;1618.0;100;63.7;6.1;0.0;9.0;0.5;6.0;4.1;2.0;1.5;2.9;0.6;3.6;0.1;0.1;0.7;0.4;1.7;100;11.6;6.5;81.8;83.0
7;7;13.7;3.9;2.2;7.6;39.2;35.5;39.5;41.4;22.11;17.95;21.91;25.23;18.07;15.28;17.84;20.06;1773;1979.0;1802.0;1640.0;100;59.3;8.3;0.2;8.4;0.7;5.3;2.7;1.8;1.4;4.7;0.2;3.6;0.8;0.7;1.6;0.8;0.5;100;12.2;7.4;80.4;87.3
8;8;10.5;1.3;1.2;8.0;52.2;47.3;53.6;52.9;32.79;28.11;33.4;33.62;26.43;23.22;26.8;26.98;1592;1684.0;1604.0;1573.0;100;51.8;14.6;0.5;8.2;2.6;4.1;1.6;1.1;1.3;4.8;0.1;3.7;0.9;1.3;2.7;0.9;0.1;100;12.5;7.0;80.4;81.1
9;9;27.6;9.2;5.6;12.8;37.6;39.7;38.8;35.8;23.06;23.49;23.53;22.57;18.71;19.43;19.04;18.09;1631;1689.0;1650.0;1586.0;100;58.9;8.5;0.3;9.0;1.6;5.1;2.4;2.5;1.4;4.1;0.2;3.3;0.5;0.8;1.9;0.7;1.2;100;12.2;8.2;79.6;80.7
