ID;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;KappersactiviteitenHerensalon_3;KappersactiviteitenDamessalon_4;ManicureEnPedicure_5;Schoonheidsverzorging_6;OverigeDienstverleningNietElders_7;TotaalNettoOmzetUitOverigeActiv_8;Handel_9;OverigeDienstverleningNietElders_10
0;2002;18500;1182.0;336.0;655.0;32.0;112.0;47.0;58.0;56.0;2.0
1;2003;19090;;;;;;;;;
2;2004;20585;1146.0;384.0;607.0;18.0;118.0;19.0;44.0;42.0;2.0
3;2005;20975;1158.0;369.0;630.0;18.0;120.0;22.0;38.0;34.0;4.0
