ID;Bedrijfstakken;Landen;Perioden;AangevraagdeOctrooienBijHetEPO_1
0;Industrie, totaal;Australië;1990;43.94
1;Industrie, totaal;Australië;1991;47.03
2;Industrie, totaal;Australië;1992;46.21
3;Industrie, totaal;Australië;1993;49.75
4;Industrie, totaal;Australië;1994;52.04
5;Industrie, totaal;Australië;1995;56.05
6;Industrie, totaal;Australië;1996;50.28
7;Industrie, totaal;Australië;1997;67.55
8;Industrie, totaal;Australië;1998;72.41
9;Industrie, totaal;Australië;1999;98.73
10;Industrie, totaal;Australië;2000;0.85
11;Industrie, totaal;Australië;2001;94.99
12;Industrie, totaal;Australië;2002;97.4
13;Industrie, totaal;Australië;2003;98.05
14;Industrie, totaal;Australië;2004;
15;Industrie, totaal;België;1990;32.43
16;Industrie, totaal;België;1991;46.74
17;Industrie, totaal;België;1992;69.48
18;Industrie, totaal;België;1993;95.76
19;Industrie, totaal;België;1994;87.36
20;Industrie, totaal;België;1995;93.7
21;Industrie, totaal;België;1996;5.19
22;Industrie, totaal;België;1997;73.74
23;Industrie, totaal;België;1998;68.93
24;Industrie, totaal;België;1999;0.04
25;Industrie, totaal;België;2000;89.02
26;Industrie, totaal;België;2001;71.62
27;Industrie, totaal;België;2002;81.85
28;Industrie, totaal;België;2003;85.74
29;Industrie, totaal;België;2004;29.65
30;Industrie, totaal;Canada;1990;38.41
31;Industrie, totaal;Canada;1991;38.34
32;Industrie, totaal;Canada;1992;42.18
33;Industrie, totaal;Canada;1993;46.33
34;Industrie, totaal;Canada;1994;49.84
35;Industrie, totaal;Canada;1995;57.18
36;Industrie, totaal;Canada;1996;61.67
37;Industrie, totaal;Canada;1997;82.16
38;Industrie, totaal;Canada;1998;91.85
39;Industrie, totaal;Canada;1999;0.91
40;Industrie, totaal;Canada;2000;1.66
41;Industrie, totaal;Canada;2001;1.26
42;Industrie, totaal;Canada;2002;2.42
43;Industrie, totaal;Canada;2003;3.07
44;Industrie, totaal;Canada;2004;72.1
45;Industrie, totaal;Denemarken;1990;15.93
46;Industrie, totaal;Denemarken;1991;22.36
47;Industrie, totaal;Denemarken;1992;39.09
48;Industrie, totaal;Denemarken;1993;51.84
49;Industrie, totaal;Denemarken;1994;74.6
50;Industrie, totaal;Denemarken;1995;78.4
51;Industrie, totaal;Denemarken;1996;18.12
52;Industrie, totaal;Denemarken;1997;16.01
53;Industrie, totaal;Denemarken;1998;73.69
54;Industrie, totaal;Denemarken;1999;90.74
55;Industrie, totaal;Denemarken;2000;25.44
