ID;Geslacht;Regiokenmerken;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
55;Totaal mannen en vrouwen;Oost-Nederland (LD);2012/'13;302210.0;6250.0;295960.0;2.0
56;Totaal mannen en vrouwen;Oost-Nederland (LD);2013/'14;305460.0;5660.0;299800.0;2.0
57;Totaal mannen en vrouwen;Oost-Nederland (LD);2014/'15;308470.0;5580.0;302890.0;2.0
58;Totaal mannen en vrouwen;Oost-Nederland (LD);2015/'16;312060.0;5330.0;306730.0;2.0
59;Totaal mannen en vrouwen;Oost-Nederland (LD);2016/'17;314760.0;5650.0;309100.0;2.0
60;Totaal mannen en vrouwen;Oost-Nederland (LD);2017/'18;314120.0;6310.0;307810.0;2.0
61;Totaal mannen en vrouwen;Oost-Nederland (LD);2018/'19;310750.0;6470.0;304280.0;2.0
62;Totaal mannen en vrouwen;Oost-Nederland (LD);2019/'20;306930.0;5600.0;301330.0;2.0
63;Totaal mannen en vrouwen;Oost-Nederland (LD);2020/'21;301930.0;6080.0;295850.0;2.0
64;Totaal mannen en vrouwen;Oost-Nederland (LD);2021/'22;297900.0;7530.0;290370.0;3.0
65;Totaal mannen en vrouwen;Oost-Nederland (LD);2022/'23;293250.0;7640.0;285610.0;3.0
66;Totaal mannen en vrouwen;West-Nederland (LD);2012/'13;600170.0;16280.0;583890.0;3.0
67;Totaal mannen en vrouwen;West-Nederland (LD);2013/'14;604850.0;15480.0;589370.0;3.0
68;Totaal mannen en vrouwen;West-Nederland (LD);2014/'15;610850.0;14540.0;596320.0;2.0
69;Totaal mannen en vrouwen;West-Nederland (LD);2015/'16;615820.0;14260.0;601560.0;2.0
70;Totaal mannen en vrouwen;West-Nederland (LD);2016/'17;620430.0;14570.0;605860.0;2.0
71;Totaal mannen en vrouwen;West-Nederland (LD);2017/'18;620460.0;15280.0;605190.0;2.0
72;Totaal mannen en vrouwen;West-Nederland (LD);2018/'19;617700.0;16120.0;601580.0;3.0
73;Totaal mannen en vrouwen;West-Nederland (LD);2019/'20;612550.0;13100.0;599450.0;2.0
74;Totaal mannen en vrouwen;West-Nederland (LD);2020/'21;607630.0;14230.0;593400.0;2.0
75;Totaal mannen en vrouwen;West-Nederland (LD);2021/'22;604980.0;17730.0;587250.0;3.0
76;Totaal mannen en vrouwen;West-Nederland (LD);2022/'23;601670.0;17230.0;584440.0;3.0
77;Totaal mannen en vrouwen;Zuid-Nederland (LD);2012/'13;276690.0;6090.0;270600.0;2.0
78;Totaal mannen en vrouwen;Zuid-Nederland (LD);2013/'14;277650.0;5740.0;271910.0;2.0
79;Totaal mannen en vrouwen;Zuid-Nederland (LD);2014/'15;277960.0;5740.0;272220.0;2.0
80;Totaal mannen en vrouwen;Zuid-Nederland (LD);2015/'16;277180.0;5540.0;271640.0;2.0
81;Totaal mannen en vrouwen;Zuid-Nederland (LD);2016/'17;276340.0;5680.0;270660.0;2.0
82;Totaal mannen en vrouwen;Zuid-Nederland (LD);2017/'18;272820.0;6000.0;266820.0;2.0
83;Totaal mannen en vrouwen;Zuid-Nederland (LD);2018/'19;268210.0;5980.0;262230.0;2.0
84;Totaal mannen en vrouwen;Zuid-Nederland (LD);2019/'20;263170.0;5190.0;257990.0;2.0
85;Totaal mannen en vrouwen;Zuid-Nederland (LD);2020/'21;258100.0;5580.0;252520.0;2.0
86;Totaal mannen en vrouwen;Zuid-Nederland (LD);2021/'22;254360.0;6960.0;247390.0;3.0
87;Totaal mannen en vrouwen;Zuid-Nederland (LD);2022/'23;250800.0;6860.0;243940.0;3.0
88;Totaal mannen en vrouwen;Groningen (PV);2012/'13;43580.0;1040.0;42540.0;2.0
89;Totaal mannen en vrouwen;Groningen (PV);2013/'14;43840.0;940.0;42900.0;2.0
90;Totaal mannen en vrouwen;Groningen (PV);2014/'15;44010.0;830.0;43180.0;2.0
91;Totaal mannen en vrouwen;Groningen (PV);2015/'16;44430.0;850.0;43570.0;2.0
92;Totaal mannen en vrouwen;Groningen (PV);2016/'17;44510.0;930.0;43580.0;2.0
93;Totaal mannen en vrouwen;Groningen (PV);2017/'18;43790.0;970.0;42820.0;2.0
94;Totaal mannen en vrouwen;Groningen (PV);2018/'19;43100.0;990.0;42110.0;2.0
95;Totaal mannen en vrouwen;Groningen (PV);2019/'20;42320.0;810.0;41510.0;2.0
96;Totaal mannen en vrouwen;Groningen (PV);2020/'21;41560.0;980.0;40570.0;2.0
97;Totaal mannen en vrouwen;Groningen (PV);2021/'22;40930.0;1280.0;39660.0;3.0
98;Totaal mannen en vrouwen;Groningen (PV);2022/'23;40160.0;1220.0;38950.0;3.0
99;Totaal mannen en vrouwen;Fryslân (PV);2012/'13;56480.0;850.0;55630.0;2.0
100;Totaal mannen en vrouwen;Fryslân (PV);2013/'14;56830.0;860.0;55970.0;2.0
101;Totaal mannen en vrouwen;Fryslân (PV);2014/'15;57330.0;780.0;56560.0;1.0
102;Totaal mannen en vrouwen;Fryslân (PV);2015/'16;57650.0;740.0;56910.0;1.0
103;Totaal mannen en vrouwen;Fryslân (PV);2016/'17;57650.0;790.0;56850.0;1.0
104;Totaal mannen en vrouwen;Fryslân (PV);2017/'18;57400.0;950.0;56460.0;2.0
105;Totaal mannen en vrouwen;Fryslân (PV);2018/'19;56410.0;1080.0;55340.0;2.0
106;Totaal mannen en vrouwen;Fryslân (PV);2019/'20;55400.0;940.0;54460.0;2.0
107;Totaal mannen en vrouwen;Fryslân (PV);2020/'21;54040.0;1050.0;52990.0;2.0
108;Totaal mannen en vrouwen;Fryslân (PV);2021/'22;53290.0;1310.0;51980.0;2.0
109;Totaal mannen en vrouwen;Fryslân (PV);2022/'23;52330.0;1390.0;50940.0;3.0
110;Totaal mannen en vrouwen;Drenthe (PV);2012/'13;42020.0;790.0;41230.0;2.0
111;Totaal mannen en vrouwen;Drenthe (PV);2013/'14;42430.0;650.0;41780.0;2.0
112;Totaal mannen en vrouwen;Drenthe (PV);2014/'15;42950.0;650.0;42290.0;2.0
113;Totaal mannen en vrouwen;Drenthe (PV);2015/'16;43150.0;640.0;42510.0;1.0
114;Totaal mannen en vrouwen;Drenthe (PV);2016/'17;43490.0;740.0;42750.0;2.0
