ID;Geslacht;LeeftijdOp31December;BurgerlijkeStaat;Geboorteland;Perioden;Immigratie_1;EmigratieInclAdmCorrecties_2;MigratiesaldoInclAdmCorrecties_3;AdministratieveOpnemingen_4;AdministratieveAfvoeringen_5;SaldoAdministratieveCorrecties_6
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2020;220853.0;152494.0;68359.0;21267.0;40600.0;-19333.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2021;252528.0;145330.0;107198.0;17296.0;34532.0;-17236.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2022;403108.0;179310.0;223798.0;13970.0;37060.0;-23090.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;2023;335668.0;198302.0;137366.0;14360.0;46678.0;-32318.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2020;31846.0;30626.0;1220.0;12586.0;12494.0;92.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2021;25880.0;34989.0;-9109.0;9897.0;9535.0;362.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2022;24986.0;43286.0;-18300.0;7789.0;9357.0;-1568.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2023;25655.0;42454.0;-16799.0;8049.0;10389.0;-2340.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal buiten Nederland;2020;189007.0;121868.0;67139.0;8681.0;28106.0;-19425.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal buiten Nederland;2021;226645.0;110338.0;116307.0;7398.0;24997.0;-17599.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal buiten Nederland;2022;378122.0;136024.0;242098.0;6181.0;27703.0;-21522.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal buiten Nederland;2023;310013.0;155848.0;154165.0;6311.0;36289.0;-29978.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Afrika;2020;14707.0;5841.0;8866.0;1799.0;3027.0;-1228.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Afrika;2021;17215.0;6059.0;11156.0;1480.0;2820.0;-1340.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Afrika;2022;23586.0;6325.0;17261.0;1271.0;2670.0;-1399.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Afrika;2023;23116.0;7549.0;15567.0;1284.0;3306.0;-2022.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Amerika;2020;22482.0;13175.0;9307.0;2492.0;3762.0;-1270.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Amerika;2021;25605.0;11514.0;14091.0;1876.0;2575.0;-699.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Amerika;2022;29328.0;12926.0;16402.0;1478.0;2558.0;-1080.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Amerika;2023;29773.0;14684.0;15089.0;1398.0;3021.0;-1623.0
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Azië;2020;42203.0;26113.0;16090.0;1864.0;5878.0;-4014.0
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Azië;2021;62673.0;21883.0;40790.0;1586.0;5068.0;-3482.0
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Azië;2022;87612.0;21752.0;65860.0;1382.0;3955.0;-2573.0
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Azië;2023;88121.0;26201.0;61920.0;1356.0;4934.0;-3578.0
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europa (exclusief Nederland);2020;108208.0;75043.0;33165.0;2508.0;15201.0;-12693.0
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europa (exclusief Nederland);2021;120145.0;69755.0;50390.0;2434.0;14401.0;-11967.0
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europa (exclusief Nederland);2022;236029.0;93987.0;142042.0;2029.0;18441.0;-16412.0
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europa (exclusief Nederland);2023;166833.0;106106.0;60727.0;2260.0;24902.0;-22642.0
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Buiten Europa;2020;80799.0;46825.0;33974.0;6173.0;12905.0;-6732.0
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Buiten Europa;2021;106500.0;40583.0;65917.0;4964.0;10596.0;-5632.0
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Buiten Europa;2022;142093.0;42037.0;100056.0;4152.0;9262.0;-5110.0
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Buiten Europa;2023;143180.0;49742.0;93438.0;4051.0;11387.0;-7336.0
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Oceanië;2020;1407.0;1696.0;-289.0;18.0;238.0;-220.0
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Oceanië;2021;1007.0;1127.0;-120.0;22.0;133.0;-111.0
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Oceanië;2022;1567.0;1034.0;533.0;21.0;79.0;-58.0
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Oceanië;2023;2170.0;1308.0;862.0;13.0;126.0;-113.0
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europese Unie (exclusief Nederland);2020;93588.0;65959.0;27629.0;2175.0;13708.0;-11533.0
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europese Unie (exclusief Nederland);2021;105730.0;61116.0;44614.0;2093.0;12928.0;-10835.0
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Europese Unie (exclusief Nederland);2022;115693.0;68507.0;47186.0;1654.0;13595.0;-11941.0
