ID;Geslacht;Leeftijd;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2023;17817233
1;Totaal mannen en vrouwen;Totaal leeftijd;2024;17998922
2;Totaal mannen en vrouwen;Totaal leeftijd;2025;18130127
3;Totaal mannen en vrouwen;Totaal leeftijd;2026;18240737
4;Totaal mannen en vrouwen;Totaal leeftijd;2027;18330378
5;Totaal mannen en vrouwen;Totaal leeftijd;2028;18418013
6;Totaal mannen en vrouwen;Totaal leeftijd;2029;18505912
7;Totaal mannen en vrouwen;Totaal leeftijd;2030;18593047
8;Totaal mannen en vrouwen;Totaal leeftijd;2031;18678668
9;Totaal mannen en vrouwen;Totaal leeftijd;2032;18763209
10;Totaal mannen en vrouwen;Totaal leeftijd;2033;18846043
11;Totaal mannen en vrouwen;Totaal leeftijd;2034;18926953
12;Totaal mannen en vrouwen;Totaal leeftijd;2035;19005474
13;Totaal mannen en vrouwen;Totaal leeftijd;2036;19081504
14;Totaal mannen en vrouwen;Totaal leeftijd;2037;19154089
15;Totaal mannen en vrouwen;Totaal leeftijd;2038;19222660
16;Totaal mannen en vrouwen;Totaal leeftijd;2039;19287210
17;Totaal mannen en vrouwen;Totaal leeftijd;2040;19347912
18;Totaal mannen en vrouwen;Totaal leeftijd;2041;19404855
19;Totaal mannen en vrouwen;Totaal leeftijd;2042;19458101
20;Totaal mannen en vrouwen;Totaal leeftijd;2043;19508044
21;Totaal mannen en vrouwen;Totaal leeftijd;2044;19554991
22;Totaal mannen en vrouwen;Totaal leeftijd;2045;19599238
23;Totaal mannen en vrouwen;Totaal leeftijd;2046;19641019
24;Totaal mannen en vrouwen;Totaal leeftijd;2047;19680693
25;Totaal mannen en vrouwen;Totaal leeftijd;2048;19718492
26;Totaal mannen en vrouwen;Totaal leeftijd;2049;19754643
27;Totaal mannen en vrouwen;Totaal leeftijd;2050;19789385
28;Totaal mannen en vrouwen;Totaal leeftijd;2051;19823062
29;Totaal mannen en vrouwen;Totaal leeftijd;2052;19855928
30;Totaal mannen en vrouwen;Totaal leeftijd;2053;19888417
31;Totaal mannen en vrouwen;Totaal leeftijd;2054;19921069
32;Totaal mannen en vrouwen;Totaal leeftijd;2055;19954440
33;Totaal mannen en vrouwen;Totaal leeftijd;2056;19989021
34;Totaal mannen en vrouwen;Totaal leeftijd;2057;20025333
35;Totaal mannen en vrouwen;Totaal leeftijd;2058;20063842
36;Totaal mannen en vrouwen;Totaal leeftijd;2059;20104909
37;Totaal mannen en vrouwen;Totaal leeftijd;2060;20148849
38;Totaal mannen en vrouwen;Totaal leeftijd;2061;20195945
39;Totaal mannen en vrouwen;Totaal leeftijd;2062;20246275
40;Totaal mannen en vrouwen;Totaal leeftijd;2063;20299855
41;Totaal mannen en vrouwen;Totaal leeftijd;2064;20356585
42;Totaal mannen en vrouwen;Totaal leeftijd;2065;20416332
43;Totaal mannen en vrouwen;Totaal leeftijd;2066;20478812
44;Totaal mannen en vrouwen;Totaal leeftijd;2067;20543726
45;Totaal mannen en vrouwen;Totaal leeftijd;2068;20610692
46;Totaal mannen en vrouwen;Totaal leeftijd;2069;20679308
47;Totaal mannen en vrouwen;Totaal leeftijd;2070;20749178
48;Totaal mannen en vrouwen;0 jaar;2023;168657
49;Totaal mannen en vrouwen;0 jaar;2024;174682
50;Totaal mannen en vrouwen;0 jaar;2025;182261
