ID;BedrijfstakkenBranchesSBI2008;Rechtsvormen;Perioden;UitgesprokenFaillissementen_1;BedrijfsleeftijdBijFaillissement_2;WerkzamePersonenBijFaillissement_3
0;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2015 1e kwartaal;1802;10.9;9286.0
1;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2015 2e kwartaal;1489;11.0;7614.0
2;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2015 3e kwartaal;1298;11.3;8171.0
3;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2015 4e kwartaal;1417;11.1;12034.0
4;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2015;6006;11.0;37106.0
5;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2016 1e kwartaal;1445;10.9;15153.0
6;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2016 2e kwartaal;1269;10.9;7553.0
7;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2016 3e kwartaal;1105;10.6;5444.0
8;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2016 4e kwartaal;1193;9.7;5202.0
9;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2016;5012;10.6;33352.0
10;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2017 1e kwartaal;1120;10.5;6733.0
11;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2017 2e kwartaal;994;9.7;4230.0
12;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2017 3e kwartaal;875;9.4;3795.0
13;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2017 4e kwartaal;878;10.5;4310.0
14;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2017;3867;10.0;19068.0
15;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2018 1e kwartaal;931;10.3;4320.0
16;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2018 2e kwartaal;902;9.9;4838.0
17;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2018 3e kwartaal;879;9.0;3908.0
18;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2018 4e kwartaal;921;9.5;6699.0
19;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2018;3633;9.7;19765.0
20;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 1e kwartaal;930;9.1;8899.0
21;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 2e kwartaal;946;8.8;5686.0
22;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 3e kwartaal;942;9.3;5498.0
23;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019 4e kwartaal;975;9.2;7755.0
24;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2019;3793;9.1;27838.0
25;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 1e kwartaal;947;9.8;5497.0
26;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 2e kwartaal;980;9.8;6056.0
27;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 3e kwartaal;662;9.5;4293.0
28;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020 4e kwartaal;588;9.7;2326.0
29;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2020;3177;9.7;18172.0
30;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 1e kwartaal;490;9.0;1325.0
31;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 2e kwartaal;461;8.5;2533.0
32;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 3e kwartaal;381;8.5;1177.0
33;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021 4e kwartaal;486;7.7;1932.0
34;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2021;1818;8.4;6966.0
35;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2022 1e kwartaal;488;8.1;2283.0
36;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2022 2e kwartaal;473;7.9;2490.0
37;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2022 3e kwartaal;475;8.8;2230.0
38;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2022 4e kwartaal;709;8.7;3935.0
39;A-U Alle economische activiteiten;Bedrijven, instellingen en eenmanszaken;2022;2145;8.4;10938.0
40;A-U Alle economische activiteiten;Bedrijven en instellingen;2015 1e kwartaal;1602;11.2;8888.0
41;A-U Alle economische activiteiten;Bedrijven en instellingen;2015 2e kwartaal;1311;11.0;7244.0
42;A-U Alle economische activiteiten;Bedrijven en instellingen;2015 3e kwartaal;1121;11.3;7731.0
43;A-U Alle economische activiteiten;Bedrijven en instellingen;2015 4e kwartaal;1237;11.3;11668.0
44;A-U Alle economische activiteiten;Bedrijven en instellingen;2015;5271;11.2;35531.0
45;A-U Alle economische activiteiten;Bedrijven en instellingen;2016 1e kwartaal;1273;11.1;14808.0
