ID;StandenEnBeroepOpDeKapitaalmarkt;Aandelen;Perioden;Totaal_1;TotaalFinancieleInstellingen_2;BankenFinancieleDienstverlening_3;Verzekeraars_4;TotaalNietFinancieleInstellingen_5;Delfstofwinning_6;TotaalIndustrie_7;Consumentengoederen_8;Kapitaalgoederen_9;Basisgoederen_10;BouwnijverheidEnInstallatie_11;TransportOpslagEnCommunicatie_12;NietFinancieleDienstverlening_13;Handel_14;Beleggingsfondsen_15;Vastgoedfondsen_16;OverigeFondsen_17;BuitenlandseOndernemingen_18
0;5;Aandelen totaal;2007 januari;1505;7;7;0;178;0;0;0;0;0;0;0;51;127;1271;44;3;2
1;5;Aandelen totaal;2007 februari;1073;0;0;0;115;0;114;52;61;0;0;0;0;2;772;181;3;1
2;5;Aandelen totaal;2007 maart;1183;77;0;77;275;0;5;0;5;0;0;255;14;0;714;22;42;53
3;5;Aandelen totaal;2007 april;4288;945;945;0;121;0;7;0;7;0;0;0;99;15;3106;107;1;9
4;5;Aandelen totaal;2007 mei;423;7;7;0;56;0;10;5;4;1;0;0;29;17;345;13;1;1
5;5;Aandelen totaal;2007 juni;2977;438;395;42;229;0;102;89;13;0;0;1;65;62;975;33;1301;0
6;5;Aandelen totaal;2007 juli;6488;178;0;178;230;0;98;17;81;0;0;0;132;0;5558;61;279;182
7;5;Aandelen totaal;2007 augustus;342;0;0;0;54;0;7;0;7;0;0;0;2;44;253;1;3;31
8;5;Aandelen totaal;2007 september;2025;6;2;4;93;0;14;2;0;12;0;0;79;0;1896;4;0;28
9;5;Aandelen totaal;2007 oktober;14870;14058;0;14058;72;0;53;0;47;6;0;0;19;0;702;12;0;26
10;5;Aandelen totaal;2007 november;822;0;0;0;7;0;0;0;0;0;0;0;7;0;806;8;0;1
11;5;Aandelen totaal;2007 december;2406;385;385;0;586;0;97;16;68;13;0;0;476;13;1384;50;0;0
12;5;Aandelen totaal;2008 januari;1721;468;13;455;122;0;2;1;1;0;0;21;14;85;950;158;0;22
13;5;Aandelen totaal;2008 februari;3408;0;0;0;110;0;0;0;0;0;0;108;2;0;2608;60;0;629
14;5;Aandelen totaal;2008 maart;2344;0;0;0;3;0;0;0;0;0;0;1;2;0;2323;16;0;1
