ID;BeroepsEnEigenVervoer;Vervoerstromen;Goederensoort;Perioden;VervoerdLadinggewicht_1
0;Beroeps- en eigen vervoer;Totaal;Totaal;2010;657702
1;Beroeps- en eigen vervoer;Totaal;Totaal;2011;657859
2;Beroeps- en eigen vervoer;Totaal;Totaal;2012;631705
3;Beroeps- en eigen vervoer;Totaal;Totaal;2013;642050
4;Beroeps- en eigen vervoer;Totaal;Totaal;2014;639692
5;Beroeps- en eigen vervoer;Totaal;Totaal;2015;641440
6;Beroeps- en eigen vervoer;Totaal;Totaal;2016;656417
7;Beroeps- en eigen vervoer;Totaal;Totaal;2017;665992
8;Beroeps- en eigen vervoer;Totaal;Totaal;2018;680169
9;Beroeps- en eigen vervoer;Totaal;Totaal;2019;688739
10;Beroeps- en eigen vervoer;Totaal;Totaal;2020;684241
11;Beroeps- en eigen vervoer;Totaal;Totaal;2021;699323
12;Beroeps- en eigen vervoer;Totaal;Totaal;2022;690726
13;Beroeps- en eigen vervoer;Totaal;Totaal;2023;642195
14;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2010;178025
15;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2011;182195
16;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2012;182876
17;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2013;172948
18;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2014;177410
19;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2015;181812
20;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2016;187840
21;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2017;185954
22;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2018;185749
23;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2019;192651
24;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2020;196439
25;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2021;202099
26;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2022;201766
27;Beroeps- en eigen vervoer;Totaal;NST2007 Landbouwproducten en voeding;2023;190661
28;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2010;239410
29;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2011;247203
30;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2012;223259
31;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2013;230078
32;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2014;231015
33;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2015;228244
34;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2016;231289
35;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2017;237227
36;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2018;244650
37;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2019;245390
38;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2020;242771
39;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2021;250177
40;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2022;244415
41;Beroeps- en eigen vervoer;Totaal;NST2007 Bouw;2023;220359
42;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2010;107050
43;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2011;101826
44;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2012;105248
45;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2013;106070
46;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2014;101295
47;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2015;104651
48;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2016;105595
49;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2017;109060
50;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2018;105820
51;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2019;104903
52;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2020;99669
53;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2021;99982
54;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2022;91266
55;Beroeps- en eigen vervoer;Totaal;NST2007 Meststoffen en afval;2023;84152
56;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2010;76614
57;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2011;70261
58;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2012;75240
59;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2013;70305
60;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2014;72055
61;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2015;65743
62;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2016;69687
63;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2017;73270
64;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2018;86920
65;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2019;85872
66;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2020;84151
67;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2021;88482
68;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2022;90705
69;Beroeps- en eigen vervoer;Totaal;NST2007 Handelsgoederen;2023;88888
70;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2010;56603
71;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2011;56374
72;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2012;45082
73;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2013;62649
74;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2014;57917
75;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2015;60990
76;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2016;62007
77;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2017;60481
78;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2018;57031
79;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2019;59923
80;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2020;61211
81;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2021;58583
82;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2022;62574
83;Beroeps- en eigen vervoer;Totaal;NST2007 Overige;2023;58135
84;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2010;627372
85;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2011;628191
86;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2012;604152
87;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2013;609193
88;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2014;609728
89;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2015;611129
90;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2016;629232
91;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2017;638110
92;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2018;653616
93;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2019;660065
94;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2020;658074
95;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2021;672614
96;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2022;666348
97;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;Totaal;2023;616899
98;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2010;171580
99;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2011;176206
100;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2012;176324
101;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2013;165291
102;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2014;170450
103;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2015;175086
104;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2016;181646
105;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2017;178984
106;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2018;179218
107;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2019;185417
108;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2020;189443
109;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2021;194808
110;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2022;195259
111;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Landbouwproducten en voeding;2023;183672
112;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2010;231751
113;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2011;239479
114;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2012;215402
115;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2013;220501
116;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2014;222628
117;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2015;217989
118;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2016;222969
119;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2017;229415
120;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2018;237083
121;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2019;235985
122;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2020;235378
123;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2021;242428
124;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2022;237492
125;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Bouw;2023;211804
126;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2010;100013
127;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2011;94121
128;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2012;99447
129;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2013;99541
130;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2014;94497
131;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2015;98313
132;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2016;99181
133;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2017;102878
134;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2018;99389
135;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2019;98423
136;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2020;93853
137;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2021;94128
138;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2022;86140
139;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Meststoffen en afval;2023;79781
140;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2010;71107
141;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2011;65708
142;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2012;70868
143;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2013;64948
144;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2014;67166
145;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2015;61487
146;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2016;65753
147;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2017;68952
148;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2018;82889
149;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2019;82153
150;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2020;80438
151;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2021;84643
152;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2022;86792
153;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Handelsgoederen;2023;85489
154;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2010;52922
155;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2011;52678
156;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2012;42111
157;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2013;58912
158;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2014;54988
159;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2015;58255
160;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;NST2007 Overige;2016;59682
