ID;Vervoerwijzen;RegioS;Perioden;Reizigerskilometers_1
0;Totaal;Nederland;2010;193.6
1;Totaal;Nederland;2011;198.5
2;Totaal;Nederland;2012;193.0
3;Totaal;Nederland;2013;199.5
4;Totaal;Nederland;2014;201.0
5;Totaal;Nederland;2015;192.5
6;Totaal;Nederland;2016;194.9
7;Totaal;Nederland;2017;194.2
8;Totaal;Noord-Nederland (LD);2010;22.8
9;Totaal;Noord-Nederland (LD);2011;22.1
10;Totaal;Noord-Nederland (LD);2012;21.9
11;Totaal;Noord-Nederland (LD);2013;22.4
12;Totaal;Noord-Nederland (LD);2014;22.5
13;Totaal;Noord-Nederland (LD);2015;21.7
14;Totaal;Noord-Nederland (LD);2016;22.0
15;Totaal;Noord-Nederland (LD);2017;21.0
16;Totaal;Oost-Nederland (LD);2010;44.3
17;Totaal;Oost-Nederland (LD);2011;44.2
18;Totaal;Oost-Nederland (LD);2012;42.2
19;Totaal;Oost-Nederland (LD);2013;42.7
20;Totaal;Oost-Nederland (LD);2014;45.6
21;Totaal;Oost-Nederland (LD);2015;43.7
22;Totaal;Oost-Nederland (LD);2016;44.6
23;Totaal;Oost-Nederland (LD);2017;44.0
24;Totaal;West-Nederland (LD);2010;85.7
25;Totaal;West-Nederland (LD);2011;89.7
26;Totaal;West-Nederland (LD);2012;88.6
27;Totaal;West-Nederland (LD);2013;90.2
28;Totaal;West-Nederland (LD);2014;90.8
29;Totaal;West-Nederland (LD);2015;86.7
30;Totaal;West-Nederland (LD);2016;88.2
31;Totaal;West-Nederland (LD);2017;87.8
32;Totaal;Zuid-Nederland (LD);2010;40.8
33;Totaal;Zuid-Nederland (LD);2011;42.5
34;Totaal;Zuid-Nederland (LD);2012;40.3
35;Totaal;Zuid-Nederland (LD);2013;44.1
36;Totaal;Zuid-Nederland (LD);2014;42.0
37;Totaal;Zuid-Nederland (LD);2015;40.4
38;Totaal;Zuid-Nederland (LD);2016;40.1
39;Totaal;Zuid-Nederland (LD);2017;41.4
40;Totaal;Groningen (PV);2010;7.9
41;Totaal;Groningen (PV);2011;8.1
42;Totaal;Groningen (PV);2012;7.5
43;Totaal;Groningen (PV);2013;7.2
44;Totaal;Groningen (PV);2014;7.3
45;Totaal;Groningen (PV);2015;7.2
46;Totaal;Groningen (PV);2016;7.1
47;Totaal;Groningen (PV);2017;7.2
48;Totaal;Friesland (PV);2010;8.1
49;Totaal;Friesland (PV);2011;7.4
50;Totaal;Friesland (PV);2012;8.0
51;Totaal;Friesland (PV);2013;8.2
52;Totaal;Friesland (PV);2014;8.5
53;Totaal;Friesland (PV);2015;7.7
54;Totaal;Friesland (PV);2016;8.2
55;Totaal;Friesland (PV);2017;7.6
56;Totaal;Drenthe (PV);2010;6.7
57;Totaal;Drenthe (PV);2011;6.6
58;Totaal;Drenthe (PV);2012;6.3
59;Totaal;Drenthe (PV);2013;7.1
60;Totaal;Drenthe (PV);2014;6.8
61;Totaal;Drenthe (PV);2015;6.8
62;Totaal;Drenthe (PV);2016;6.7
63;Totaal;Drenthe (PV);2017;6.1
64;Totaal;Overijssel (PV);2010;13.3
65;Totaal;Overijssel (PV);2011;13.8
66;Totaal;Overijssel (PV);2012;13.3
67;Totaal;Overijssel (PV);2013;13.3
68;Totaal;Overijssel (PV);2014;14.0
69;Totaal;Overijssel (PV);2015;12.9
70;Totaal;Overijssel (PV);2016;12.9
71;Totaal;Overijssel (PV);2017;13.7
72;Totaal;Flevoland (PV);2010;5.7
73;Totaal;Flevoland (PV);2011;5.4
74;Totaal;Flevoland (PV);2012;5.5
75;Totaal;Flevoland (PV);2013;5.1
76;Totaal;Flevoland (PV);2014;5.4
77;Totaal;Flevoland (PV);2015;5.8
78;Totaal;Flevoland (PV);2016;5.4
79;Totaal;Flevoland (PV);2017;5.8
80;Totaal;Gelderland (PV);2010;25.3
81;Totaal;Gelderland (PV);2011;25.0
82;Totaal;Gelderland (PV);2012;23.4
83;Totaal;Gelderland (PV);2013;24.3
84;Totaal;Gelderland (PV);2014;26.2
85;Totaal;Gelderland (PV);2015;25.1
86;Totaal;Gelderland (PV);2016;26.3
87;Totaal;Gelderland (PV);2017;24.5
88;Totaal;Utrecht (PV);2010;14.3
89;Totaal;Utrecht (PV);2011;14.7
90;Totaal;Utrecht (PV);2012;15.6
91;Totaal;Utrecht (PV);2013;16.0
92;Totaal;Utrecht (PV);2014;16.4
93;Totaal;Utrecht (PV);2015;15.1
94;Totaal;Utrecht (PV);2016;15.0
95;Totaal;Utrecht (PV);2017;15.5
96;Totaal;Noord-Holland (PV);2010;29.8
97;Totaal;Noord-Holland (PV);2011;31.9
98;Totaal;Noord-Holland (PV);2012;29.3
99;Totaal;Noord-Holland (PV);2013;30.9
100;Totaal;Noord-Holland (PV);2014;31.0
101;Totaal;Noord-Holland (PV);2015;29.5
102;Totaal;Noord-Holland (PV);2016;29.8
103;Totaal;Noord-Holland (PV);2017;29.8
104;Totaal;Zuid-Holland (PV);2010;36.8
105;Totaal;Zuid-Holland (PV);2011;38.4
106;Totaal;Zuid-Holland (PV);2012;38.8
107;Totaal;Zuid-Holland (PV);2013;38.4
108;Totaal;Zuid-Holland (PV);2014;38.9
109;Totaal;Zuid-Holland (PV);2015;38.0
110;Totaal;Zuid-Holland (PV);2016;39.1
111;Totaal;Zuid-Holland (PV);2017;38.3
112;Totaal;Zeeland (PV);2010;4.8
113;Totaal;Zeeland (PV);2011;4.6
114;Totaal;Zeeland (PV);2012;4.8
115;Totaal;Zeeland (PV);2013;5.0
116;Totaal;Zeeland (PV);2014;4.6
117;Totaal;Zeeland (PV);2015;4.1
118;Totaal;Zeeland (PV);2016;4.3
119;Totaal;Zeeland (PV);2017;4.2
120;Totaal;Noord-Brabant (PV);2010;28.5
121;Totaal;Noord-Brabant (PV);2011;30.3
122;Totaal;Noord-Brabant (PV);2012;29.0
123;Totaal;Noord-Brabant (PV);2013;31.4
124;Totaal;Noord-Brabant (PV);2014;30.3
125;Totaal;Noord-Brabant (PV);2015;28.7
126;Totaal;Noord-Brabant (PV);2016;28.6
127;Totaal;Noord-Brabant (PV);2017;28.9
128;Totaal;Limburg (PV);2010;12.2
129;Totaal;Limburg (PV);2011;12.2
130;Totaal;Limburg (PV);2012;11.4
131;Totaal;Limburg (PV);2013;12.7
132;Totaal;Limburg (PV);2014;11.7
133;Totaal;Limburg (PV);2015;11.7
134;Totaal;Limburg (PV);2016;11.5
135;Totaal;Limburg (PV);2017;12.6
136;Auto (bestuurder);Nederland;2010;95.4
137;Auto (bestuurder);Nederland;2011;100.5
138;Auto (bestuurder);Nederland;2012;96.7
139;Auto (bestuurder);Nederland;2013;99.2
140;Auto (bestuurder);Nederland;2014;99.3
141;Auto (bestuurder);Nederland;2015;97.3
142;Auto (bestuurder);Nederland;2016;97.7
143;Auto (bestuurder);Nederland;2017;96.0
144;Auto (bestuurder);Noord-Nederland (LD);2010;11.3
145;Auto (bestuurder);Noord-Nederland (LD);2011;11.5
146;Auto (bestuurder);Noord-Nederland (LD);2012;11.7
147;Auto (bestuurder);Noord-Nederland (LD);2013;11.3
148;Auto (bestuurder);Noord-Nederland (LD);2014;11.6
149;Auto (bestuurder);Noord-Nederland (LD);2015;11.0
150;Auto (bestuurder);Noord-Nederland (LD);2016;11.8
151;Auto (bestuurder);Noord-Nederland (LD);2017;10.7
152;Auto (bestuurder);Oost-Nederland (LD);2010;22.9
153;Auto (bestuurder);Oost-Nederland (LD);2011;23.3
154;Auto (bestuurder);Oost-Nederland (LD);2012;22.4
155;Auto (bestuurder);Oost-Nederland (LD);2013;22.6
156;Auto (bestuurder);Oost-Nederland (LD);2014;22.5
157;Auto (bestuurder);Oost-Nederland (LD);2015;22.7
158;Auto (bestuurder);Oost-Nederland (LD);2016;22.5
159;Auto (bestuurder);Oost-Nederland (LD);2017;22.1
160;Auto (bestuurder);West-Nederland (LD);2010;39.9
161;Auto (bestuurder);West-Nederland (LD);2011;43.0
162;Auto (bestuurder);West-Nederland (LD);2012;41.5
163;Auto (bestuurder);West-Nederland (LD);2013;42.8
164;Auto (bestuurder);West-Nederland (LD);2014;43.3
165;Auto (bestuurder);West-Nederland (LD);2015;42.1
166;Auto (bestuurder);West-Nederland (LD);2016;41.6
167;Auto (bestuurder);West-Nederland (LD);2017;40.8
168;Auto (bestuurder);Zuid-Nederland (LD);2010;21.2
169;Auto (bestuurder);Zuid-Nederland (LD);2011;22.7
170;Auto (bestuurder);Zuid-Nederland (LD);2012;21.1
171;Auto (bestuurder);Zuid-Nederland (LD);2013;22.5
172;Auto (bestuurder);Zuid-Nederland (LD);2014;21.9
173;Auto (bestuurder);Zuid-Nederland (LD);2015;21.5
174;Auto (bestuurder);Zuid-Nederland (LD);2016;21.8
175;Auto (bestuurder);Zuid-Nederland (LD);2017;22.4
176;Auto (bestuurder);Groningen (PV);2010;3.6
177;Auto (bestuurder);Groningen (PV);2011;4.1
178;Auto (bestuurder);Groningen (PV);2012;3.7
179;Auto (bestuurder);Groningen (PV);2013;3.2
180;Auto (bestuurder);Groningen (PV);2014;3.4
181;Auto (bestuurder);Groningen (PV);2015;3.4
182;Auto (bestuurder);Groningen (PV);2016;3.2
183;Auto (bestuurder);Groningen (PV);2017;3.1
184;Auto (bestuurder);Friesland (PV);2010;4.1
185;Auto (bestuurder);Friesland (PV);2011;4.2
186;Auto (bestuurder);Friesland (PV);2012;4.3
187;Auto (bestuurder);Friesland (PV);2013;4.3
188;Auto (bestuurder);Friesland (PV);2014;4.7
189;Auto (bestuurder);Friesland (PV);2015;3.9
190;Auto (bestuurder);Friesland (PV);2016;4.6
191;Auto (bestuurder);Friesland (PV);2017;4.0
192;Auto (bestuurder);Drenthe (PV);2010;3.6
193;Auto (bestuurder);Drenthe (PV);2011;3.3
194;Auto (bestuurder);Drenthe (PV);2012;3.6
195;Auto (bestuurder);Drenthe (PV);2013;3.8
196;Auto (bestuurder);Drenthe (PV);2014;3.5
197;Auto (bestuurder);Drenthe (PV);2015;3.8
198;Auto (bestuurder);Drenthe (PV);2016;4.0
199;Auto (bestuurder);Drenthe (PV);2017;3.6
200;Auto (bestuurder);Overijssel (PV);2010;7.0
201;Auto (bestuurder);Overijssel (PV);2011;7.7
202;Auto (bestuurder);Overijssel (PV);2012;7.1
203;Auto (bestuurder);Overijssel (PV);2013;7.3
204;Auto (bestuurder);Overijssel (PV);2014;6.8
205;Auto (bestuurder);Overijssel (PV);2015;6.6
206;Auto (bestuurder);Overijssel (PV);2016;6.3
207;Auto (bestuurder);Overijssel (PV);2017;7.0
208;Auto (bestuurder);Flevoland (PV);2010;2.8
209;Auto (bestuurder);Flevoland (PV);2011;2.8
210;Auto (bestuurder);Flevoland (PV);2012;2.9
211;Auto (bestuurder);Flevoland (PV);2013;2.7
212;Auto (bestuurder);Flevoland (PV);2014;2.7
213;Auto (bestuurder);Flevoland (PV);2015;3.0
214;Auto (bestuurder);Flevoland (PV);2016;2.7
215;Auto (bestuurder);Flevoland (PV);2017;2.6
216;Auto (bestuurder);Gelderland (PV);2010;13.0
217;Auto (bestuurder);Gelderland (PV);2011;12.8
218;Auto (bestuurder);Gelderland (PV);2012;12.4
219;Auto (bestuurder);Gelderland (PV);2013;12.7
220;Auto (bestuurder);Gelderland (PV);2014;13.0
221;Auto (bestuurder);Gelderland (PV);2015;13.1
222;Auto (bestuurder);Gelderland (PV);2016;13.5
223;Auto (bestuurder);Gelderland (PV);2017;12.6
224;Auto (bestuurder);Utrecht (PV);2010;7.1
225;Auto (bestuurder);Utrecht (PV);2011;7.1
226;Auto (bestuurder);Utrecht (PV);2012;7.6
227;Auto (bestuurder);Utrecht (PV);2013;7.4
228;Auto (bestuurder);Utrecht (PV);2014;8.3
229;Auto (bestuurder);Utrecht (PV);2015;7.6
230;Auto (bestuurder);Utrecht (PV);2016;7.1
231;Auto (bestuurder);Utrecht (PV);2017;7.3
232;Auto (bestuurder);Noord-Holland (PV);2010;13.3
233;Auto (bestuurder);Noord-Holland (PV);2011;15.3
234;Auto (bestuurder);Noord-Holland (PV);2012;13.0
235;Auto (bestuurder);Noord-Holland (PV);2013;14.8
236;Auto (bestuurder);Noord-Holland (PV);2014;13.8
237;Auto (bestuurder);Noord-Holland (PV);2015;13.6
238;Auto (bestuurder);Noord-Holland (PV);2016;13.3
239;Auto (bestuurder);Noord-Holland (PV);2017;13.5
240;Auto (bestuurder);Zuid-Holland (PV);2010;16.9
241;Auto (bestuurder);Zuid-Holland (PV);2011;18.1
242;Auto (bestuurder);Zuid-Holland (PV);2012;18.3
243;Auto (bestuurder);Zuid-Holland (PV);2013;18.1
244;Auto (bestuurder);Zuid-Holland (PV);2014;18.8
245;Auto (bestuurder);Zuid-Holland (PV);2015;18.6
246;Auto (bestuurder);Zuid-Holland (PV);2016;18.9
247;Auto (bestuurder);Zuid-Holland (PV);2017;17.9
248;Auto (bestuurder);Zeeland (PV);2010;2.6
