ID;BelangrijksteRedenOfBelemmering;WilWelCursussenOfOpleidingenVolgen_1;WilGeenCursussenOfOpleidingenVolgen_2;WilMeerCursussenOfOpleidingenVolgen_3;GenoegCursussenOfOpleidingenGevolgd_4
0;1;18.0;15.0;17.0;
1;10;;1.0;;
2;11;;10.0;;
3;12;;34.0;;
4;13;;;;30.0
5;14;;;;9.0
6;15;;;;8.0
7;16;;;;8.0
8;2;17.0;12.0;17.0;
9;3;12.0;3.0;12.0;
10;4;12.0;2.0;12.0;8.0
11;5;8.0;4.0;9.0;
12;6;8.0;9.0;8.0;
13;7;6.0;1.0;6.0;
14;8;3.0;;3.0;
15;9;15.0;10.0;15.0;22.0
