ID;KerkelijkeGezindte;Totaal18JaarEnOuder_1;Mannen_2;Vrouwen_3;Leeftijd1824Jaar_4;Leeftijd2534Jaar_5;Leeftijd3544Jaar_6;Leeftijd4554Jaar_7;Leeftijd5564Jaar_8;Leeftijd6574Jaar_9;Leeftijd75JaarOfOuder_10;OnderwijsniveauBasisonderwijs_11;OnderwijsniveauVbo_12;OnderwijsniveauMavo_13;OnderwijsniveauHavoVwo_14;OnderwijsniveauHboUniversiteit_15;Eenpersoonshuishouden_16;LidVanEenoudergezin_17;LidVanPaarZonderKinderen_18;LidVanPaarMetKinderen_19;PositieInHuishoudenOverig_20;HooggeschooldeHoofdarbeid_21;OverigeHoofdarbeid_22;KleineZelfstandigenZelfstAgrariers_23;SupervisorenHandarbeidGeschHandarb_24;HalfEnOngeschooldeHandarbeid_25;OnderwijsVolgend_26;WerklozeBeroepsbevolking_27;ArbeidsOngeschikt_28;Gepensioneerd_29;VerzorgtHuishoudenMetMinderjarigen_30;VerzorgtHuishoudenZonderMinderjarigen_31;GetrouwdZijn_32;LevenVoorJeGezin_33;DeToekomstVanMijnKinderen_34;EenGelukkigGezinsleven_35;Gemiddelde_36;VooruitKomenInJeLeven_37;HetFinancieelGoedHebben_38;GevoelHebbenDatJeIetsBereiktHebt_39;MaatschappelijkeZekerheid_40;Gemiddelde_41;MeewerkenVerminderenInkomensverschil_42;GrotereGelijkheidBevorderen_43;DoorbrekenHuidigeMachtsverhouding_44;InzetVoorMeebeslissendeSamenleving_45;Gemiddelde_46;VanHetLevenGenieten_47;PlezierMaken_48;Gemiddelde_49;WeetNiet_50;NeeBlanco_51;Ja_52;PvdA_53;CDA_54;VVD_55;D66_56;GroenLinks_57;SGP_58;GPV_59;RPF_60;SP_61;AnderePartij_62;BandMetPolitiekePartij_63;SterkeBand_64;ZwakMatig_65;PvdA_66;CDA_67;VVD_68;D66_69;GroenLinks_70;SGP_71;GPV_72;RPF_73;SP_74;AnderePartij_75;LidmaatschapVanEenPolitiekePartij_76;GeenPolitiekeInteresse_77;WeinigInteresse_78;TamelijkGeinteresseerd_79;ZeerGeinteresseerd_80;LuistertNiet_81;Luistert_82;ActiefInGesprek_83;ZeerTevreden_84;NietTeVredenOntevreden_85;ZeerOntevreden_86;BuitengewoonZeerTevreden_87;Tevreden_88;TamelijkNietZoTeVreden_89;ErgGelukkig_90;NietGelukkigOngelukkig_91;NietZoGelukkigOngelukkig_92;Auto_93;OpenbaarVervoer_94;Fiets_95;TeVoet_96;Overig_97;Auto_98;OpenbaarVervoer_99;Fiets_100;Overig_101;Auto_102;OpenbaarVervoer_103;Fiets_104;TeVoet_105;Overig_106;Auto_107;OpenbaarVervoer_108;Fiets_109;TeVoet_110;Overig_111;WoonwerkverkeerMetAutoCarpoolen_112;AfvalglasNaarGlasbak_113;ChemischAfval_114;Papierafval_115;GroenteEnFruitafval_116;Tuinafval_117;BleekmiddelenBijSchoonmaken_118;ChemischeToiletverfrisser_119;MinderLichtenLatenBranden_120;WaterBesparen_121;GeheelGedeeltelijkDubbelGlas_122;GebruikVanSpaarlampenInWoning_123;WaterbesparendeDouchekop_124;EnergieBesparendeCvKetel_125;DrankInStatiegeldverpakking_126;AfstandTot5KmLopenOfFietsen_127;GebruikGerecycledToiletpapier_128;GebruiktAltijdEigenTasBijWinkelen_129;LuchtBodemEnWater_130;EconomischeOntwikkeling_131;SchadeNatuur_132;GemiddeldeHelemaalMeeEens_133;WilMeerBetalenVoorProducten_134;WilNietMeerBetalenVoorSchonerWater_135;WilMeerBelastingBetalenVoorMilieu_136;GemiddeldeHelemaalMeeEens_137;DemonstratieTegenIndustralisatie_138;PropagandaMakenBeperkingVerkeer_139;ActiesAansluitenZureRegen_140;GemiddeldeHelemaalMeeEens_141;DatVrijwilligerswerkDoet_142;Jeugdwerk_143;Onderwijs_144;Verzorging_145;Sport_146;Hobby_147;Cultureel_148;Levensbeschouwelijk_149;Arbeidsorganisatie_150;PolitiekePartij_151;OverigeVrijwilligerswerk_152;NietStedelijkeGemeenten_153;WeinigStedelijkeGemeenten_154;MatigStedelijkeGemeenten_155;SterkStedelijkeGemeenten_156;ZeerSterkStedelijkeGemeenten_157;k_5000Inwoners_158;k_500010000Inwoners_159;k_1000020000Inwoners_160;k_2000050000Inwoners_161;k_50000100000Inwoners_162;k_100000150000Inwoners_163;k_150000250000Inwoners_164;k_250000InwonersOfMeer_165
0;10;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;29;66;76;76;10.9;46;42;48;46;10.1;21;36;28;37;8.1;76;64;6.1;10;15;75;28;19;26;6;11;2;1;2;4;2;63;61;39;30;21;25;8;8;2;2;2;2;1;5;19;29;41;12;16;41;44;33;48;19;41;47;13;88;9;3;40;4;42;13;1;83;15;2;1;39;1;39;21;0;57;14;23;3;2;25;90;84;89;76;92;78;67;79;80;86;6;49;72;68;59;71;79;61;33;71;7;70;19;46;7;10;21;25;4;45;4;10;8;14;5;6;8;4;3;7;100;100;100;100;100;100;100;100;100;100;100;100;100
1;12;7;6;7;8;6;6;7;7;8;9;6;7;7;8;6;6;4;7;8;4;6;6;7;7;5;8;5;4;8;10;8;44;70;72;76;11.6;35;26;39;38;9.3;19;30;21;35;7.6;64;48;5.5;8;7;85;8;46;9;2;7;8;12;7;1;1;76;67;33;7;50;6;1;6;7;15;7;0;0;16;13;29;45;12;12;42;46;26;52;22;41;49;11;90;8;2;43;3;48;6;0;86;12;1;0;34;0;50;16;0;52;10;33;4;0;37;94;89;95;81;94;79;61;80;81;89;9;52;73;66;61;71;85;59;29;65;7;75;16;46;7;5;19;20;4;56;5;9;15;12;6;7;28;5;3;9;11;9;7;5;4;6;7;10;8;6;6;4;3
2;13;14;13;15;9;10;11;14;18;19;26;16;17;12;13;11;14;11;15;13;10;11;11;17;11;12;10;8;13;21;14;17;35;68;75;76;11.3;38;37;39;45;9.7;18;29;25;33;7.7;69;58;5.9;9;12;79;23;28;27;4;6;4;1;5;2;1;71;63;37;25;28;27;6;4;3;0;6;0;1;4;17;30;42;11;15;43;43;32;47;20;39;50;11;89;8;3;41;3;42;11;3;86;11;1;2;39;0;43;17;0;56;13;22;7;3;22;94;87;94;84;95;77;70;81;80;87;7;49;74;66;59;69;86;58;33;65;7;67;20;38;7;6;17;20;4;49;5;8;13;15;5;7;14;4;2;9;20;17;13;12;9;23;21;17;17;11;10;9;9
3;14;31;30;32;25;27;30;33;37;37;33;34;35;30;31;25;28;27;33;32;28;27;29;35;33;33;25;25;33;35;30;37;30;72;80;81;11.5;50;46;54;51;10.6;22;38;28;40;8.4;79;68;6.3;11;15;74;25;32;25;5;8;0;0;0;3;2;60;59;41;24;37;24;6;6;0;0;0;2;1;3;21;30;38;11;17;43;40;34;49;18;42;48;11;89;9;3;39;4;42;14;1;84;12;2;1;40;1;39;20;1;63;11;22;3;2;24;92;87;93;81;94;78;70;79;79;86;6;51;73;73;58;70;82;61;32;70;7;69;21;45;7;10;20;25;4;46;4;11;9;15;6;7;7;5;2;7;33;40;35;30;16;36;38;38;34;30;24;35;15
4;15;8;8;8;10;9;8;7;7;5;7;10;6;9;6;9;7;11;6;9;22;6;7;6;5;10;11;16;11;6;12;8;41;67;80;78;11.7;49;43;50;42;10.1;22;40;28;35;8.3;69;54;5.7;8;20;72;33;13;13;6;15;5;3;8;3;2;58;68;32;34;14;14;5;15;4;3;8;1;1;6;26;23;35;16;20;42;38;35;46;19;32;47;21;81;14;5;34;10;35;21;1;74;22;2;1;34;3;34;29;0;47;26;21;3;3;28;88;80;84;72;91;80;69;83;83;82;2;41;66;59;63;70;68;65;40;78;8;68;24;45;7;14;32;34;5;44;4;10;6;9;2;4;21;3;4;7;4;5;7;8;15;3;4;4;6;8;9;8;19
5;16;41;43;38;49;49;45;40;30;31;26;33;35;42;42;50;44;47;40;40;37;51;47;37;43;40;47;46;39;29;33;31;21;59;73;72;10.2;46;44;47;45;10.1;21;37;30;36;8.1;81;68;6.3;10;16;74;35;3;31;8;16;0;0;0;5;2;61;60;40;40;2;31;11;12;0;0;0;3;1;4;18;28;42;12;15;37;48;33;49;18;43;44;14;89;9;3;42;4;42;12;0;82;17;1;0;40;1;36;23;0;57;15;23;3;2;24;87;81;85;68;90;77;65;79;80;85;5;50;70;67;60;74;77;62;32;74;7;71;18;49;7;11;20;25;4;40;4;9;6;15;5;4;0;4;4;7;32;30;39;45;56;32;30;31;35;45;51;45;54
6;18;67;69;65;76;75;70;66;57;54;57;65;65;68;68;69;71;76;66;65;67;72;73;64;75;74;70;69;70;55;59;57;23;62;74;74;10.5;47;45;48;47;10.2;21;37;29;36;8.1;80;67;6.3;10;17;73;34;8;30;8;14;0;0;0;5;2;60;59;41;38;7;31;10;10;0;0;0;3;1;3;20;29;40;11;17;39;44;34;49;18;41;46;13;88;9;3;43;4;40;12;1;86;13;1;1;41;1;36;22;1;58;15;22;3;2;25;88;82;87;71;91;78;67;78;78;86;6;49;70;68;58;71;78;62;33;73;7;69;20;46;7;10;20;25;4;38;4;9;6;14;5;4;1;4;3;6;58;58;67;72;77;63;56;58;62;73;75;73;77
7;19;10;9;11;9;11;11;12;11;8;6;8;9;10;11;12;7;8;10;12;8;12;11;13;10;9;10;9;10;7;11;12;33;74;81;82;11.6;48;44;54;52;10.5;21;37;28;41;8.2;81;70;6.4;13;11;76;24;27;30;5;9;0;0;0;3;1;63;62;38;23;32;28;7;6;0;0;0;2;1;1;17;30;43;11;13;44;44;35;49;16;43;46;12;90;7;2;38;4;44;13;1;86;12;1;1;40;1;40;19;0;60;11;23;3;3;24;92;86;93;80;93;80;70;83;81;85;5;54;76;75;57;76;79;58;30;71;7;72;15;49;8;8;24;29;4;52;5;11;9;15;5;7;4;7;1;9;12;13;11;9;7;10;14;12;11;9;9;10;6
8;20;5;5;6;3;4;6;6;7;6;4;5;6;5;6;5;4;4;5;6;4;5;5;7;5;5;4;4;5;5;8;7;40;76;81;82;12.0;46;38;53;47;10.2;24;40;30;38;8.5;77;71;6.2;11;10;79;22;39;22;5;9;0;1;1;2;1;71;57;43;22;51;17;5;3;0;0;0;1;0;6;17;29;41;13;14;43;44;34;47;19;41;48;11;89;8;3;40;2;44;13;1;82;15;2;1;38;0;41;20;0;57;12;29;2;1;25;94;85;94;85;96;74;68;77;80;83;3;54;79;70;60;73;81;61;30;68;7;73;16;49;8;13;26;27;4;54;6;16;7;17;13;10;13;6;4;7;6;7;6;4;3;6;7;7;6;4;4;4;3
9;21;5;5;6;3;3;5;6;8;7;5;5;5;5;5;5;5;4;5;5;3;5;4;7;3;4;5;4;5;6;6;7;39;72;82;79;11.7;43;33;50;45;9.9;24;36;26;40;8.2;68;55;5.8;11;8;81;16;49;15;2;10;1;1;2;2;2;70;65;35;19;49;15;3;10;0;0;2;1;0;9;13;27;45;15;10;43;47;31;50;19;40;49;11;90;8;2;31;4;51;14;0;81;15;2;2;30;0;52;18;0;52;10;32;6;0;28;94;89;95;90;95;78;65;83;90;87;7;50;74;69;67;72;83;58;27;65;7;77;18;51;7;9;24;18;4;64;6;9;13;18;9;12;31;5;9;12;7;7;5;4;3;7;8;7;6;4;3;4;3
