ID;SBI;Grootteklasse;NettoOmzetExclBTW_1;Brutowinst_2;OverigeBedrijfsopbrengsten_3;TotaleBedrijfsopbrengsten_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;TotaalOverigeBedrijfslasten_8;HuisvestingsEnInventariskosten_9;VerkoopEnAutokosten_10;AlgemeneKosten_11;Bedrijfsresultaat_12;FinancieelResultaat_13;BuitengewoonResultaat_14;ResultaatVoorBelasting_15;WerkzamePersonen_16;OmzetPerFullTimeWerkzamePersoon_17;LoonkostenPerFullTimeWerknemer_18;OpslagduurActiviteitDetailhandel_19;WinkelomzetPerM2_20;VerkoopVloeroppervlakte_21
0;5211   Food alg. ass. (Supermarkten);Alle bedrijven;6212.0;23.2;0.6;23.8;21.2;11.2;2.3;7.8;4.0;2.3;1.5;2.6;-0.2;0.0;2.4;65.0;178.0;20.0;18.0;6.0;5.6
1;5211   Food alg. ass. (Supermarkten);0 tot 10 werknemers;498.0;20.5;0.1;20.7;15.8;5.9;1.7;8.2;3.6;2.6;1.9;4.9;-0.7;0.0;4.2;5.0;134.0;12.0;27.0;3.0;1.7
2;5211   Food alg. ass. (Supermarkten);10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
3;5211   Food alg. ass. (Supermarkten);10 tot 100 werknemers;4697.0;20.9;0.4;21.3;19.3;8.6;2.2;8.5;3.3;3.7;1.5;2.0;-0.3;0.2;1.9;51.0;171.0;15.0;13.0;6.0;7.0
4;5211   Food alg. ass. (Supermarkten);100 en meer werknemers;282853.0;24.4;0.7;25.0;22.4;12.6;2.3;7.5;4.4;1.7;1.4;2.6;-0.2;-0.1;2.4;2950.0;185.0;23.0;19.0;6.0;8.3
5;5221   Aardappelen, groenten en fruit;Alle bedrijven;297.0;35.8;0.2;36.0;26.0;10.7;2.9;12.4;5.6;3.5;3.3;10.0;-0.7;0.0;9.3;5.0;73.0;14.0;13.0;3.0;0.8
6;5221   Aardappelen, groenten en fruit;0 tot 10 werknemers;265.0;36.1;0.2;36.3;24.9;9.4;3.0;12.5;5.6;3.5;3.5;11.3;-0.8;0.1;10.6;5.0;73.0;14.0;13.0;3.0;0.8
7;5221   Aardappelen, groenten en fruit;10 en meer werknemers;1464.0;34.0;0.5;34.5;32.9;19.4;2.3;11.2;5.7;3.4;2.1;1.6;-0.4;-0.2;1.0;30.0;73.0;15.0;13.0;3.0;1.1
8;5221   Aardappelen, groenten en fruit;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
9;5221   Aardappelen, groenten en fruit;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
10;5222.1 Vlees en vleeswaren (Slagers);Alle bedrijven;380.0;40.2;0.3;40.5;30.1;14.3;3.1;12.6;5.5;4.2;2.9;10.5;-0.5;0.2;10.2;6.0;79.0;17.0;17.0;5.0;0.7
11;5222.1 Vlees en vleeswaren (Slagers);0 tot 10 werknemers;306.0;41.1;0.2;41.3;28.9;13.0;3.3;12.7;5.8;3.8;3.2;12.4;-0.5;0.2;12.1;5.0;74.0;16.0;18.0;4.0;0.7
12;5222.1 Vlees en vleeswaren (Slagers);10 en meer werknemers;2680.0;37.2;0.6;37.7;34.1;19.2;2.6;12.3;4.7;5.9;1.8;3.7;-0.2;0.1;3.5;39.0;103.0;20.0;12.0;7.0;1.0
13;5222.1 Vlees en vleeswaren (Slagers);10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
14;5222.1 Vlees en vleeswaren (Slagers);100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
15;5222.2 Wild en gevogelte (Poeliers);Alle bedrijven;291.0;38.7;0.2;38.9;27.5;9.6;4.1;13.9;;;;11.4;;;11.3;5.0;87.0;15.0;18.0;4.0;0.6
16;5222.2 Wild en gevogelte (Poeliers);0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
17;5222.2 Wild en gevogelte (Poeliers);10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
18;5222.2 Wild en gevogelte (Poeliers);10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
19;5222.2 Wild en gevogelte (Poeliers);100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
20;5223   Vis;Alle bedrijven;302.0;42.0;0.3;42.3;30.1;11.5;3.8;14.8;;;;12.2;;;11.2;5.0;80.0;17.0;10.0;5.0;0.5
21;5223   Vis;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
22;5223   Vis;10 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
23;5223   Vis;10 tot 100 werknemers;;;;;;;;;;;;;;;;;;;;;
24;5223   Vis;100 en meer werknemers;;;;;;;;;;;;;;;;;;;;;
25;5224.2 Chocolade en suikerwerk;Alle bedrijven;271.0;43.5;0.4;43.8;36.3;14.4;3.4;18.5;;;;7.5;;;7.4;5.0;79.0;16.0;60.0;3.0;0.6
26;5224.2 Chocolade en suikerwerk;0 tot 10 werknemers;;;;;;;;;;;;;;;;;;;;;
