ID;SBI1993;Bedrijfsgrootte;Perioden;OrganisatiegraadVanWerknemers_1;Mannen15Tot65Jaar_2;Vrouwen15Tot65Jaar_3;k_15Tot25Jaar_4;k_25Tot45Jaar_5;k_45Tot65Jaar_6;LedenVakverenigingTotaal_7;Mannen15Tot65Jaar_8;Vrouwen15Tot65Jaar_9;k_15Tot25Jaar_10;k_25Tot45Jaar_11;k_45Tot65Jaar_12
0;0000f Totaal SBI (A-O);0;2000;25.0;30.0;19.0;11.0;23.0;37.0;1553.2;1069.7;483.5;86.8;816.4;650.0
1;0000f Totaal SBI (A-O);0;2001;25.0;29.0;19.0;11.0;22.0;36.0;1537.6;1053.7;483.9;87.3;777.5;672.7
2;0000f Totaal SBI (A-O);0;2002;25.0;29.0;19.0;10.0;21.0;37.0;1543.6;1049.4;494.2;85.1;742.5;716.0
3;0000f Totaal SBI (A-O);0;2003;24.0;29.0;18.0;11.0;21.0;35.0;1503.1;1018.8;484.3;89.7;721.5;691.9
4;0000f Totaal SBI (A-O);0;2004;24.0;29.0;19.0;10.0;21.0;35.0;1492.1;989.2;502.9;77.0;704.8;710.3
5;0000f Totaal SBI (A-O);0;2006;23.0;27.0;19.0;10.0;20.0;34.0;1446.0;933.3;512.8;73.4;644.3;728.3
6;0000f Totaal SBI (A-O);1;2000;14.0;19.0;10.0;9.0;15.0;20.0;93.8;64.4;29.5;13.5;50.4;29.9
7;0000f Totaal SBI (A-O);1;2001;14.0;19.0;9.0;8.0;15.0;19.0;92.1;64.4;27.7;11.8;49.6;30.6
8;0000f Totaal SBI (A-O);1;2002;16.0;19.0;13.0;9.0;15.0;24.0;119.9;72.8;47.1;15.4;57.7;46.8
9;0000f Totaal SBI (A-O);1;2003;15.0;18.0;11.0;9.0;14.0;20.0;115.5;70.8;44.6;14.3;58.9;42.3
10;0000f Totaal SBI (A-O);1;2004;15.0;18.0;10.0;10.0;15.0;16.0;71.2;49.8;21.4;10.1;40.0;21.1
11;0000f Totaal SBI (A-O);1;2006;13.0;16.0;9.0;;13.0;16.0;62.1;42.0;20.1;;33.3;20.2
12;0000f Totaal SBI (A-O);2;2000;23.0;27.0;17.0;11.0;21.0;34.0;406.6;284.8;121.8;29.8;215.4;161.4
13;0000f Totaal SBI (A-O);2;2001;23.0;26.0;17.0;11.0;21.0;34.0;403.0;280.9;122.1;31.3;209.9;161.7
14;0000f Totaal SBI (A-O);2;2002;24.0;28.0;18.0;10.0;21.0;36.0;518.3;355.4;162.9;33.2;255.7;229.4
15;0000f Totaal SBI (A-O);2;2003;23.0;27.0;18.0;11.0;21.0;33.0;524.5;352.0;172.5;36.1;260.3;228.0
16;0000f Totaal SBI (A-O);2;2004;21.0;24.0;15.0;12.0;18.0;30.0;256.3;180.0;76.3;21.9;122.4;112.0
17;0000f Totaal SBI (A-O);2;2006;19.0;22.0;14.0;11.0;16.0;28.0;237.2;168.1;69.2;20.2;112.2;104.8
18;0000f Totaal SBI (A-O);3;2000;29.0;33.0;23.0;12.0;26.0;41.0;1024.4;697.8;326.6;39.3;536.9;448.3
19;0000f Totaal SBI (A-O);3;2001;28.0;32.0;21.0;12.0;24.0;39.0;1015.4;687.2;328.2;40.3;504.4;470.7
20;0000f Totaal SBI (A-O);3;2002;28.0;32.0;21.0;12.0;23.0;40.0;869.7;594.0;275.7;32.6;412.4;424.7
21;0000f Totaal SBI (A-O);3;2003;28.0;33.0;21.0;14.0;23.0;39.0;820.7;559.6;261.2;32.1;385.0;403.7
22;0000f Totaal SBI (A-O);3;2004;27.0;31.0;21.0;10.0;23.0;38.0;1131.8;733.3;398.5;40.2;526.8;564.8
23;0000f Totaal SBI (A-O);3;2006;26.0;30.0;21.0;10.0;21.0;37.0;1120.6;703.5;417.2;42.3;485.1;593.2
24;0000f Totaal SBI (A-O);9;2000;18.0;23.0;;;18.0;31.0;28.3;22.7;;;13.7;10.4
25;0000f Totaal SBI (A-O);9;2001;17.0;20.0;;;18.0;;27.2;21.2;;;13.6;
26;0000f Totaal SBI (A-O);9;2002;19.0;22.0;;;20.0;32.0;35.6;27.1;;;16.7;15.1
27;0000f Totaal SBI (A-O);9;2003;21.0;26.0;;;20.0;33.0;42.4;36.5;;;17.2;18.0
28;0000f Totaal SBI (A-O);9;2004;19.0;22.0;;;19.0;31.0;32.8;26.0;;;15.7;12.4
29;0000f Totaal SBI (A-O);9;2006;16.0;18.0;;;18.0;26.0;26.1;19.8;;;13.7;10.0
30;0000b Landbouw, bosbouw, visserij;0;2000;18.0;22.0;;;23.0;;17.4;14.9;;;11.5;
31;0000b Landbouw, bosbouw, visserij;0;2001;16.0;20.0;;;;;13.8;12.0;;;;
32;0000b Landbouw, bosbouw, visserij;0;2002;19.0;23.0;;;22.0;;16.7;15.0;;;10.7;
33;0000b Landbouw, bosbouw, visserij;0;2003;13.0;16.0;;;14.0;;26.0;21.6;;;14.7;
34;0000b Landbouw, bosbouw, visserij;0;2004;13.0;16.0;;;;;12.9;11.3;;;;
35;0000b Landbouw, bosbouw, visserij;0;2006;13.0;15.0;;;;;13.0;10.4;;;;
36;0000b Landbouw, bosbouw, visserij;1;2000;;;;;;;;;;;;
