ID;AllPeriods;TotalRevenue_1;Taxes_2;SocialSecurityContributions_3;SalesOfGoodsAndServices_4;Other_5;TotalExpenditure_6;CompensationOfEmployees_7;UseOfGoodsAndServices_8;SocialBenefits_9;GrossFixedCapitalFormation_10;Other_11;NetLendingNetBorrowing_12;NetInterestFlowsOfInterestSwaps_13;BalanceOfGeneralGovernmentEMUDef_14;GovernmentDebtEMU_15;FinalConsumptionOfGeneralGovernment_16;TotalRevenue_17;Taxes_18;SocialSecurityContributions_19;SalesOfGoodsAndServices_20;Other_21;TotalExpenditure_22;CompensationOfEmployees_23;UseOfGoodsAndServices_24;SocialBenefits_25;GrossFixedCapitalFormation_26;Other_27;BalanceOfGeneralGovernmentEMUDef_28;GovernmentDebtEMU_29;FinalConsumptionOfGeneralGovernment_30;FinalConsumptionVolumeChanges_31;LabourInput_32
0;1987;110815;51992;38782;6412;13629;122054;25539;12906;49113;6755;27741;-11239;;-11239;;51377.0;53.1;24.9;18.6;3.1;6.5;58.5;12.2;6.2;23.5;3.2;13.3;-5.4;;24.6;;977.0
1;1988;113466;54334;40084;6620;12428;122676;25478;13502;50158;7119;26419;-9210;;-9210;;52238.0;52.1;25.0;18.4;3.0;5.7;56.4;11.7;6.2;23.1;3.3;12.1;-4.2;;24.0;1.2;976.1
2;1989;113877;54890;38706;6973;13308;125397;25523;14185;51462;7251;26976;-11520;;-11520;;53452.0;49.5;23.8;16.8;3.0;5.8;54.5;11.1;6.2;22.3;3.1;11.7;-5.0;;23.2;1.5;976.5
3;1990;120833;62197;36937;7329;14370;133795;26401;15080;57042;7828;27444;-12962;;-12962;187345.0;56121.0;49.6;25.5;15.2;3.0;5.9;54.9;10.8;6.2;23.4;3.2;11.3;-5.3;76.9;23.0;2.2;981.3
4;1991;134528;69111;41005;8161;16251;141402;27623;16246;60153;8190;29190;-6874;;-6874;197306.0;59820.0;52.3;26.9;15.9;3.2;6.3;54.9;10.7;6.3;23.4;3.2;11.3;-2.7;76.7;23.2;2.6;969.0
5;1992;138241;69309;44107;8837;15988;149390;29286;16997;63908;8828;30371;-11149;;-11149;207659.0;63816.0;51.5;25.8;16.4;3.3;6.0;55.7;10.9;6.3;23.8;3.3;11.3;-4.2;77.4;23.8;2.5;961.0
6;1993;146071;75448;45063;9791;15769;153784;30414;18096;66017;8873;30384;-7713;;-7713;216607.0;66426.0;52.9;27.3;16.3;3.5;5.7;55.7;11.0;6.6;23.9;3.2;11.0;-2.8;78.5;24.1;2.2;961.1
7;1994;145032;70187;49871;9977;14997;155250;31215;19145;65642;9231;30017;-10218;;-10218;218266.0;69254.0;50.0;24.2;17.2;3.4;5.2;53.5;10.8;6.6;22.6;3.2;10.3;-3.5;75.3;23.9;2.0;959.1
8;1995;144168;70835;48443;10101;14789;172305;32345;20201;65285;9632;44842;-28137;;-28137;232232.0;72687.0;47.2;23.2;15.9;3.3;4.8;56.4;10.6;6.6;21.4;3.2;14.7;-9.2;76.1;23.8;2.5;973.7
9;1996;152020;76924;48723;10671;15702;158064;32391;21313;64885;10655;28820;-6044;;-6044;236952.0;72830.0;47.5;24.1;15.2;3.3;4.9;49.4;10.1;6.7;20.3;3.3;9.0;-1.9;74.1;22.8;-0.7;971.2
10;1997;158443;80759;51653;11172;14859;162715;33602;22076;66332;10030;30675;-4272;;-4272;233326.0;76472.0;46.3;23.6;15.1;3.3;4.3;47.5;9.8;6.5;19.4;2.9;9.0;-1.2;68.2;22.3;2.5;976.2
11;1998;166012;85441;54256;11523;14792;169176;35280;23374;67424;10734;32364;-3164;;-3164;238183.0;80489.0;45.8;23.6;15.0;3.2;4.1;46.7;9.7;6.4;18.6;3.0;8.9;-0.9;65.7;22.2;2.5;994.4
12;1999;179333;92675;59938;12308;14412;177733;37441;25615;69048;11651;33978;1600;;1600;236085.0;85867.0;46.4;24.0;15.5;3.2;3.7;46.0;9.7;6.6;17.9;3.0;8.8;0.4;61.1;22.2;2.8;1010.7
13;2000;192856;99060;64467;13280;16049;184612;39647;27278;72132;13112;32443;8244;;8244;224765.0;91871.0;46.1;23.7;15.4;3.2;3.8;44.2;9.5;6.5;17.3;3.1;7.8;2.0;53.8;22.0;1.9;1019.5
