ID;Mestsoorten;HoeveelheidMestEnMineralenInDeMest;Perioden;TotaalGetransporteerdMestaanbod_1;MestafvoerDoorLandbouwbedrijven_2;MestafvoerDoorMestverwerkers_3;MestaanvoerUitHetBuitenland_4;TotaalGetransporteerdeMestafzet_5;MestaanvoerDoorLandbouwbedrijven_6;MestaanvoerDoorMestverwerkers_7;MestafvoerNaarHetBuitenland_8;TotaalMesttransportsaldo_9;SaldoMesttransportMestverwerkers_10;SaldoMesttransportBuitenland_11;Balansverschil_12
29;Totaal dierlijke mest;Stikstof in getransporteerde mest;2003;92.0;87.3;3.0;1.7;85.1;65.1;6.7;13.3;22.2;3.7;11.6;6.9
30;Totaal dierlijke mest;Stikstof in getransporteerde mest;2004;96.3;91.1;3.2;2.0;90.9;65.2;8.2;17.5;25.9;5.0;15.5;5.3
31;Totaal dierlijke mest;Stikstof in getransporteerde mest;2005;97.2;92.0;3.3;1.9;95.7;70.8;8.2;16.8;21.2;4.9;14.9;1.5
32;Totaal dierlijke mest;Stikstof in getransporteerde mest;2006;113.3;101.7;10.3;1.4;105.9;72.3;12.0;21.6;29.4;1.7;20.3;7.4
33;Totaal dierlijke mest;Stikstof in getransporteerde mest;2007;139.6;125.9;12.2;1.5;130.4;81.8;13.6;35.0;44.1;1.4;33.5;9.2
34;Totaal dierlijke mest;Stikstof in getransporteerde mest;2008;150.4;135.4;13.6;1.4;141.8;83.6;20.1;38.1;51.8;6.5;36.7;8.6
35;Totaal dierlijke mest;Stikstof in getransporteerde mest;2009;176.3;161.6;12.5;2.2;169.7;97.0;27.5;45.3;64.6;15.0;43.1;6.6
36;Totaal dierlijke mest;Stikstof in getransporteerde mest;2010;168.6;154.9;11.2;2.5;162.4;88.5;31.0;43.0;66.4;19.8;40.4;6.2
37;Totaal dierlijke mest;Stikstof in getransporteerde mest;2011;178.8;165.6;10.5;2.7;171.1;97.4;29.7;44.0;68.2;19.2;41.3;7.7
38;Totaal dierlijke mest;Stikstof in getransporteerde mest;2012;183.2;167.6;11.9;3.8;174.2;94.1;33.2;46.9;73.5;21.3;43.1;9.0
39;Totaal dierlijke mest;Stikstof in getransporteerde mest;2013;185.3;167.3;12.9;5.1;171.8;91.1;34.4;46.3;76.2;21.5;41.2;13.5
40;Totaal dierlijke mest;Fosfaat in getransporteerde mest;1994;79.8;78.5;0.7;0.5;79.6;65.0;2.5;12.1;13.5;1.8;11.5;0.1
41;Totaal dierlijke mest;Fosfaat in getransporteerde mest;1995;74.0;72.4;1.0;0.5;73.4;60.1;2.0;11.3;12.3;1.0;10.8;0.6
42;Totaal dierlijke mest;Fosfaat in getransporteerde mest;1996;69.8;67.5;1.3;1.0;67.1;57.9;1.8;7.3;9.5;0.6;6.2;2.7
43;Totaal dierlijke mest;Fosfaat in getransporteerde mest;1997;65.2;63.7;1.5;;64.7;57.2;2.0;5.6;6.5;0.5;5.6;0.4
44;Totaal dierlijke mest;Fosfaat in getransporteerde mest;1998;63.9;60.5;3.3;0.2;62.0;49.1;5.4;7.4;11.3;2.2;7.2;1.9
45;Totaal dierlijke mest;Fosfaat in getransporteerde mest;1999;76.0;72.0;3.7;0.3;75.0;58.2;6.1;10.7;13.8;2.4;10.4;1.0
