ID;Perioden;IndexVolumeToegevoegdeWaardeBouw_1;VolumeontwikkelingTOVEenJaarEerder_2
0;2005 januari ;91.7;-3.8
1;2005 februari;103.9;1.0
2;2005 maart;114.4;-2.5
3;2005 1e kwartaal;103.3;-1.7
4;2005 april;119.2;9.7
5;2005 mei;108.8;10.1
6;2005 juni;123.2;6.8
7;2005 2e kwartaal;117.1;8.8
8;2005 juli;98.2;0.7
9;2005 augustus;62.8;14.1
10;2005 september;133.5;6.9
11;2005 3e kwartaal;98.2;6.1
12;2005 oktober;122.1;2.7
13;2005 november;125.2;3.7
14;2005 december;89.3;3.4
15;2005 4e kwartaal;112.2;3.3
16;2005;107.7;4.1
17;2006 januari;93.3;1.7
18;2006 februari;107.7;3.6
19;2006 maart;123.9;8.2
20;2006 1e kwartaal;108.3;4.8
21;2006 april;112.1;-6.0
22;2006 mei;119.3;9.6
23;2006 juni;120.8;-1.9
24;2006 2e kwartaal;117.4;0.3
25;2006 juli;99.1;0.9
26;2006 augustus;66.9;6.5
27;2006 september;139.3;4.3
28;2006 3e kwartaal;101.8;3.7
29;2006 oktober;126.7;3.8
30;2006 november;129.3;3.3
31;2006 december;90.4;1.3
32;2006 4e kwartaal;115.5;2.9
33;2006;110.7;2.8
34;2007 januari;103.0;10.5
35;2007 februari;118.6;10.2
36;2007 maart;133.9;8.1
37;2007 1e kwartaal;118.5;9.5
38;2007 april;123.4;10.1
39;2007 mei;124.1;4.0
40;2007 juni;131.9;9.2
41;2007 2e kwartaal;126.5;7.7
42;2007 juli;106.4;7.4
43;2007 augustus;75.6;13.0
44;2007 september;141.4;1.4
45;2007 3e kwartaal;107.8;5.9
46;2007 oktober;137.5;8.5
47;2007 november;134.9;4.3
48;2007 december;88.4;-2.2
49;2007 4e kwartaal;120.3;4.1
50;2007;118.3;6.8
51;2008 januari;114.2;10.9
52;2008 februari;132.2;11.5
53;2008 maart;128.4;-4.1
54;2008 1e kwartaal;125.0;5.4
55;2008 april;141.5;14.6
56;2008 mei;125.6;1.3
57;2008 juni;135.0;2.4
58;2008 2e kwartaal;134.1;6.0
59;2008 juli;106.1;-0.2
60;2008 augustus;78.3;3.6
61;2008 september;152.3;7.7
62;2008 3e kwartaal;112.2;4.1
63;2008 oktober;143.9;4.6
64;2008 november;127.0;-5.8
65;2008 december;91.2;3.1
66;2008 4e kwartaal;120.7;0.4
67;2008;123.0;4.0
68;2009 januari;117.7;3.1
69;2009 februari;127.0;-3.9
70;2009 maart;137.4;7.0
71;2009 1e kwartaal;127.4;1.9
72;2009 april;135.7;-4.0
73;2009 mei;121.6;-3.2
74;2009 juni;126.3;-6.4
75;2009 2e kwartaal;127.9;-4.6
76;2009 juli;112.2;5.7
77;2009 augustus;66.9;-14.6
78;2009 september;139.8;-8.2
79;2009 3e kwartaal;106.3;-5.3
80;2009 oktober;128.9;-10.4
81;2009 november;116.0;-8.6
82;2009 december;78.6;-13.8
83;2009 4e kwartaal;107.9;-10.6
84;2009;117.4;-4.6
85;2010 januari;96.3;-18.2
86;2010 februari;98.9;-22.1
87;2010 maart;119.0;-13.4
88;2010 1e kwartaal;104.7;-17.8
89;2010 april;118.0;-13.1
90;2010 mei;105.1;-13.6
91;2010 juni;117.3;-7.2
92;2010 2e kwartaal;113.4;-11.3
93;2010 juli;99.8;-11.0
94;2010 augustus;64.9;-3.0
95;2010 september;125.0;-10.6
96;2010 3e kwartaal;96.6;-9.1
97;2010 oktober;116.3;-9.8
98;2010 november;113.7;-2.0
99;2010 december;70.3;-10.6
100;2010 4e kwartaal;100.1;-7.2
101;2010;103.7;-11.6
102;2011 januari;105.0;9.0
103;2011 februari;113.7;14.9
104;2011 maart;121.8;2.3
105;2011 1e kwartaal;113.5;8.3
106;2011 april;114.6;-2.9
107;2011 mei;117.6;12.0
108;2011 juni;105.5;-10.0
109;2011 2e kwartaal;112.6;-0.8
110;2011 juli;94.4;-5.5
111;2011 augustus;64.8;-0.1
112;2011 september;127.0;1.5
113;2011 3e kwartaal;95.4;-1.3
114;2011 oktober;109.4;-6.0
115;2011 november;109.6;-3.6
116;2011 december;73.3;4.3
117;2011 4e kwartaal;97.4;-2.7
118;2011;104.7;1.0
119;2012 januari;96.6;-8.0
120;2012 februari;97.8;-14.0
121;2012 maart;109.0;-10.5
122;2012 1e kwartaal;101.1;-10.9
123;2012 april;105.4;-8.0
124;2012 mei;103.5;-12.0
125;2012 juni;104.7;-0.8
126;2012 2e kwartaal;104.5;-7.2
127;2012 juli;88.7;-6.0
128;2012 augustus;64.6;-0.3
129;2012 september;115.5;-9.0
130;2012 3e kwartaal;89.6;-6.0
131;2012 oktober;104.9;-4.1
132;2012 november;101.9;-7.0
133;2012 december;62.6;-14.6
134;2012 4e kwartaal;89.8;-7.8
135;2012;96.3;-8.1
136;2013 januari;87.8;-9.2
137;2013 februari;87.2;-10.9
138;2013 maart;95.7;-12.2
139;2013 1e kwartaal;90.2;-10.8
140;2013 april;97.1;-7.9
141;2013 mei;96.9;-6.4
142;2013 juni;95.6;-8.6
143;2013 2e kwartaal;96.5;-7.6
144;2013 juli;85.4;-3.7
145;2013 augustus;61.1;-5.4
146;2013 september;108.9;-5.7
147;2013 3e kwartaal;85.2;-5.0
148;2013 oktober;107.3;2.3
149;2013 november;99.1;-2.8
150;2013 december;65.5;4.7
151;2013 4e kwartaal;90.6;1.0
152;2013 ;90.6;-5.9
153;2014 januari;95.2;8.5
154;2014 februari;96.1;10.2
155;2014 maart;94.4;-1.4
156;2014 1e kwartaal;95.2;5.6
157;2014 april;101.7;4.8
158;2014 mei;95.3;-1.6
159;2014 juni;92.7;-3.0
160;2014 2e kwartaal;96.6;0.1
161;2014 juli;88.6;3.7
162;2014 augustus;54.9;-10.3
163;2014 september;108.9;0.0
164;2014 3e kwartaal;84.1;-1.2
165;2014 oktober;117.2;9.2
166;2014 november;105.3;6.2
167;2014 december;71.9;9.7
168;2014 4e kwartaal;98.1;8.2
169;2014;93.5;3.2
170;2015 januari;99.2;4.1
171;2015 februari;99.2;3.2
172;2015 maart;109.1;15.6
173;2015 1e kwartaal;102.5;7.6
174;2015 april;105.9;4.2
175;2015 mei;100.6;5.6
176;2015 juni;116.5;25.6
177;2015 2e kwartaal;107.7;11.5
178;2015 juli;94.5;6.6
179;2015 augustus;60.3;10.0
180;2015 september;117.4;7.8
181;2015 3e kwartaal;90.7;7.9
182;2015 oktober;114.7;-2.1
183;2015 november;109.5;4.0
184;2015 december;73.0;1.5
185;2015 4e kwartaal;99.1;1.0
186;2015;100.0;6.9
187;2016 januari ;107.1;8.0
188;2016 februari;112.4;13.4
189;2016 maart;115.6;6.0
190;2016 1e kwartaal;111.7;9.1
191;2016 april;116.0;9.5
192;2016 mei;109.5;8.8
193;2016 juni;118.1;1.3
194;2016 2e kwartaal;114.5;6.3
195;2016 juli;107.6;13.9
196;2016 augustus;66.1;9.6
197;2016 september;127.6;8.6
198;2016 3e kwartaal;100.4;10.7
199;2016 oktober;121.8;6.2
200;2016 november;120.7;10.2
201;2016 december;81.0;10.9
202;2016 4e kwartaal;107.8;8.8
203;2016;108.6;8.6
204;2017 januari ;109.9;2.6
205;2017 februari ;117.9;4.9
206;2017 maart;132.4;14.5
207;2017 1e kwartaal;120.1;7.5
208;2017 april;119.4;2.9
209;2017 mei;127.2;16.2
210;2017 juni ;127.2;7.7
211;2017 2e kwartaal ;124.6;8.8
212;2017 juli ;114.3;6.2
213;2017 augustus;72.2;9.3
214;2017 september;133.7;4.8
215;2017 3e kwartaal;106.8;6.3
216;2017 oktober;131.3;7.8
217;2017 november;131.6;9.1
218;2017 december;84.2;4.0
219;2017 4e kwartaal ;115.7;7.3
220;2017;116.8;7.5
221;2018 januari;119.2;8.4
