ID;Onderwijs;Perioden;BuitenlandervaringTijdensOpleiding_1;k_5DagenOfLangerInHetBuitenland_2;Studiepuntmobiel_3;DeelgenomenAanEenDigitaalProject_4;OnlineDeelgenomenAanLessen_5;OverwogenNaarBuitenlandTeGaan_6;VerplichtVoorMijnOpleiding_7;KwaliteitOnderwijsBuitenlandIsBeter_8;InNLGeenPassendePlekken_9;VakgebiedIsInternationaalGeorienteerd_10;HetStaatGoedOpMijnCV_11;BelangrijkVoorMijnOntwikkeling_12;BijdrageAanpakMaatschappelijkProbleem_13;Onbekend_14;Taalvaardigheden_15;Zelfvertrouwen_16;Zelfstandigheid_17;Doorzettingsvermogen_18;Flexibiliteit_19;Ruimdenkendheid_20;VerschillendePerspectievenInnemen_21;KritischNaarSocialePositieKijken_22;KennisOverMijnVakgebied_23;KennisOverMondialeVraagstukken_24;KennisVanEigenEnAndereCulturen_25;IetsAnders_26;Onbekend_27;OpleidingInNLStondHetNietToe_28;NietTeCombinerenMetOpleidingInNL_29;GeenPassendAanbodInBuitenland_30;KwaliteitVanHetOnderwijsInNLBeter_31;AlGeweestVoorAndereOpleiding_32;GeenToegevoegdeWaardeVoorMij_33;WasTeDuur_34;BeheersteDeTaalOnvoldoende_35;IkKendeNiemandDieDitOokDeed_36;OmgevingVondDitNietGoed_37;AndereVerplichtingenBijvWerkZorg_38;TeLaatVoorbereid_39;VanwegeCoronamaatregelenOfZelfCorona_40;DoorEigenGezondheidNietMogelijk_41;EenAndereReden_42;Onbekend_43
0;Totaal;2022;32.3;21.8;13.6;11.4;8.2;33.3;42.3;7.1;5.4;57.7;58.6;83.2;28.5;1.6;37.1;19.2;37.0;11.3;15.1;17.6;28.8;20.3;43.9;10.0;38.4;1.9;1.5;9.2;21.5;19.8;23.2;8.5;16.8;35.5;8.6;10.4;5.4;32.2;20.0;45.6;2.2;14.0;0.4
1;Totaal;2023;28.3;16.0;10.8;12.3;8.0;34.7;46.3;6.1;4.7;60.3;55.9;81.0;27.7;1.9;36.1;18.3;31.8;11.2;15.0;18.3;30.6;19.7;43.5;11.7;39.7;3.4;1.7;9.0;19.3;16.6;20.9;8.4;15.0;36.8;7.5;11.0;5.5;28.0;19.5;60.5;2.9;11.9;0.2
2;Totaal;2024;31.3;19.8;13.6;12.1;8.5;30.8;41.0;7.1;4.7;56.5;57.1;82.7;27.4;1.8;35.0;21.8;36.0;10.4;15.3;17.2;30.0;20.1;40.4;11.3;39.7;2.6;2.3;7.6;23.1;19.9;24.3;8.5;17.7;41.7;8.6;14.7;6.2;34.7;24.3;46.2;3.2;15.3;0.3
3;Hoger beroepsonderwijs;2022;36.8;25.8;16.0;13.8;8.4;29.2;51.4;7.3;5.9;57.2;56.5;83.8;26.8;1.1;42.7;21.0;37.1;11.1;13.4;18.5;28.1;19.9;43.5;7.3;39.7;1.6;1.2;6.4;17.7;21.8;22.2;5.5;18.5;42.5;13.6;15.0;8.0;40.1;20.6;33.2;2.1;14.5;0.2
4;Hoger beroepsonderwijs;2023;31.7;17.8;10.5;16.0;7.9;33.2;56.2;6.2;4.1;57.3;49.7;79.3;26.5;1.7;40.7;17.7;29.3;10.2;14.3;16.4;31.3;20.4;45.2;10.3;43.6;2.3;2.1;6.7;13.5;16.0;18.4;5.0;12.7;38.4;8.8;14.6;6.5;33.0;16.1;60.1;3.0;11.1;0.4
5;Hoger beroepsonderwijs;2024;32.5;18.8;12.0;16.5;8.8;29.7;51.3;7.8;4.7;51.5;50.6;80.3;27.5;2.0;38.7;21.6;33.9;9.5;14.4;18.2;31.2;19.3;41.4;8.9;41.8;2.3;2.1;7.1;18.0;18.9;20.3;5.1;15.8;41.7;10.4;17.8;7.7;37.0;23.2;51.7;2.7;11.3;0.5
6;Hbo-associate degree;2022;4.1;1.6;0.5;2.0;0.5;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Hbo-associate degree;2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Hbo-associate degree;2024;7.3;3.4;1.2;3.0;1.9;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Hbo-bachelor;2022;39.3;28.2;17.8;14.4;8.6;31.1;51.3;7.3;5.9;56.7;57.5;83.6;25.9;1.1;43.5;21.2;37.9;11.2;13.7;18.4;27.2;19.4;43.5;7.0;39.7;1.5;1.0;6.2;17.4;22.0;22.7;4.8;19.0;43.2;14.0;15.2;7.9;40.4;21.4;31.4;2.0;14.3;0.2
10;Hbo-bachelor;2023;34.1;19.6;11.9;17.0;8.4;35.5;56.0;6.5;4.3;57.6;51.2;79.9;26.3;1.4;40.4;17.4;29.7;10.7;14.0;16.2;31.4;20.6;44.9;10.1;44.1;2.2;2.2;6.5;13.8;15.6;17.0;4.1;13.4;37.9;8.5;15.1;6.9;32.4;16.4;59.2;3.2;11.8;0.1
11;Hbo-bachelor;2024;34.5;20.6;13.6;17.4;9.1;31.9;50.7;7.6;4.9;51.5;52.5;80.2;27.2;1.9;39.9;22.3;35.8;9.6;14.7;17.8;30.3;18.4;40.1;8.4;42.8;2.3;1.8;7.2;18.0;18.2;19.7;4.6;15.8;40.8;10.1;17.7;7.1;35.6;23.6;53.2;2.8;11.4;0.4
12;Hbo-master;2022;30.6;11.6;3.3;16.9;13.0;14.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Hbo-master;2023;24.3;11.0;2.0;12.3;8.6;17.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Hbo-master;2024;32.3;11.7;1.9;19.3;12.8;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Wetenschappelijk onderwijs;2022;28.1;18.0;11.4;9.0;8.1;37.1;31.0;6.9;4.9;58.2;61.1;82.5;30.5;2.2;30.1;17.0;36.7;11.7;17.3;16.4;29.7;20.8;44.3;13.4;36.7;2.4;1.9;11.2;24.2;18.2;23.9;10.7;15.6;30.3;4.9;7.1;3.4;26.3;19.6;54.8;2.2;13.5;0.6
